<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VBCG.US,D,20260326,000000,74.84,74.84,74.745,74.745,1407,0
VBCG.US,D,20260330,000000,75.06,75.16,75,75,3277,0
VBCG.US,D,20260331,000000,75.41,75.4286,75.38,75.4286,40602,0
VBCG.US,D,20260401,000000,75.5,75.51,75.38,75.4153,1384,0
VBCG.US,D,20260402,000000,75.74,75.77,75.665,75.74,4202,0
VBCG.US,D,20260407,000000,75.55,75.6935,75.415,75.6935,837,0
VBCG.US,D,20260408,000000,76.15,76.15,75.82,75.9184,1228,0
VBCG.US,D,20260409,000000,76.034,76.034,75.95,75.95,238,0
VBCG.US,D,20260410,000000,75.86,75.865,75.86,75.865,262,0
VBCG.US,D,20260413,000000,75.84,76.0467,75.805,76.0467,454,0
VBCG.US,D,20260414,000000,76.24,76.25,76.2299,76.2299,1014,0
VBCG.US,D,20260415,000000,76.18,76.18,76.1757,76.1757,885,0
VBCG.US,D,20260416,000000,76.16,76.179,75.985,75.985,4800,0
VBCG.US,D,20260420,000000,76.32,76.32,76.3,76.31,2989,0
VBCG.US,D,20260421,000000,76.065,76.1,76.065,76.0689,413,0
VBCG.US,D,20260422,000000,76.25,76.31,76.1874,76.1874,1210,0
VBCG.US,D,20260423,000000,76.0499,76.0499,76.0389,76.0389,326,0
VBCG.US,D,20260424,000000,76.11,76.115,76.1,76.115,321,0
VBCG.US,D,20260428,000000,75.87,75.895,75.87,75.895,350,0
VBCG.US,D,20260429,000000,75.68,75.68,75.56,75.59,850,0
VBCG.US,D,20260501,000000,75.54,75.54,75.45,75.515,8204,0
VBCG.US,D,20260504,000000,75.39,75.5,75.05,75.215,12521,0
VBCG.US,D,20260505,000000,75.479,75.52,75.415,75.415,14174,0
VBCG.US,D,20260506,000000,75.71,75.77,75.71,75.7411,3564,0
VBCG.US,D,20260507,000000,75.68,75.68,75.4755,75.4755,229,0
VBCG.US,D,20260508,000000,75.74,75.77,75.72,75.72,1136,0
VBCG.US,D,20260511,000000,75.595,75.61,75.5435,75.5435,2073,0
VBCG.US,D,20260512,000000,75.3316,75.38,75.33,75.365,743,0
VBCG.US,D,20260513,000000,75.27,75.39,75.27,75.39,597,0
VBCG.US,D,20260515,000000,75.01,75.01,74.9085,74.9085,2021,0
VBCG.US,D,20260518,000000,75.015,75.015,74.857,74.857,1107,0
VBCG.US,D,20260519,000000,74.63,74.63,74.5349,74.5349,2000,0
VBCG.US,D,20260520,000000,74.605,75.0023,74.605,75.0023,2459,0
VBCG.US,D,20260521,000000,74.83,75.075,74.83,75.075,3296,0
VBCG.US,D,20260522,000000,75.23,75.235,75.08,75.1621,4014,0
VBCG.US,D,20260526,000000,75.47,75.47,75.365,75.4103,925,0
VBCG.US,D,20260527,000000,75.49,75.49,75.4599,75.4599,268,0
VBCG.US,D,20260528,000000,75.47,75.62,75.47,75.5988,735,0
VBCG.US,D,20260529,000000,75.685,75.755,75.6395,75.6395,1107,0
VBCG.US,D,20260601,000000,75.19,75.33,75.125,75.33,3015,0
VBCG.US,D,20260602,000000,75.45,75.45,75.32,75.3209,2887,0
VBCG.US,D,20260603,000000,75.19,75.2,75.15,75.165,1608,0
VBCG.US,D,20260604,000000,75.35,75.35,75.255,75.305,5067,0
VBCG.US,D,20260605,000000,75.3,75.3,74.886,74.886,4771,0
VBCG.US,D,20260608,000000,75.06,75.06,74.8335,74.8335,3282,0
VBCG.US,D,20260609,000000,74.97,75.005,74.875,75.005,3754,0
VBCG.US,D,20260610,000000,75,75,74.925,74.925,132,0
VBCG.US,D,20260611,000000,75.03,75.385,75.02,75.385,927,0
VBCG.US,D,20260612,000000,75.199,75.39,75.17,75.3102,3710,0
VBCG.US,D,20260615,000000,75.48,75.48,75.3559,75.3559,683,0
VBCG.US,D,20260616,000000,75.42,75.45,75.42,75.44,528,0
VBCG.US,D,20260617,000000,75.48,75.48,75.1,75.1383,2456,0
VBCG.US,D,20260618,000000,75.5,75.52,75.34,75.34,6526,0
VBCG.US,D,20260622,000000,75.2,75.2,75.12,75.165,3616,0
VBCG.US,D,20260623,000000,75.235,75.34,75.235,75.2746,639,0
VBCG.US,D,20260624,000000,75.49,75.57,75.49,75.555,2327,0
