<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VBCH.US,D,20260326,000000,75,75,74.7205,74.7205,1257,0
VBCH.US,D,20260327,000000,74.56,74.57,74.56,74.5684,413,0
VBCH.US,D,20260330,000000,75.06,75.12,74.98,74.98,43850,0
VBCH.US,D,20260331,000000,75.24,75.52,75.21,75.4622,1383,0
VBCH.US,D,20260401,000000,75.48,75.61,75.39,75.475,2826,0
VBCH.US,D,20260402,000000,75.685,75.7498,75.685,75.7498,873,0
VBCH.US,D,20260407,000000,75.555,75.742,75.4,75.742,836,0
VBCH.US,D,20260408,000000,76.08,76.08,75.99,75.99,1650,0
VBCH.US,D,20260409,000000,75.95,76.055,75.95,76.055,325,0
VBCH.US,D,20260410,000000,76.05,76.05,75.89,75.89,578,0
VBCH.US,D,20260413,000000,75.9,76.1551,75.9,76.1551,6654,0
VBCH.US,D,20260414,000000,76.34,76.34,76.3344,76.3344,193,0
VBCH.US,D,20260415,000000,76.31,76.31,76.3063,76.3063,282,0
VBCH.US,D,20260417,000000,76.51,76.55,76.45,76.45,1993,0
VBCH.US,D,20260420,000000,76.48,76.48,76.375,76.405,4936,0
VBCH.US,D,20260422,000000,76.41,76.41,76.3124,76.3124,951,0
VBCH.US,D,20260423,000000,76.31,76.31,76.1489,76.1489,846,0
VBCH.US,D,20260424,000000,76.24,76.25,76.22,76.235,1811,0
VBCH.US,D,20260428,000000,75.9499,75.99,75.9499,75.9725,236,0
VBCH.US,D,20260429,000000,75.73,75.73,75.6337,75.6337,2342,0
VBCH.US,D,20260430,000000,75.81,75.9,75.76,75.855,4971,0
VBCH.US,D,20260501,000000,75.54,75.62,75.525,75.54,2938,0
VBCH.US,D,20260504,000000,75.45,75.59,75.11,75.305,17312,0
VBCH.US,D,20260505,000000,75.545,75.545,75.5138,75.5138,227,0
VBCH.US,D,20260506,000000,75.845,75.89,75.83,75.89,1925,0
VBCH.US,D,20260507,000000,75.909,75.91,75.5804,75.5804,2181,0
VBCH.US,D,20260508,000000,75.88,75.88,75.8743,75.8743,860,0
VBCH.US,D,20260511,000000,75.759,75.79,75.7,75.7,2502,0
VBCH.US,D,20260512,000000,75.5,75.5,75.48,75.495,1099,0
VBCH.US,D,20260513,000000,75.485,75.515,75.415,75.515,985,0
VBCH.US,D,20260514,000000,75.66,75.7,75.4746,75.4746,1164,0
VBCH.US,D,20260515,000000,75.08,75.08,74.9812,74.9812,2369,0
VBCH.US,D,20260518,000000,75.03,75.14,74.885,74.885,2738,0
VBCH.US,D,20260519,000000,74.64,74.65,74.46,74.5364,2244,0
VBCH.US,D,20260520,000000,74.625,75.08,74.625,75.0606,2459,0
VBCH.US,D,20260521,000000,74.86,75.16,74.825,75.16,9136,0
VBCH.US,D,20260522,000000,75.34,75.34,75.14,75.2513,4164,0
VBCH.US,D,20260526,000000,75.6,75.6,75.505,75.515,567,0
VBCH.US,D,20260527,000000,75.54,75.61,75.54,75.5737,1811,0
VBCH.US,D,20260528,000000,75.755,75.755,75.745,75.745,327,0
VBCH.US,D,20260529,000000,75.91,75.92,75.8018,75.8018,484,0
VBCH.US,D,20260601,000000,75.29,75.41,75.25,75.405,1162,0
VBCH.US,D,20260602,000000,75.44,75.47,75.41,75.4173,4285,0
VBCH.US,D,20260603,000000,75.42,75.42,75.255,75.285,4751,0
VBCH.US,D,20260604,000000,75.41,75.41,75.36,75.36,9160,0
VBCH.US,D,20260605,000000,75.17,75.17,74.96,74.96,2021,0
VBCH.US,D,20260608,000000,75.18,75.18,74.8893,74.8893,2372,0
VBCH.US,D,20260609,000000,75,75.1,74.97,75.085,3295,0
VBCH.US,D,20260610,000000,75.1,75.13,74.96,74.995,6020,0
VBCH.US,D,20260611,000000,75.095,75.485,75.07,75.485,4035,0
VBCH.US,D,20260612,000000,75.299,75.49,75.265,75.4029,3125,0
VBCH.US,D,20260615,000000,75.57,75.6,75.4669,75.4669,2735,0
VBCH.US,D,20260616,000000,75.54,75.565,75.54,75.565,205,0
VBCH.US,D,20260617,000000,75.69,75.69,75.255,75.26,1639,0
VBCH.US,D,20260618,000000,75.629,75.6499,75.475,75.4888,3903,0
VBCH.US,D,20260622,000000,75.34,75.345,75.245,75.295,1670,0
VBCH.US,D,20260623,000000,75.38,75.5,75.38,75.3978,1839,0
VBCH.US,D,20260624,000000,75.655,75.72,75.655,75.72,1973,0
