<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VBNB.US,D,20260528,000000,24.92,25,24.8639,24.8639,4533,0
VBNB.US,D,20260529,000000,24.72,24.989,24.58,24.925,2900,0
VBNB.US,D,20260601,000000,26.859,27.08,26.27,27.0463,10245,0
VBNB.US,D,20260602,000000,26.27,26.28,25.6199,25.6423,3179,0
VBNB.US,D,20260603,000000,24.591,24.61,24.1932,24.1932,2938,0
VBNB.US,D,20260604,000000,23.38,23.5248,23.33,23.5248,2781,0
VBNB.US,D,20260605,000000,22.96,22.96,22.0411,22.0411,551,0
VBNB.US,D,20260608,000000,23.44,23.571,23.44,23.571,595,0
VBNB.US,D,20260609,000000,23.0801,23.15,22.68,23.15,3132,0
VBNB.US,D,20260610,000000,23.111,23.111,22.771,22.822,12674,0
VBNB.US,D,20260612,000000,23.6,23.6,23.405,23.405,285,0
VBNB.US,D,20260615,000000,24.27,24.3,24.0603,24.0603,2022,0
VBNB.US,D,20260616,000000,23.561,23.561,23.49,23.5347,2452,0
VBNB.US,D,20260618,000000,22.97,22.97,22.4679,22.4679,630,0
VBNB.US,D,20260622,000000,23.36,23.36,22.9493,22.9493,528,0
VBNB.US,D,20260623,000000,22.25,22.3421,22.25,22.3421,1201,0
VBNB.US,D,20260624,000000,22.03,22.05,21.29,21.29,4578,0
