<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VIVK.US,D,20220214,000000,754.352,899.42,665.378,899.42,5532.93,0
VIVK.US,D,20220215,000000,777.562,874.274,744.68,764.024,3900.505,0
VIVK.US,D,20220216,000000,744.68,744.68,506.77,551.258,2651.825,0
VIVK.US,D,20220217,000000,551.258,572.534,444.874,468.086,1680.635,0
VIVK.US,D,20220218,000000,431.334,521.026,431.334,489.362,233.4255,0
VIVK.US,D,20220222,000000,483.558,493.966,450.676,471.954,160.425,0
VIVK.US,D,20220223,000000,483.558,541.566,448.742,502.902,371.707,0
VIVK.US,D,20220224,000000,524.178,605.416,483.558,541.586,3061.92,0
VIVK.US,D,20220225,000000,551.258,551.258,466.15,493.23,654.315,0
VIVK.US,D,20220228,000000,462.282,512.766,444.874,510.638,336.872,0
VIVK.US,D,20220301,000000,491.296,508.704,450.676,464.216,216.8605,0
VIVK.US,D,20220302,000000,483.558,500.968,411.992,473.888,251.944,0
VIVK.US,D,20220303,000000,510.638,572.534,466.15,510.638,1460.21,0
VIVK.US,D,20220304,000000,543.52,651.838,483.578,609.284,4526.095,0
VIVK.US,D,20220307,000000,665.378,800.774,581.006,638.298,7197.165,0
VIVK.US,D,20220308,000000,727.272,812.38,533.85,593.81,6999.67,0
VIVK.US,D,20220309,000000,522.244,572.534,475.822,506.77,1016.05,0
VIVK.US,D,20220310,000000,553.192,587.988,493.23,541.586,3241.17,0
VIVK.US,D,20220311,000000,512.572,525.048,462.282,500.968,496.113,0
VIVK.US,D,20220314,000000,468.086,483.558,446.808,456.48,361.4395,0
VIVK.US,D,20220315,000000,499.032,499.032,433.268,444.874,259.7405,0
VIVK.US,D,20220316,000000,442.94,469.052,425.532,444.198,281.1545,0
VIVK.US,D,20220317,000000,433.268,483.558,433.268,483.558,448.7455,0
VIVK.US,D,20220318,000000,479.69,497.098,464.236,489.362,136.803,0
VIVK.US,D,20220321,000000,481.624,500.968,462.282,495.164,439.455,0
VIVK.US,D,20220322,000000,555.126,568.666,491.296,519.148,2454.875,0
VIVK.US,D,20220323,000000,504.836,528.046,487.446,497.098,417.069,0
VIVK.US,D,20220324,000000,499.032,522.244,468.26,473.888,348.644,0
VIVK.US,D,20220325,000000,485.494,541.566,441.006,481.624,1044.645,0
VIVK.US,D,20220328,000000,499.032,499.032,408.124,431.334,531.295,0
VIVK.US,D,20220329,000000,433.85,439.072,421.664,431.334,140.8615,0
VIVK.US,D,20220330,000000,440.986,452.612,421.664,428.144,314.429,0
VIVK.US,D,20220331,000000,456.48,456.48,410.058,427.466,279.407,0
VIVK.US,D,20220401,000000,421.664,421.664,395.32,410.058,174.2235,0
VIVK.US,D,20220404,000000,413.926,413.926,396.518,406.19,242.1575,0
VIVK.US,D,20220405,000000,413.908,413.908,357.834,392.496,308.142,0
VIVK.US,D,20220406,000000,390.716,390.716,352.03,365.57,187.976,0
VIVK.US,D,20220407,000000,375.242,375.242,350.116,359.748,99.574,0
VIVK.US,D,20220408,000000,369.44,371.374,355.9,370.194,253.423,0
VIVK.US,D,20220411,000000,355.686,377.06,355.686,364.604,45.87855,0
VIVK.US,D,20220412,000000,367.504,404.256,353.966,369.44,598.26,0
VIVK.US,D,20220413,000000,363.636,393.326,361.702,383.946,69.7225,0
VIVK.US,D,20220414,000000,381.044,421.664,371.374,398.452,1355.35,0
VIVK.US,D,20220418,000000,390.716,413.926,353.966,367.504,1188.12,0
VIVK.US,D,20220419,000000,390.716,396.518,326.886,369.44,433.5455,0
VIVK.US,D,20220420,000000,411.992,411.992,353.966,377.176,560.525,0
VIVK.US,D,20220421,000000,380.078,411.644,338.492,379.11,306.643,0
VIVK.US,D,20220422,000000,377.176,386.848,377.176,383.946,91.793,0
VIVK.US,D,20220425,000000,386.828,386.828,348.162,353.966,394.7915,0
VIVK.US,D,20220426,000000,350.096,369.4,330.754,330.754,283.6,0
