<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VSECU.US,D,20260205,000000,51,51.75,50.45,50.45,169963,0
VSECU.US,D,20260206,000000,51.5275,53.22,51.36,52.08,171822,0
VSECU.US,D,20260209,000000,51.05,53.81,51.05,53.46,686036,0
VSECU.US,D,20260210,000000,53.42,55.56,53,55,867727,0
VSECU.US,D,20260211,000000,54.5,54.52,53.66,53.82,238900,0
VSECU.US,D,20260212,000000,55.55,55.55,53.63,53.79,161180,0
VSECU.US,D,20260213,000000,53.95,54.1819,53.54,53.6,306719,0
VSECU.US,D,20260217,000000,55.122,56.0226,55.122,55.8699,254677,0
VSECU.US,D,20260218,000000,56.605,57.16,56.27,56.27,788050,0
VSECU.US,D,20260219,000000,56.73,58.21,56.73,58.04,171293,0
VSECU.US,D,20260223,000000,58.93,58.93,57.28,57.28,39300,0
VSECU.US,D,20260224,000000,57.93,57.93,55.93,57.8,21313,0
VSECU.US,D,20260225,000000,57.45,58.42,56.97,57.03,450900,0
VSECU.US,D,20260226,000000,56.09,58.92,56.09,58.54,118929,0
VSECU.US,D,20260227,000000,58.38,58.4,56.77,58.06,698616,0
VSECU.US,D,20260302,000000,58.35,58.35,56.74,56.74,146882,0
VSECU.US,D,20260303,000000,56.7,56.7,55.39,56.24,43319,0
VSECU.US,D,20260304,000000,58.06,58.06,56.17,57.235,227871,0
VSECU.US,D,20260305,000000,55.8364,55.8364,55.095,55.3,253580,0
VSECU.US,D,20260306,000000,54.719,54.84,54.57,54.57,1205,0
VSECU.US,D,20260309,000000,56.04,56.41,55.92,56.41,221031,0
VSECU.US,D,20260310,000000,56.79,57.23,55.63,55.63,9782,0
VSECU.US,D,20260312,000000,54.51,54.51,52.81,52.81,1097,0
VSECU.US,D,20260313,000000,52.05,52.05,52.05,52.05,243,0
VSECU.US,D,20260316,000000,52.87,52.87,50.93,50.93,38540,0
VSECU.US,D,20260317,000000,51,51,50.75,50.75,59326,0
VSECU.US,D,20260318,000000,50.52,50.52,49.45,49.45,1057,0
VSECU.US,D,20260319,000000,49.37,49.6,49.17,49.17,38973,0
VSECU.US,D,20260320,000000,47.96,48.7465,47.43,47.43,144948,0
VSECU.US,D,20260323,000000,48.4,48.4,46.9,46.9,55455,0
VSECU.US,D,20260324,000000,47.35,47.87,47.35,47.62,26705,0
VSECU.US,D,20260325,000000,48.42,49.17,47.86,47.86,17061,0
VSECU.US,D,20260326,000000,47.12,47.12,47.08,47.08,51475,0
VSECU.US,D,20260331,000000,46,51.07,45.92,50.3,693605,0
VSECU.US,D,20260401,000000,49.7,51.7765,49.65,51.07,256390,0
VSECU.US,D,20260402,000000,49.6,51.41,49.45,49.55,3534,0
