<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WSE.US,D,20260511,000000,15.96,17.47,14.88,15.4,482462,0
WSE.US,D,20260512,000000,14.42,14.49,13.7501,14.17,2314059,0
WSE.US,D,20260513,000000,13.63,13.89,13.48,13.62,850036,0
WSE.US,D,20260514,000000,13.66,13.76,13.13,13.35,496514,0
WSE.US,D,20260515,000000,12.79,13,12.5475,12.75,3207180,0
WSE.US,D,20260518,000000,12.53,13,12.35,12.84,3522341,0
WSE.US,D,20260519,000000,12.45,12.615,12.12,12.38,1322531,0
WSE.US,D,20260520,000000,12.25,13,12.03,12.6,847257,0
WSE.US,D,20260521,000000,12.39,12.61,12.19,12.48,488240,0
WSE.US,D,20260522,000000,12.44,12.95,12.43,12.88,528850,0
WSE.US,D,20260526,000000,12.56,12.87,12.56,12.8,1233571,0
WSE.US,D,20260527,000000,12.6,12.7765,12.47,12.75,1199799,0
WSE.US,D,20260528,000000,12.37,12.59,12.12,12.47,1243444,0
WSE.US,D,20260529,000000,12.61,13.04,12.6097,12.77,924246,0
WSE.US,D,20260601,000000,11.235,12.22,11.032,12.1,4246780,0
WSE.US,D,20260602,000000,11.52,11.92,11.46,11.54,2430248,0
WSE.US,D,20260603,000000,11.04,11.07,10.71,10.72,2554460,0
WSE.US,D,20260604,000000,11.17,11.42,10.95,11.06,1452227,0
WSE.US,D,20260605,000000,11,11.245,11,11.19,1436835,0
WSE.US,D,20260608,000000,11.16,11.16,10.8131,10.84,2031273,0
WSE.US,D,20260609,000000,10.5,10.83,10.475,10.57,4059291,0
WSE.US,D,20260610,000000,10.5,10.71,10.4801,10.54,1015327,0
WSE.US,D,20260611,000000,10.61,10.688,10.36,10.4,734750,0
WSE.US,D,20260612,000000,10.63,10.87,10.57,10.87,657537,0
WSE.US,D,20260615,000000,11.2,11.25,10.91,10.93,1224598,0
WSE.US,D,20260616,000000,11.29,11.42,11.2204,11.38,931862,0
WSE.US,D,20260617,000000,11.28,11.39,11.15,11.17,888118,0
WSE.US,D,20260618,000000,10.97,11.03,10.81,10.84,539292,0
WSE.US,D,20260622,000000,10.97,11.085,10.84,10.84,1286195,0
WSE.US,D,20260623,000000,10.84,11.21,10.83,11.15,1288626,0
WSE.US,D,20260624,000000,11,11.17,10.78,10.94,2061508,0
