<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XNDU.US,D,20260327,000000,10,12.8,8.8,11.5,3010825,0
XNDU.US,D,20260330,000000,10.96,11.23,7.65,7.83,906318,0
XNDU.US,D,20260331,000000,8.62,8.62,7.35,7.66,1072954,0
XNDU.US,D,20260401,000000,7.86,8.2,7.17,7.5,842792,0
XNDU.US,D,20260402,000000,7.5,8.49,6.9716,8.39,684283,0
XNDU.US,D,20260406,000000,8.39,8.51,7.92,8.11,331618,0
XNDU.US,D,20260407,000000,7.94,8.19,7.26,7.47,392989,0
XNDU.US,D,20260408,000000,8,8.0493,7.3625,7.53,373775,0
XNDU.US,D,20260409,000000,7.44,7.78,7.36,7.65,294009,0
XNDU.US,D,20260410,000000,7.98,9.39,7.82,8.96,784397,0
XNDU.US,D,20260413,000000,9.39,12.97,9.345,11.49,2181042,0
XNDU.US,D,20260414,000000,12.55,16.3,12.29,14.83,3400884,0
XNDU.US,D,20260415,000000,17.12,28.25,16.15,25.18,9175941,0
XNDU.US,D,20260416,000000,29.5,42.44,26.11,32.67,16978351,0
XNDU.US,D,20260417,000000,38.5,39.99,27.3,30.2,8572114,0
XNDU.US,D,20260420,000000,30.01,32.2999,26.62,27.63,2510611,0
XNDU.US,D,20260421,000000,26.81,26.94,20.74,22.9,3646781,0
XNDU.US,D,20260422,000000,26.91,35.0796,24.2497,34.75,7387070,0
XNDU.US,D,20260423,000000,32.905,33.16,27.68,28.85,3526375,0
XNDU.US,D,20260424,000000,32.02,34.85,29.5,30.95,3650253,0
XNDU.US,D,20260427,000000,31.075,31.54,26.755,28.68,2209019,0
XNDU.US,D,20260428,000000,26.05,29,24.43,27.7,1776206,0
XNDU.US,D,20260429,000000,27.51,29.5,26.15,27.9,1284343,0
XNDU.US,D,20260430,000000,28.63,32.45,27.5,29.1,2158017,0
XNDU.US,D,20260501,000000,29.5,38.44,29.5,36.12,4307000,0
XNDU.US,D,20260504,000000,13.225,15.99,12,13.99,49393465,0
XNDU.US,D,20260505,000000,14.03,14.6643,13.12,13.5,8901138,0
XNDU.US,D,20260506,000000,13.425,14.98,12.45,14.76,10505779,0
XNDU.US,D,20260507,000000,14.87,19.5,14.45,17.38,19924569,0
XNDU.US,D,20260508,000000,18.195,18.31,15,15.71,11581458,0
XNDU.US,D,20260511,000000,14.8075,15.85,14.23,14.775,7854789,0
XNDU.US,D,20260512,000000,15.29,15.32,13.9201,14.15,4342303,0
XNDU.US,D,20260513,000000,14.375,15.55,13.66,14.89,4949801,0
XNDU.US,D,20260514,000000,15.16,15.505,14.35,15.13,4183926,0
XNDU.US,D,20260515,000000,14,14.23,13.48,13.6,4892554,0
XNDU.US,D,20260518,000000,13.52,13.555,11.995,12.16,4088320,0
XNDU.US,D,20260519,000000,12.36,12.45,11.62,11.72,2858020,0
XNDU.US,D,20260520,000000,11.9,14.68,11.88,14.13,8089708,0
XNDU.US,D,20260521,000000,14.56,15.59,13.85,14.45,8811871,0
XNDU.US,D,20260522,000000,14.83,16.14,14.5971,15.18,8401522,0
XNDU.US,D,20260526,000000,15.95,18.32,15.95,17.84,10498753,0
XNDU.US,D,20260527,000000,19.2,19.3399,16.62,17.2,7061872,0
XNDU.US,D,20260528,000000,17.24,17.83,16.08,17.32,5457478,0
XNDU.US,D,20260529,000000,17.59,17.6,16.12,16.17,3716633,0
XNDU.US,D,20260601,000000,16.14,16.46,15.55,16.1,3378609,0
XNDU.US,D,20260602,000000,15.81,17.42,15.76,16.93,3652797,0
XNDU.US,D,20260603,000000,16.59,16.59,14.56,14.8,5310089,0
XNDU.US,D,20260604,000000,14.36,14.98,14.084,14.46,2342001,0
XNDU.US,D,20260605,000000,13.85,13.9,12.62,12.9,4175903,0
XNDU.US,D,20260608,000000,13.315,13.55,12.8001,13.07,2151975,0
XNDU.US,D,20260609,000000,13.07,13.22,11.82,12,3279343,0
XNDU.US,D,20260610,000000,12.35,12.4788,11.75,11.76,1984647,0
XNDU.US,D,20260611,000000,11.55,12.49,11.55,12.46,2328626,0
XNDU.US,D,20260612,000000,12.515,12.6,11.73,11.79,2133864,0
XNDU.US,D,20260615,000000,12.75,14.19,12.64,13.94,7057451,0
XNDU.US,D,20260616,000000,13.48,13.81,12.81,13.37,3897527,0
XNDU.US,D,20260617,000000,13.34,14.54,13.32,13.57,3996648,0
XNDU.US,D,20260618,000000,13.81,14.25,12.68,13.37,9244628,0
XNDU.US,D,20260622,000000,12.9,13.51,12.515,12.54,3764918,0
XNDU.US,D,20260623,000000,12.125,12.95,12.02,12.23,3281749,0
XNDU.US,D,20260624,000000,12,12,11.68,11.82,1806208,0
