<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XSLL.US,D,20260318,000000,9.83,9.85,9.81,9.81,26414,0
XSLL.US,D,20260319,000000,9.79,9.81,9.76,9.81,16780,0
XSLL.US,D,20260320,000000,9.79,9.83,9.79,9.8,4185,0
XSLL.US,D,20260323,000000,9.8,9.83,9.8,9.82,663096,0
XSLL.US,D,20260324,000000,9.82,9.84,9.81,9.84,215804,0
XSLL.US,D,20260325,000000,9.85,9.85,9.85,9.85,293,0
XSLL.US,D,20260326,000000,9.82,9.85,9.82,9.85,34362,0
XSLL.US,D,20260331,000000,9.83,9.83,9.83,9.83,30118,0
XSLL.US,D,20260401,000000,9.86,9.86,9.86,9.86,125,0
XSLL.US,D,20260402,000000,9.85,9.85,9.85,9.85,4460,0
XSLL.US,D,20260408,000000,9.86,9.86,9.86,9.86,131,0
XSLL.US,D,20260410,000000,9.82,9.82,9.82,9.82,125,0
XSLL.US,D,20260420,000000,9.84,9.84,9.84,9.84,427,0
XSLL.US,D,20260423,000000,9.85,9.85,9.85,9.85,8256,0
XSLL.US,D,20260424,000000,9.85,9.86,9.85,9.86,400086,0
XSLL.US,D,20260427,000000,9.86,9.86,9.86,9.86,50041,0
XSLL.US,D,20260428,000000,9.83,9.83,9.83,9.83,174,0
XSLL.US,D,20260429,000000,9.86,9.86,9.86,9.86,50004,0
XSLL.US,D,20260430,000000,9.86,9.86,9.86,9.86,6235,0
XSLL.US,D,20260501,000000,9.85,9.86,9.85,9.85,41499,0
XSLL.US,D,20260504,000000,9.86,9.86,9.85,9.86,65570,0
XSLL.US,D,20260505,000000,9.86,9.8679,9.86,9.8679,50200,0
XSLL.US,D,20260506,000000,9.9,9.9,9.8999,9.8999,2000,0
XSLL.US,D,20260511,000000,9.86,9.86,9.86,9.86,15048,0
XSLL.US,D,20260515,000000,9.88,9.88,9.88,9.88,249312,0
XSLL.US,D,20260518,000000,9.86,9.88,9.86,9.88,48954,0
XSLL.US,D,20260519,000000,9.88,9.88,9.88,9.88,300005,0
XSLL.US,D,20260520,000000,9.9,9.9,9.9,9.9,2054,0
XSLL.US,D,20260527,000000,9.9,9.9,9.88,9.88,100180,0
XSLL.US,D,20260528,000000,9.88,9.9,9.88,9.9,21689,0
XSLL.US,D,20260529,000000,9.93,9.93,9.92,9.93,3117,0
XSLL.US,D,20260601,000000,9.91,9.91,9.91,9.91,29344,0
XSLL.US,D,20260602,000000,9.91,9.93,9.91,9.93,236,0
XSLL.US,D,20260603,000000,9.91,9.91,9.91,9.91,327,0
XSLL.US,D,20260604,000000,9.91,9.91,9.91,9.91,226,0
XSLL.US,D,20260605,000000,9.91,9.91,9.91,9.91,123,0
XSLL.US,D,20260608,000000,9.91,9.92,9.91,9.92,19410,0
XSLL.US,D,20260609,000000,9.915,9.92,9.91,9.91,33729,0
XSLL.US,D,20260610,000000,9.92,9.92,9.9,9.905,571618,0
XSLL.US,D,20260611,000000,9.9,9.9,9.9,9.9,107,0
XSLL.US,D,20260612,000000,9.9,9.915,9.9,9.91,30286,0
XSLL.US,D,20260615,000000,9.9,9.91,9.9,9.91,404,0
XSLL.US,D,20260616,000000,9.92,9.92,9.9,9.9,15215,0
XSLL.US,D,20260617,000000,9.9,9.9,9.9,9.9,224,0
XSLL.US,D,20260618,000000,9.92,9.92,9.9,9.92,26483,0
XSLL.US,D,20260622,000000,9.93,9.94,9.91,9.93,127217,0
XSLL.US,D,20260623,000000,9.93,9.94,9.9,9.9,4324,0
XSLL.US,D,20260624,000000,9.93,9.93,9.91,9.91,200504,0
