<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XXX.US,D,20260130,000000,20.97,20.97,20.9267,20.9267,485,0
XXX.US,D,20260203,000000,20.46,20.46,20.3919,20.3919,182,0
XXX.US,D,20260204,000000,20.15,20.15,20.1327,20.1327,196,0
XXX.US,D,20260217,000000,19.97,19.97,19.8885,19.8885,211,0
XXX.US,D,20260227,000000,19.53,19.5584,19.53,19.5584,100,0
XXX.US,D,20260302,000000,19.46,19.7128,19.46,19.7128,100,0
XXX.US,D,20260303,000000,19.48,19.52,19.48,19.48,448,0
XXX.US,D,20260304,000000,19.54,19.54,19.54,19.54,208,0
XXX.US,D,20260306,000000,19.36,19.36,19.36,19.36,100,0
XXX.US,D,20260309,000000,19.33,19.33,19.33,19.33,263,0
XXX.US,D,20260310,000000,19.62,19.66,19.62,19.66,1003,0
XXX.US,D,20260312,000000,19.23,19.27,19.159,19.159,1126,0
XXX.US,D,20260313,000000,19.16,19.16,19.13,19.13,400,0
XXX.US,D,20260317,000000,19.74,19.74,19.7067,19.7067,1089,0
XXX.US,D,20260330,000000,18.41,18.41,18.2194,18.2194,951,0
XXX.US,D,20260417,000000,20.42,20.4668,20.42,20.4668,305,0
XXX.US,D,20260420,000000,20.232,20.2519,20.232,20.2519,1285,0
XXX.US,D,20260501,000000,20.45,20.45,20.4325,20.4325,252,0
XXX.US,D,20260504,000000,20.39,20.39,20.3725,20.3725,1219,0
XXX.US,D,20260505,000000,20.54,20.55,20.52,20.5476,4954,0
XXX.US,D,20260508,000000,20.745,20.95,20.745,20.9099,4257,0
XXX.US,D,20260511,000000,21.15,21.15,21.1411,21.1411,278,0
XXX.US,D,20260513,000000,20.94,21.02,20.94,20.9728,3063,0
XXX.US,D,20260515,000000,21.88,21.88,20.9786,20.9786,228,0
XXX.US,D,20260522,000000,20.8099,20.81,20.7584,20.7584,1118,0
XXX.US,D,20260610,000000,19.5,19.54,19.44,19.4614,13547,0
XXX.US,D,20260611,000000,19.5999,19.9105,19.5999,19.9105,197,0
XXX.US,D,20260612,000000,19.81,20.04,19.78,19.9317,1759,0
XXX.US,D,20260615,000000,20.64,20.91,20.64,20.7602,1854,0
XXX.US,D,20260616,000000,20.63,20.63,20.4699,20.4699,2358,0
XXX.US,D,20260617,000000,20.37,20.37,20.1275,20.1275,208,0
XXX.US,D,20260618,000000,20.145,20.1588,20.145,20.1588,144,0
XXX.US,D,20260622,000000,20.23,20.23,20.0259,20.0259,321,0
