<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YYAI.US,D,20220615,000000,3680000,4672000,2864000,3152000,0.337,0
YYAI.US,D,20220616,000000,2960000,3120000,2544000,2672000,0.07237500000000001,0
YYAI.US,D,20220617,000000,2784000,3088000,2560000,2576000,0.05072625,0
YYAI.US,D,20220621,000000,2560000,2848000,2448000,2595200,0.010543125,0
YYAI.US,D,20220622,000000,2688000,3026560,2400000,2832000,0.0423855,0
YYAI.US,D,20220623,000000,3040000,3040000,2400000,2448000,0.02567425,0
YYAI.US,D,20220624,000000,2464000,2559840,2368160,2416000,0.014479375000000001,0
YYAI.US,D,20220627,000000,2608000,2608000,2240000,2256000,0.01570375,0
YYAI.US,D,20220628,000000,2320000,2544000,2240000,2491680,0.03259375,0
YYAI.US,D,20220629,000000,2656000,2656000,2432000,2479520,0.014438125,0
YYAI.US,D,20220630,000000,2448000,2512000,2336000,2368000,0.0029893750000000003,0
YYAI.US,D,20220701,000000,2336000,2400000,2240000,2300800,0.008775625,0
YYAI.US,D,20220705,000000,2496000,2496000,2240000,2288000,0.02430125,0
YYAI.US,D,20220706,000000,2240000,2240000,1888000,1984000,0.023589375000000003,0
YYAI.US,D,20220707,000000,1984000,2079840,1552000,1680000,0.15774300000000002,0
YYAI.US,D,20220708,000000,1632000,1919840,1552000,1823840,0.08945875,0
YYAI.US,D,20220711,000000,1747200,1760000,1408000,1472000,0.25232000000000004,0
YYAI.US,D,20220712,000000,1568000,1568000,1328000,1408000,0.07423375,0
YYAI.US,D,20220713,000000,1408000,1520000,1304960,1380800,0.07902375,0
YYAI.US,D,20220714,000000,1384000,1384000,1304000,1375680,0.042648000000000005,0
YYAI.US,D,20220715,000000,1411200,1584000,1399840,1535680,0.17389125000000002,0
YYAI.US,D,20220718,000000,1504000,1504000,1360320,1424000,0.035135,0
YYAI.US,D,20220719,000000,1488000,1488000,1364000,1424000,0.0382255,0
YYAI.US,D,20220720,000000,1504000,1504000,1424160,1462720,0.029001250000000003,0
YYAI.US,D,20220721,000000,1447840,1494400,1408000,1474720,0.12761175,0
YYAI.US,D,20220722,000000,1488000,1533600,1392000,1479840,0.06840375,0
YYAI.US,D,20220725,000000,1539360,1539360,1400000,1440000,0.013061875,0
YYAI.US,D,20220726,000000,1480000,1480000,1376160,1408000,0.014640624999999999,0
YYAI.US,D,20220727,000000,1408000,1440000,1248160,1429600,0.02900625,0
YYAI.US,D,20220728,000000,1289920,1420000,1232000,1375840,0.08205425,0
YYAI.US,D,20220729,000000,1248000,1520000,1248000,1440000,0.17355425000000002,0
YYAI.US,D,20220801,000000,1520000,1728000,1392000,1441600,0.34650500000000006,0
YYAI.US,D,20220802,000000,1520000,2048000,1441600,1728000,0.9441525000000001,0
YYAI.US,D,20220803,000000,1792000,3104000,1776000,2336000,1.4238300000000002,0
YYAI.US,D,20220804,000000,2096000,2208000,1648000,1728000,0.2322805,0
YYAI.US,D,20220805,000000,1680000,2000000,1648000,1760000,0.14802500000000002,0
YYAI.US,D,20220808,000000,1792000,1904000,1568000,1599520,0.124735,0
YYAI.US,D,20220809,000000,1598400,1691680,1424000,1472320,0.06879425,0
YYAI.US,D,20220810,000000,1435680,1528000,1435680,1464000,0.0334605,0
YYAI.US,D,20220811,000000,1488000,1488000,1376000,1409280,0.0387875,0
YYAI.US,D,20220812,000000,1437600,1521280,1416000,1489600,0.03263125,0
YYAI.US,D,20220815,000000,1489600,1519520,1437924,1516000,0.010406875000000001,0
YYAI.US,D,20220816,000000,1503840,1568000,1401600,1567840,0.0531875,0
YYAI.US,D,20220817,000000,1551680,1567680,1456000,1504000,0.018678125,0
YYAI.US,D,20220818,000000,1567840,1567840,1473760,1544160,0.02663925,0
YYAI.US,D,20220819,000000,1504016,1540000,1452640,1499680,0.042765500000000005,0
YYAI.US,D,20220822,000000,1458400,1520000,1441600,1505920,0.05323925000000001,0
YYAI.US,D,20220823,000000,1488000,1695840,1480160,1600000,0.059464249999999996,0
YYAI.US,D,20220824,000000,1520160,1631840,1520000,1596000,0.014332500000000001,0
YYAI.US,D,20220825,000000,1600160,1664000,1536000,1616000,0.094228,0
YYAI.US,D,20220826,000000,1593600,1632000,1488000,1542400,0.0660425,0
YYAI.US,D,20220829,000000,1520000,1559840,1472000,1473760,0.020653125,0
YYAI.US,D,20220830,000000,1473600,1473600,1224080,1360160,0.1385525,0
YYAI.US,D,20220831,000000,1296160,1440000,1296160,1396320,0.02860125,0
YYAI.US,D,20220901,000000,1422080,1456000,1322560,1438720,0.01564875,0
YYAI.US,D,20220902,000000,1503840,1504000,1410560,1480320,0.007631225,0
YYAI.US,D,20220906,000000,1560000,1560000,1408960,1528640,0.01821375,0
YYAI.US,D,20220907,000000,1568000,1568000,1248000,1292800,0.09806675000000001,0
YYAI.US,D,20220908,000000,1264160,1351360,1216000,1327840,0.03433375,0
YYAI.US,D,20220909,000000,1327840,1327840,1148000,1182400,0.0763105,0
YYAI.US,D,20220912,000000,1224000,1224000,1088000,1167680,0.04645925000000001,0
YYAI.US,D,20220913,000000,1168000,1168000,1061760,1151840,0.0388785,0
YYAI.US,D,20220914,000000,1094080,1119680,1040000,1118720,0.021895,0
YYAI.US,D,20220915,000000,1118720,1118720,1040480,1072480,0.03476375,0
YYAI.US,D,20220916,000000,1064320,1092320,992000,992000,0.04638175,0
YYAI.US,D,20220919,000000,936320,1176000,656000,744160,0.1842625,0
YYAI.US,D,20220920,000000,800000,832000,766400,766400,0.065233,0
YYAI.US,D,20220921,000000,768000,856160,752000,752000,0.014843124999999999,0
YYAI.US,D,20220922,000000,752000,912000,752000,777280,0.07577125000000001,0
YYAI.US,D,20220923,000000,848000,848000,672000,672000,0.030531750000000003,0
YYAI.US,D,20220926,000000,710056,714080,664000,664000,0.011963125,0
YYAI.US,D,20220927,000000,672000,689440,576160,624000,0.039330500000000004,0
YYAI.US,D,20220928,000000,580640,768000,580640,688000,0.046918,0
YYAI.US,D,20220929,000000,576000,840000,552000,592000,0.33028,0
YYAI.US,D,20220930,000000,656000,728080,534452,544000,0.11098250000000001,0
YYAI.US,D,20221003,000000,528000,572256,464160,464160,0.15569,0
YYAI.US,D,20221004,000000,876000,1280000,688800,752000,16.781000000000002,0
YYAI.US,D,20221005,000000,608000,808000,563200,624000,0.7312400000000001,0
YYAI.US,D,20221006,000000,718880,736000,580800,581280,0.27771,0
YYAI.US,D,20221007,000000,603200,624724,455840,512000,0.30670000000000003,0
YYAI.US,D,20221010,000000,499200,501920,433120,462400,0.1944925,0
YYAI.US,D,20221011,000000,517440,517440,400000,424000,0.2284355,0
YYAI.US,D,20221012,000000,416000,432000,336800,389920,0.15911875,0
YYAI.US,D,20221013,000000,400000,400160,353600,369600,0.25282,0
YYAI.US,D,20221014,000000,584160,608160,419280,432480,4.242075,0
YYAI.US,D,20221017,000000,446560,480000,400000,435040,0.4710825,0
YYAI.US,D,20221018,000000,422400,462240,376000,433120,0.24165675000000003,0
YYAI.US,D,20221019,000000,442720,462080,352000,385440,0.152308,0
YYAI.US,D,20221020,000000,381440,431840,369600,403200,0.21335674999999998,0
YYAI.US,D,20221021,000000,403200,423840,368480,400000,0.09689425000000002,0
YYAI.US,D,20221024,000000,388800,423840,380960,400000,0.06089750000000001,0
YYAI.US,D,20221025,000000,370880,415680,361760,383040,0.07870125,0
YYAI.US,D,20221026,000000,397760,407840,368802,398080,0.12868375,0
YYAI.US,D,20221027,000000,388640,431824,384960,423040,0.14930425,0
YYAI.US,D,20221028,000000,380800,426720,380000,412160,0.028782500000000003,0
YYAI.US,D,20221031,000000,400000,432000,369280,416160,0.11242125000000001,0
YYAI.US,D,20221101,000000,416000,433600,384160,424000,0.0513525,0
YYAI.US,D,20221102,000000,404000,424000,388000,408000,0.044358,0
YYAI.US,D,20221103,000000,400000,416000,368160,399680,0.03566375,0
YYAI.US,D,20221104,000000,376000,390240,361440,384000,0.04546175,0
