<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APLZ.US,D,20260126,000000,99.75,114.425,82.95,114.05,25837.800000000003,0
APLZ.US,D,20260127,000000,110.9,110.9,76.9,81.2,101847.6,0
APLZ.US,D,20260128,000000,78.8,90,78.8,85.701,55896.600000000006,0
APLZ.US,D,20260129,000000,90,98.725,90,94.2,36735.4,0
APLZ.US,D,20260130,000000,99.4,116.676,95.95,115.1,20138.600000000002,0
APLZ.US,D,20260202,000000,119.4,122.5,100,108.75,28924.4,0
APLZ.US,D,20260203,000000,104.15,113.008,97.45,97.824,25983.600000000002,0
APLZ.US,D,20260204,000000,103.3,133.6,102.15,123.886,42236.8,0
APLZ.US,D,20260205,000000,135.05,155.197,124.95,152.6,47190.8,0
APLZ.US,D,20260206,000000,125.42,132.1,73.483,74.8,135403.6,0
APLZ.US,D,20260209,000000,76.55,78.45,55.901,60.2,121777.6,0
APLZ.US,D,20260210,000000,60.2,62.9,54.805,62.6,99956.20000000001,0
APLZ.US,D,20260211,000000,59.6,69.9,56.75,65.35,108797,0
APLZ.US,D,20260212,000000,64.1,72.4945,63.25,67.1,98633.20000000001,0
APLZ.US,D,20260213,000000,67.925,76.3705,62.45,69.85,101735,0
APLZ.US,D,20260217,000000,74.25,80.95,72.4,76.8,64979.8,0
APLZ.US,D,20260218,000000,86.3,90.8,77.2,83.95,120246.20000000001,0
APLZ.US,D,20260219,000000,87.5,90.5,85,85.7,48666.600000000006,0
APLZ.US,D,20260220,000000,90.25,103.1,87.4005,99.6,58371,0
APLZ.US,D,20260223,000000,103.6,104.5,92.3,92.981,44704,0
APLZ.US,D,20260224,000000,95.3,98.1715,85,88.6,49660,0
APLZ.US,D,20260225,000000,82.8,98.35,81.7,97.1,32960,0
APLZ.US,D,20260226,000000,97.75,102.5,95.7875,99.75,21265.600000000002,0
APLZ.US,D,20260227,000000,107,117.75,106.15,109.4,21032,0
APLZ.US,D,20260302,000000,116.875,118.2,102,103.65,27920.2,0
APLZ.US,D,20260303,000000,115.15,123.55,111.95,116.8,13535.800000000001,0
APLZ.US,D,20260304,000000,106.9,108.3,92.5,94.75,24960.4,0
APLZ.US,D,20260305,000000,99.95,108.5,95,98.5,29045.4,0
APLZ.US,D,20260306,000000,105.6,119.6,95.85,119.6,50781.8,0
APLZ.US,D,20260309,000000,120.125,125.6,99.85,100.75,48141.600000000006,0
APLZ.US,D,20260310,000000,100.15,100.8,90.9,97.05,35033.4,0
APLZ.US,D,20260311,000000,93.5,94.45,83.7,89.2505,29111.600000000002,0
APLZ.US,D,20260312,000000,95.025,101.544,93.85,95.65,18572.8,0
APLZ.US,D,20260313,000000,90,100,83.5,98.65,32209.2,0
APLZ.US,D,20260316,000000,86.5,95.95,85.75,94.25,23938.600000000002,0
