<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARKI.US,D,20260406,000000,20.26,20.2839,20.26,20.2839,182,0
ARKI.US,D,20260408,000000,20.82,20.82,20.5084,20.5084,331,0
ARKI.US,D,20260409,000000,20.15,20.46,20.15,20.294,722,0
ARKI.US,D,20260410,000000,20.445,20.45,20.3339,20.3339,303,0
ARKI.US,D,20260430,000000,21.23,21.435,21.23,21.435,2658,0
ARKI.US,D,20260506,000000,21.75,21.995,21.62,21.995,243,0
ARKI.US,D,20260508,000000,21.73,21.8993,19.8901,21.8993,7122,0
ARKI.US,D,20260511,000000,22,22.22,22,22.13,3544,0
ARKI.US,D,20260512,000000,21.79,21.79,21.7647,21.7647,428,0
ARKI.US,D,20260514,000000,21.98,21.98,21.7802,21.7802,455,0
ARKI.US,D,20260519,000000,21.07,21.07,21.0638,21.0638,628,0
ARKI.US,D,20260521,000000,21.45,21.51,21.45,21.51,313,0
ARKI.US,D,20260522,000000,21.69,21.69,21.51,21.51,283,0
ARKI.US,D,20260526,000000,22.25,22.25,21.6199,21.6199,2538,0
ARKI.US,D,20260527,000000,21.73,21.77,21.73,21.77,517,0
ARKI.US,D,20260602,000000,22.3,22.31,22.1171,22.1171,1315,0
ARKI.US,D,20260617,000000,21.86,21.8778,21.86,21.8778,505,0
