<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARWG.US,D,20251231,000000,24.649,24.649,24.565,24.565,365,0
ARWG.US,D,20260102,000000,24.45,24.63,24.45,24.59,300,0
ARWG.US,D,20260105,000000,24.73,24.76,24.7151,24.7151,341,0
ARWG.US,D,20260106,000000,24.777,25.05,24.77,24.9893,3839,0
ARWG.US,D,20260107,000000,24.87,25.088,24.857,24.974,4338,0
ARWG.US,D,20260108,000000,25.0122,25.0726,24.92,25.0269,4311,0
ARWG.US,D,20260109,000000,25.075,25.075,24.87,24.893,17273,0
ARWG.US,D,20260112,000000,24.7599,24.7599,24.725,24.7545,2570,0
ARWG.US,D,20260113,000000,24.765,24.85,24.735,24.81,10794,0
ARWG.US,D,20260114,000000,24.66,25.95,24.6199,24.6601,39472,0
ARWG.US,D,20260115,000000,24.86,24.99,24.86,24.99,38328,0
ARWG.US,D,20260116,000000,24.805,25.22,24.805,24.91,35382,0
ARWG.US,D,20260120,000000,24.6178,24.73,24.52,24.52,17458,0
ARWG.US,D,20260121,000000,24.7,24.96,24.675,24.8613,32089,0
ARWG.US,D,20260122,000000,25.06,25.13,24.95,24.99,30944,0
ARWG.US,D,20260123,000000,24.79,24.79,24.66,24.7057,2619,0
ARWG.US,D,20260126,000000,24.72,24.85,24.72,24.77,22873,0
ARWG.US,D,20260127,000000,24.78,24.87,24.7,24.8111,17689,0
ARWG.US,D,20260128,000000,24.68,24.75,24.51,24.6288,19274,0
ARWG.US,D,20260129,000000,24.82,24.82,24.47,24.7684,35913,0
ARWG.US,D,20260130,000000,24.53,24.53,24.06,24.3366,12960,0
ARWG.US,D,20260202,000000,24.5599,24.79,24.5599,24.707,16707,0
ARWG.US,D,20260203,000000,25.005,25.005,24.645,24.7982,15748,0
ARWG.US,D,20260204,000000,24.79,24.79,24.4,24.66,14107,0
ARWG.US,D,20260205,000000,24.58,24.58,24.3081,24.3081,14515,0
ARWG.US,D,20260206,000000,25.08,25.18,25.025,25.1123,14175,0
ARWG.US,D,20260209,000000,25.075,25.4,25.075,25.2729,11831,0
ARWG.US,D,20260210,000000,25.27,25.32,24.919,24.97,18632,0
ARWG.US,D,20260211,000000,25.26,25.26,24.92,25.051,3034,0
ARWG.US,D,20260212,000000,25.2301,25.37,24.58,24.7569,4893,0
ARWG.US,D,20260213,000000,24.76,24.78,24.62,24.7334,1580,0
ARWG.US,D,20260217,000000,24.67,25.09,24.51,24.8997,15727,0
ARWG.US,D,20260218,000000,25.32,25.33,25.01,25.0859,3643,0
ARWG.US,D,20260219,000000,24.97,25.0605,24.92,25.0605,6272,0
ARWG.US,D,20260220,000000,25.165,25.24,25.05,25.1941,2014,0
ARWG.US,D,20260223,000000,24.92,24.92,24.665,24.7424,4300,0
ARWG.US,D,20260224,000000,25.2299,25.2299,25.0493,25.0493,800,0
ARWG.US,D,20260225,000000,25.355,25.5,25.355,25.4035,1300,0
ARWG.US,D,20260226,000000,25.09,25.1993,24.97,25.1993,411,0
ARWG.US,D,20260227,000000,24.76,25.0373,24.76,25.0373,4202,0
ARWG.US,D,20260302,000000,24.95,25.2065,24.95,25.2065,7669,0
ARWG.US,D,20260303,000000,23.87,24.5299,23.87,24.2431,4137,0
ARWG.US,D,20260304,000000,24.52,24.52,24.3886,24.3886,2093,0
ARWG.US,D,20260305,000000,24.25,24.34,23.795,23.9432,3749,0
ARWG.US,D,20260306,000000,23.645,23.7,23.2387,23.2387,4408,0
ARWG.US,D,20260309,000000,22.8,23.5964,22.8,23.5964,548,0
ARWG.US,D,20260310,000000,23.74,24.03,23.6552,23.6552,1072,0
ARWG.US,D,20260311,000000,23.535,23.797,23.535,23.7079,3474,0
ARWG.US,D,20260312,000000,23.41,23.41,23.0234,23.0234,1050,0
ARWG.US,D,20260313,000000,23.06,23.07,22.9228,22.9228,521,0
ARWG.US,D,20260316,000000,23.405,23.4648,23.1261,23.1261,311,0
ARWG.US,D,20260317,000000,23.3,23.4575,23.295,23.4575,629,0
ARWG.US,D,20260318,000000,23.485,23.53,23.3813,23.3813,686,0
ARWG.US,D,20260319,000000,23.27,23.4775,23.27,23.4775,514,0
ARWG.US,D,20260320,000000,23.115,23.115,22.8466,22.8466,482,0
ARWG.US,D,20260323,000000,23.55,23.55,23.2201,23.3359,2965,0
ARWG.US,D,20260324,000000,23.46,23.544,23.46,23.544,304,0
ARWG.US,D,20260325,000000,23.8,23.89,23.7144,23.7144,1267,0
ARWG.US,D,20260326,000000,23.44,23.44,23.0505,23.0505,307,0
ARWG.US,D,20260327,000000,22.82,22.87,22.6338,22.6338,1285,0
ARWG.US,D,20260330,000000,22.48,22.48,22.095,22.122,1244,0
ARWG.US,D,20260331,000000,22.53,22.96,22.53,22.8861,2308,0
ARWG.US,D,20260401,000000,23.23,23.29,23.1425,23.1425,1984,0
ARWG.US,D,20260402,000000,23.37,23.4991,23.37,23.4991,200,0
ARWG.US,D,20260406,000000,23.7,23.7,23.4016,23.4016,533,0
ARWG.US,D,20260407,000000,23.55,23.55,23.33,23.5373,507,0
ARWG.US,D,20260408,000000,24.09,24.15,23.95,24.057,1383,0
