<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AXTU.US,D,20260508,000000,30.38,35.81,25.95,29.8866,161742,0
AXTU.US,D,20260511,000000,30.26,38,27.4,34.6539,240467,0
AXTU.US,D,20260512,000000,33,36.15,28.26,33,144571,0
AXTU.US,D,20260513,000000,37.47,38,29.7,32.455,180541,0
AXTU.US,D,20260514,000000,30.01,32.04,26.8699,28.73,129568,0
AXTU.US,D,20260515,000000,25.5,35.422,25.5,33.116,144722,0
AXTU.US,D,20260518,000000,33.49,33.49,23.275,23.52,144035,0
AXTU.US,D,20260519,000000,22.89,27.4,22.2,26.52,107695,0
AXTU.US,D,20260520,000000,27.6,28.095,21.5,22.655,176361,0
AXTU.US,D,20260521,000000,22.65,29.8799,22.27,29.5801,170565,0
AXTU.US,D,20260522,000000,29.52,39.5,27.44,39.09,218109,0
AXTU.US,D,20260526,000000,40.34,40.37,34.47,34.97,118111,0
AXTU.US,D,20260527,000000,35.53,35.53,25.69,29.5,224858,0
AXTU.US,D,20260528,000000,32.5,32.5,25.67,26.165,255910,0
AXTU.US,D,20260529,000000,25.5,25.5,19.01,20.31,318844,0
AXTU.US,D,20260601,000000,17.6,25.336,16.52,23.02,333798,0
AXTU.US,D,20260602,000000,25.955,28.5,22.15,23.28,261461,0
AXTU.US,D,20260603,000000,23.42,25.05,20.7401,21.78,187553,0
AXTU.US,D,20260604,000000,20.94,24,19.68,21.25,219006,0
AXTU.US,D,20260605,000000,19.15,20.65,13.8,14.45,331819,0
AXTU.US,D,20260608,000000,16.09,16.93,14.45,15.1346,200111,0
AXTU.US,D,20260609,000000,16.92,16.92,10.0901,10.75,291957,0
AXTU.US,D,20260610,000000,11.38,14.21,11.22,12.84,271793,0
AXTU.US,D,20260611,000000,14.59,14.59,11.84,13.7,304057,0
AXTU.US,D,20260612,000000,14.08,18.24,13.58,16.44,362188,0
AXTU.US,D,20260615,000000,20.14,22.9,19,21.02,672258,0
AXTU.US,D,20260616,000000,20,20.84,14.3,14.36,487591,0
AXTU.US,D,20260617,000000,15.54,15.9099,13.8,14.03,360930,0
AXTU.US,D,20260618,000000,15.11,15.55,10.62,11.755,857186,0
AXTU.US,D,20260622,000000,14.37,14.66,11.61,13.83,824242,0
AXTU.US,D,20260623,000000,11.41,12.3,9.045,9.51,620353,0
AXTU.US,D,20260624,000000,7.5499,7.5499,6.855,7.5499,983868,0
