<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CGOV.US,D,20260608,000000,25.03,25.04,25.02,25.02,200231,0
CGOV.US,D,20260609,000000,25.03,25.04,25,25.024,40394,0
CGOV.US,D,20260610,000000,25.24,25.24,25.03,25.045,122410,0
CGOV.US,D,20260611,000000,25.04,25.05,25.035,25.035,20617,0
CGOV.US,D,20260612,000000,25.04,25.05,25.035,25.035,120100,0
CGOV.US,D,20260615,000000,25.05,25.05,25.035,25.04,970,0
CGOV.US,D,20260617,000000,25.05,25.06,25.045,25.045,69832,0
CGOV.US,D,20260618,000000,25.03,25.03,25.03,25.03,2041,0
CGOV.US,D,20260622,000000,25.03,25.045,25.03,25.045,30431,0
CGOV.US,D,20260624,000000,25.07,25.08,25.06,25.0722,1405,0
