<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHNU.US,D,20260407,000000,19.32,19.5224,18.93,19.5224,3384,0
CHNU.US,D,20260410,000000,21.27,21.3795,21.2682,21.3795,345,0
CHNU.US,D,20260413,000000,19.7213,20.7928,19.7213,20.7928,354,0
CHNU.US,D,20260414,000000,21.6,22.06,20.5913,20.5913,1784,0
CHNU.US,D,20260415,000000,21.25,22.3997,21.25,22.1733,1714,0
CHNU.US,D,20260416,000000,22.63,23.6386,21.57,23.6386,1648,0
CHNU.US,D,20260417,000000,24.26,24.4,23.8007,23.8007,1545,0
CHNU.US,D,20260420,000000,21.88,22.037,21.88,22.037,110,0
CHNU.US,D,20260421,000000,22.48,22.7,21.7101,21.7101,2344,0
CHNU.US,D,20260422,000000,23.04,23.1,22.4026,22.4026,9686,0
CHNU.US,D,20260423,000000,21.62,21.7398,21.51,21.7398,516,0
CHNU.US,D,20260424,000000,21.94,22.315,21.94,22.315,244,0
CHNU.US,D,20260428,000000,21.35,21.7466,21.35,21.7466,1890,0
CHNU.US,D,20260429,000000,20.93,20.93,20.31,20.45,545,0
CHNU.US,D,20260501,000000,21.6,21.6,21.2484,21.2484,271,0
CHNU.US,D,20260504,000000,22.53,22.825,22.12,22.1855,754,0
CHNU.US,D,20260505,000000,23.591,23.8145,23.591,23.8145,394,0
CHNU.US,D,20260506,000000,25,25.1917,24.8019,25.1917,2066,0
CHNU.US,D,20260507,000000,24.44,24.6692,24.44,24.5745,939,0
CHNU.US,D,20260508,000000,25.3,27.545,25.01,26.9601,4095,0
CHNU.US,D,20260511,000000,27.385,28.609,27.385,28.5195,4115,0
CHNU.US,D,20260512,000000,26.561,26.6739,26.389,26.6739,1920,0
CHNU.US,D,20260513,000000,25.92,25.92,25.8627,25.8627,501,0
CHNU.US,D,20260514,000000,26.79,28.945,26.79,28.1592,4491,0
CHNU.US,D,20260515,000000,25.74,25.74,25,25.395,6931,0
CHNU.US,D,20260518,000000,22.35,22.4587,21.765,22.4515,3652,0
CHNU.US,D,20260519,000000,22.31,22.62,22.2018,22.2018,4386,0
CHNU.US,D,20260520,000000,23.03,23.84,22.805,23.0898,1651,0
CHNU.US,D,20260521,000000,22.57,23.7679,22.57,23.7679,302,0
CHNU.US,D,20260522,000000,23.8799,23.92,22.19,22.19,9458,0
CHNU.US,D,20260526,000000,22.6,22.65,21.8511,21.8511,1582,0
CHNU.US,D,20260527,000000,21.58,21.58,21,21.4348,1150,0
CHNU.US,D,20260528,000000,19.215,20.27,19.215,19.9035,1560,0
CHNU.US,D,20260529,000000,19.27,20.37,19.27,19.8904,1593,0
CHNU.US,D,20260601,000000,19.58,21.26,19.32,20.28,15449,0
CHNU.US,D,20260602,000000,19.46,19.46,17.21,17.6939,9507,0
CHNU.US,D,20260603,000000,17.63005,17.675,16.4037,16.4037,4444,0
CHNU.US,D,20260604,000000,15.95,15.98,15.2,15.7875,6690,0
CHNU.US,D,20260605,000000,14.15,14.15,12.48,12.8828,5246,0
CHNU.US,D,20260608,000000,15.19005,15.72,15.19005,15.5756,12695,0
CHNU.US,D,20260609,000000,14.77,15.06,14.155,14.8534,13206,0
CHNU.US,D,20260610,000000,14.53,14.55,13.8622,13.8622,1941,0
CHNU.US,D,20260611,000000,14.46,14.9968,14.46,14.9968,988,0
CHNU.US,D,20260612,000000,15.155,15.155,14.6098,14.6098,2364,0
CHNU.US,D,20260615,000000,16.97,17.275,16.6739,16.6739,4091,0
CHNU.US,D,20260616,000000,16.19,16.27,15.5,16.03,10391,0
CHNU.US,D,20260617,000000,15.71,16.255,15.165,15.202,7550,0
CHNU.US,D,20260618,000000,15.21,15.21,14.19,14.72,7383,0
CHNU.US,D,20260622,000000,15.42,15.58,14.7041,14.7041,1902,0
CHNU.US,D,20260623,000000,13.59,13.73,13.455,13.455,1359,0
CHNU.US,D,20260624,000000,13.0989,13.5699,11.82005,12.31,24251,0
