<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CIEG.US,D,20260515,000000,14.3,14.58,13.59,13.665,40838,0
CIEG.US,D,20260518,000000,14.1,14.1,11.8,12.01,26277,0
CIEG.US,D,20260519,000000,11.25,12.86,11.011,12.765,25351,0
CIEG.US,D,20260520,000000,13.54,14.11,13.18,13.379,39402,0
CIEG.US,D,20260521,000000,13.65,15.14,13.65,15.1,64604,0
CIEG.US,D,20260522,000000,15.615,15.615,14.387,14.89,54252,0
CIEG.US,D,20260526,000000,15.54,15.88,14.4808,15.86,74693,0
CIEG.US,D,20260527,000000,16.02,16.02,14.48,14.7375,40414,0
CIEG.US,D,20260528,000000,14.78,15.675,13.7,14.03,55806,0
CIEG.US,D,20260529,000000,14.19,14.72,12.55,14.53,197823,0
CIEG.US,D,20260601,000000,14.19,14.58,13.38,13.98,187410,0
CIEG.US,D,20260602,000000,14.98,17.2133,14.65,16.93,464522,0
CIEG.US,D,20260603,000000,16.79,17.409,15.955,16.5,519452,0
CIEG.US,D,20260604,000000,12.69,12.7285,9.62,11.99,6320719,0
CIEG.US,D,20260605,000000,10.89,11.48,9.8101,9.92,2302676,0
CIEG.US,D,20260608,000000,9.92,9.98,8.61,8.96,2026892,0
CIEG.US,D,20260609,000000,8.96,8.9888,7.05,7.91,2051310,0
CIEG.US,D,20260610,000000,7.82,8.305,7.37,7.75,782219,0
CIEG.US,D,20260611,000000,7.88,8.3,7.6385,8.11,798867,0
CIEG.US,D,20260612,000000,8.11,8.56,7.96,8.12,611743,0
CIEG.US,D,20260615,000000,9.16,9.3,8.1801,8.76,1307485,0
CIEG.US,D,20260616,000000,8.76,8.76,7.3608,7.53,1485915,0
CIEG.US,D,20260617,000000,7.46,8.13,7.31,7.74,509796,0
CIEG.US,D,20260618,000000,8.18,8.2,7.291,7.43,656512,0
CIEG.US,D,20260622,000000,7.58,8.5515,7.5,8.51,1244454,0
CIEG.US,D,20260623,000000,7.575,8.7589,7.52,8.46,721762,0
CIEG.US,D,20260624,000000,8.33,9.23,7.8,8.56,854061,0
