<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CMAG.US,D,20260608,000000,25.35,25.35,25.1391,25.1391,40070,0
CMAG.US,D,20260610,000000,24.76,24.76,24.3897,24.3897,80286,0
CMAG.US,D,20260612,000000,24.41,24.5181,24.41,24.5181,269,0
CMAG.US,D,20260615,000000,25.11,25.1499,25.11,25.1499,488,0
CMAG.US,D,20260616,000000,25.11,25.11,25.11,25.11,512,0
CMAG.US,D,20260617,000000,24.89,24.89,24.47,24.4959,277,0
CMAG.US,D,20260618,000000,24.87,24.87,24.87,24.87,19514,0
CMAG.US,D,20260622,000000,24.76,24.78,24.32,24.32,3259,0
CMAG.US,D,20260623,000000,24.78,24.78,23.98,24.005,88211,0
CMAG.US,D,20260624,000000,24.2,24.21,23.77,23.77,25096,0
