<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRDD.US,D,20260406,000000,20.84,20.84,20.7267,20.7267,112,0
CRDD.US,D,20260407,000000,20.01,20.2724,20.01,20.2724,203,0
CRDD.US,D,20260408,000000,20.92,20.99,20.65,20.762,3291,0
CRDD.US,D,20260410,000000,21.07,21.182,20.88,21.182,554,0
CRDD.US,D,20260414,000000,20.18,20.18,19.7623,19.7623,207,0
CRDD.US,D,20260417,000000,21.8599,21.88,21.4668,21.4668,1171,0
CRDD.US,D,20260420,000000,20.32,20.4242,20.26,20.4242,793,0
CRDD.US,D,20260421,000000,20.39,20.39,20.0102,20.0102,212,0
CRDD.US,D,20260422,000000,20.97,21.11,20.5201,20.5825,4990,0
CRDD.US,D,20260423,000000,20.05,20.37,19.92,20.1202,3148,0
CRDD.US,D,20260424,000000,20.59,20.61,20.584,20.584,214,0
CRDD.US,D,20260427,000000,20.22,20.28,19.99,19.99,1038,0
CRDD.US,D,20260430,000000,20.22,20.22,20.0917,20.0917,628,0
CRDD.US,D,20260501,000000,20.51,20.51,20.4148,20.4148,314,0
CRDD.US,D,20260504,000000,20.449,20.5,20.449,20.4607,701,0
CRDD.US,D,20260505,000000,21.17,21.17,20.94,21.1292,1429,0
CRDD.US,D,20260506,000000,21.7,21.8416,21.7,21.8416,644,0
CRDD.US,D,20260507,000000,22.2,22.2,21.39,21.528,2734,0
CRDD.US,D,20260508,000000,21.921,22.1999,21.921,22.1999,232,0
CRDD.US,D,20260511,000000,22.99,23.089,22.9,22.9744,1417,0
CRDD.US,D,20260512,000000,22.335,22.335,22.03,22.2282,748,0
CRDD.US,D,20260514,000000,21.88,22.55,21.815,22.3798,4044,0
CRDD.US,D,20260518,000000,20.205,20.4656,20.205,20.4656,556,0
CRDD.US,D,20260520,000000,20.3,20.3909,20.3,20.3909,721,0
CRDD.US,D,20260521,000000,20.02,20.62,20.02,20.563,513,0
CRDD.US,D,20260526,000000,19.989,20.11,19.53,19.5534,1558,0
CRDD.US,D,20260527,000000,19.68,19.75,19.48,19.5942,636,0
CRDD.US,D,20260528,000000,18.72,19.0299,18.59,19.0299,2552,0
CRDD.US,D,20260601,000000,18.521,18.7851,18.52,18.7851,1110,0
CRDD.US,D,20260603,000000,17.225,17.225,16.5757,16.5757,4063,0
CRDD.US,D,20260604,000000,15.25,15.25,15.08,15.0862,1449,0
CRDD.US,D,20260605,000000,13.31,13.31,12.735,13.0433,5894,0
CRDD.US,D,20260608,000000,13.1,13.9449,13.1,13.9449,5074,0
CRDD.US,D,20260609,000000,13.47,13.6889,13.14,13.6889,889,0
CRDD.US,D,20260610,000000,13.28,13.33,13.046,13.046,2257,0
CRDD.US,D,20260612,000000,14.03,14.04,13.886,13.886,3764,0
CRDD.US,D,20260615,000000,15.49,15.49,15.07,15.0918,4850,0
CRDD.US,D,20260616,000000,14.06,14.0999,14.0129,14.0129,927,0
CRDD.US,D,20260617,000000,13.619,13.62,13.4043,13.4043,1020,0
CRDD.US,D,20260618,000000,13.1,13.1982,13,13.1982,1892,0
CRDD.US,D,20260624,000000,11.75,11.81,11.32,11.35,5981,0
