<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DDFA.US,D,20260406,000000,19.3,19.3299,19.26,19.31,170011,0
DDFA.US,D,20260407,000000,19.33,19.33,19.2,19.32,3789111,0
DDFA.US,D,20260408,000000,19.52,19.55,19.4941,19.515,77704,0
DDFA.US,D,20260409,000000,19.61,19.61,19.51,19.58,73620,0
DDFA.US,D,20260410,000000,19.59,19.605,19.56,19.575,13371,0
DDFA.US,D,20260413,000000,19.59,19.63,19.55,19.628,33494,0
DDFA.US,D,20260414,000000,19.68,19.7299,19.675,19.72,64396,0
DDFA.US,D,20260415,000000,19.755,19.7554,19.7009,19.7554,42183,0
DDFA.US,D,20260416,000000,19.76,19.77,19.7101,19.77,63115,0
DDFA.US,D,20260417,000000,19.83,19.85,19.81,19.835,45199,0
DDFA.US,D,20260420,000000,19.78,19.83,19.7763,19.8,30251,0
DDFA.US,D,20260421,000000,19.83,19.83,19.745,19.78,33915,0
DDFA.US,D,20260422,000000,19.805,19.84,19.8001,19.84,54729,0
DDFA.US,D,20260423,000000,19.81,19.8499,19.732,19.81,50806,0
DDFA.US,D,20260424,000000,19.87,19.87,19.825,19.865,37776,0
DDFA.US,D,20260427,000000,19.86,19.86,19.85,19.86,14065,0
DDFA.US,D,20260428,000000,19.815,19.859,19.81,19.859,54632,0
DDFA.US,D,20260429,000000,19.87,19.87,19.79,19.84,67338,0
DDFA.US,D,20260430,000000,19.89,19.92,19.81,19.91,27777,0
DDFA.US,D,20260501,000000,19.94,19.96,19.9067,19.915,63963,0
DDFA.US,D,20260504,000000,19.92,19.93,19.83,19.88,9114,0
DDFA.US,D,20260505,000000,19.88,19.94,19.88,19.9,25717,0
DDFA.US,D,20260506,000000,19.91,19.99,19.91,19.965,14470,0
DDFA.US,D,20260507,000000,19.999,19.999,19.975,19.975,1858,0
DDFA.US,D,20260508,000000,19.97,20.01,19.97,20.0049,17160,0
DDFA.US,D,20260511,000000,19.92,20.02,19.92,19.94,15468,0
DDFA.US,D,20260512,000000,20,20.02,19.9101,19.98,59236,0
DDFA.US,D,20260513,000000,19.99,20.05,19.98,20.02,16850,0
DDFA.US,D,20260514,000000,20.05,20.08,20.02,20.0489,17139,0
DDFA.US,D,20260515,000000,20,20.04,19.971,19.99,3398,0
DDFA.US,D,20260518,000000,19.85,20.05,19.85,19.98,16750,0
DDFA.US,D,20260519,000000,20,20.03,19.9804,19.9804,564,0
DDFA.US,D,20260520,000000,20.04,20.06,20.03,20.035,3427,0
DDFA.US,D,20260521,000000,20.07,20.07,19.99,20.058,3242,0
DDFA.US,D,20260522,000000,20.12,20.13,20.1,20.115,13501,0
DDFA.US,D,20260526,000000,20.15,20.155,20.1,20.115,8672,0
DDFA.US,D,20260527,000000,20.12,20.1499,20.1,20.125,5750,0
DDFA.US,D,20260528,000000,20.12,20.18,20.08,20.15,42524,0
DDFA.US,D,20260529,000000,20.16,20.19,20.1316,20.165,4126,0
DDFA.US,D,20260601,000000,20.14,20.18,20.1211,20.145,10064,0
DDFA.US,D,20260602,000000,20.17,20.1899,20.11,20.14,4647,0
DDFA.US,D,20260603,000000,20.14,20.1699,20.09,20.1249,18350,0
DDFA.US,D,20260604,000000,20.13,20.15,20.13,20.15,467,0
DDFA.US,D,20260605,000000,20.11,20.11,20.029,20.029,5162,0
DDFA.US,D,20260608,000000,20.065,20.11,20.03,20.055,5073,0
DDFA.US,D,20260609,000000,20.1011,20.1011,19.9401,20.0293,3218,0
DDFA.US,D,20260610,000000,20,20.04,19.92,19.9552,10684,0
DDFA.US,D,20260611,000000,19.98,20.08,19.9627,20.05,1872,0
DDFA.US,D,20260612,000000,20.04,20.1,20.03,20.0701,17616,0
DDFA.US,D,20260615,000000,20.17,20.19,20.12,20.1502,27237,0
DDFA.US,D,20260616,000000,20.11,20.19,20.11,20.14,7584,0
DDFA.US,D,20260617,000000,20.1,20.17,20.055,20.0606,12785,0
DDFA.US,D,20260618,000000,20.05,20.14,20.05,20.117,25568,0
DDFA.US,D,20260622,000000,20.13,20.13,20.105,20.105,815,0
DDFA.US,D,20260623,000000,20.03,20.1,20.01,20.08,5218,0
DDFA.US,D,20260624,000000,20.0999,20.1,20.045,20.045,5114,0
