<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DDFM.US,D,20260316,000000,18.98,18.99,18.939,18.97,97407,0
DDFM.US,D,20260317,000000,19.02,19.03,18.97,18.99,98698,0
DDFM.US,D,20260318,000000,18.95,18.96,18.86,18.8663,179151,0
DDFM.US,D,20260319,000000,18.8,18.88,18.775,18.84,49153,0
DDFM.US,D,20260320,000000,18.82,18.82,18.68,18.72,80030,0
DDFM.US,D,20260323,000000,18.825,18.91,18.77,18.83,134224,0
DDFM.US,D,20260324,000000,18.79,18.84,18.72,18.79,59608,0
DDFM.US,D,20260325,000000,18.835,18.89,18.795,18.84,100804,0
DDFM.US,D,20260326,000000,18.779,18.82,18.7,18.7,68955,0
DDFM.US,D,20260327,000000,18.63,18.64,18.54,18.5551,26224,0
DDFM.US,D,20260330,000000,18.64,18.64,18.51,18.5299,12443,0
DDFM.US,D,20260331,000000,18.72,18.7727,18.6325,18.7727,17135,0
DDFM.US,D,20260401,000000,18.83,18.91,18.82,18.82,13964,0
DDFM.US,D,20260402,000000,18.78,18.8999,18.7,18.88,13337,0
DDFM.US,D,20260406,000000,18.89,18.94,18.855,18.9256,8516,0
DDFM.US,D,20260407,000000,18.87,18.888,18.7877,18.888,1340,0
DDFM.US,D,20260408,000000,19.18,19.18,19.04,19.12,28472,0
DDFM.US,D,20260409,000000,19.085,19.19,19.06,19.1899,15525,0
DDFM.US,D,20260410,000000,19.16,19.2,19.15,19.18,9952,0
DDFM.US,D,20260413,000000,19.15,19.2257,19.14,19.2257,8008,0
DDFM.US,D,20260414,000000,19.29,19.31,19.2701,19.2951,3307,0
DDFM.US,D,20260415,000000,19.32,19.345,19.29,19.345,19156,0
DDFM.US,D,20260416,000000,19.36,19.38,19.325,19.38,8307,0
DDFM.US,D,20260417,000000,19.43,19.44,19.4,19.43,1743,0
DDFM.US,D,20260420,000000,19.43,19.43,19.37,19.41,56938,0
DDFM.US,D,20260421,000000,19.45,19.45,19.36,19.39,14198,0
DDFM.US,D,20260422,000000,19.43,19.45,19.4,19.45,7202,0
DDFM.US,D,20260423,000000,19.44,19.44,19.38,19.415,2859,0
DDFM.US,D,20260424,000000,19.44,19.47,19.42,19.455,12270,0
DDFM.US,D,20260427,000000,19.41,19.47,19.41,19.465,5882,0
DDFM.US,D,20260428,000000,19.4,19.45,19.4,19.45,17119,0
DDFM.US,D,20260429,000000,19.45,19.45,19.41,19.4341,1071,0
DDFM.US,D,20260430,000000,19.475,19.505,19.47,19.505,4364,0
DDFM.US,D,20260501,000000,19.59,19.59,19.52,19.5249,11258,0
DDFM.US,D,20260504,000000,19.5,19.515,19.465,19.465,9228,0
DDFM.US,D,20260505,000000,19.54,19.54,19.51,19.53,4404,0
DDFM.US,D,20260506,000000,19.58,19.58,19.555,19.555,452,0
DDFM.US,D,20260507,000000,19.57,19.57,19.555,19.56,1469,0
DDFM.US,D,20260508,000000,19.62,19.62,19.605,19.605,1996,0
DDFM.US,D,20260511,000000,19.62,19.62,19.6,19.605,5019,0
DDFM.US,D,20260512,000000,19.62,19.62,19.58,19.58,12981,0
DDFM.US,D,20260513,000000,19.62,19.65,19.57,19.635,15263,0
DDFM.US,D,20260514,000000,19.64,19.66,19.6398,19.66,7207,0
DDFM.US,D,20260515,000000,19.62,19.64,19.6,19.625,6553,0
DDFM.US,D,20260518,000000,19.63,19.63,19.605,19.61,574,0
DDFM.US,D,20260519,000000,19.59,19.59,19.565,19.59,635,0
DDFM.US,D,20260520,000000,19.595,19.6342,19.59,19.6342,4880,0
DDFM.US,D,20260521,000000,19.61,19.65,19.61,19.65,1775,0
DDFM.US,D,20260522,000000,19.66,19.67,19.62,19.62,3185,0
DDFM.US,D,20260526,000000,19.6899,19.69,19.66,19.66,1886,0
DDFM.US,D,20260527,000000,19.7,19.7,19.68,19.68,425,0
DDFM.US,D,20260528,000000,19.6999,19.7299,19.6999,19.705,1745,0
DDFM.US,D,20260529,000000,19.71,19.75,19.7,19.7,2909,0
DDFM.US,D,20260601,000000,19.72,19.76,19.71,19.71,2772,0
DDFM.US,D,20260602,000000,19.74,19.74,19.71,19.714,8397,0
DDFM.US,D,20260603,000000,19.71,19.73,19.71,19.715,6786,0
DDFM.US,D,20260604,000000,19.75,19.75,19.735,19.735,422,0
DDFM.US,D,20260605,000000,19.67,19.705,19.6,19.6,32020,0
DDFM.US,D,20260608,000000,19.655,19.69,19.63,19.63,11784,0
DDFM.US,D,20260609,000000,19.66,19.66,19.56,19.6398,5455,0
DDFM.US,D,20260610,000000,19.625,19.625,19.52,19.53,1158,0
DDFM.US,D,20260611,000000,19.6,19.66,19.565,19.635,10400,0
DDFM.US,D,20260612,000000,19.67,19.72,19.655,19.72,1114,0
DDFM.US,D,20260615,000000,19.77,19.77,19.72,19.72,7797,0
DDFM.US,D,20260616,000000,19.745,19.7699,19.71,19.72,8857,0
DDFM.US,D,20260617,000000,19.765,19.765,19.64,19.64,17182,0
DDFM.US,D,20260618,000000,19.73,19.73,19.7249,19.7249,578,0
DDFM.US,D,20260622,000000,19.69,19.69,19.69,19.69,1054,0
DDFM.US,D,20260623,000000,19.665,19.68,19.63,19.63,2652,0
DDFM.US,D,20260624,000000,19.675,19.675,19.66,19.66,973,0
