<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DDSQ.US,D,20260105,000000,19.17,19.19,19.15,19.19,25216,0
DDSQ.US,D,20260106,000000,19.2097,19.229,19.185,19.2165,23343,0
DDSQ.US,D,20260107,000000,19.24,19.25,19.205,19.21,43413,0
DDSQ.US,D,20260108,000000,19.19,19.22,19.17,19.2058,36871,0
DDSQ.US,D,20260109,000000,19.25,19.315,19.2287,19.2407,14041,0
DDSQ.US,D,20260112,000000,19.25,19.2799,19.2456,19.2456,2706,0
DDSQ.US,D,20260113,000000,19.27,19.27,19.224,19.26,35704,0
DDSQ.US,D,20260114,000000,19.22,19.23,19.18,19.2158,23725,0
DDSQ.US,D,20260115,000000,19.28,19.29,19.25,19.2507,11726,0
DDSQ.US,D,20260116,000000,19.26,19.28,19.2173,19.265,10418,0
DDSQ.US,D,20260120,000000,19.1222,19.32,19.095,19.095,210321,0
DDSQ.US,D,20260121,000000,19.124,19.68,19.0901,19.1852,22084,0
DDSQ.US,D,20260122,000000,19.245,19.28,19.22,19.2397,8886,0
DDSQ.US,D,20260123,000000,19.26,19.29,19.24,19.27,10156,0
DDSQ.US,D,20260126,000000,19.27,19.32,19.27,19.2851,8644,0
DDSQ.US,D,20260127,000000,19.34,19.4,19.295,19.33,11787,0
DDSQ.US,D,20260128,000000,19.34,19.34,19.26,19.34,20245,0
DDSQ.US,D,20260129,000000,19.29,19.29,19.1889,19.2892,9515,0
DDSQ.US,D,20260130,000000,19.31,19.3299,19.2541,19.2771,10702,0
DDSQ.US,D,20260202,000000,19.27,19.36,19.27,19.36,9509,0
DDSQ.US,D,20260203,000000,19.3799,19.3799,19.19,19.23,13719,0
DDSQ.US,D,20260204,000000,19.29,19.29,19.21,19.27,716574,0
DDSQ.US,D,20260205,000000,19.1636,19.1885,19.1,19.1297,166606,0
DDSQ.US,D,20260206,000000,19.25,19.33,19.25,19.3158,46984,0
DDSQ.US,D,20260209,000000,19.339,19.39,19.339,19.3495,8040,0
DDSQ.US,D,20260210,000000,19.37,19.3899,19.355,19.37,112947,0
DDSQ.US,D,20260211,000000,19.3572,19.39,19.335,19.3449,27114,0
DDSQ.US,D,20260212,000000,19.39,19.39,19.25,19.27,17444,0
DDSQ.US,D,20260213,000000,19.2399,19.3,19.21,19.25,24452,0
DDSQ.US,D,20260217,000000,19.2,19.29,19.1862,19.28,7870,0
DDSQ.US,D,20260218,000000,19.3,19.37,19.275,19.34,95134,0
DDSQ.US,D,20260219,000000,19.245,19.32,19.245,19.265,7029,0
DDSQ.US,D,20260220,000000,19.29,19.37,19.29,19.3343,294838,0
DDSQ.US,D,20260223,000000,19.37,19.44,19.23,19.2527,40900,0
DDSQ.US,D,20260224,000000,19.28,19.38,19.245,19.3429,19202,0
DDSQ.US,D,20260225,000000,19.41,19.42,19.4048,19.4048,1049,0
DDSQ.US,D,20260226,000000,19.44,19.44,19.34,19.4,7241,0
DDSQ.US,D,20260227,000000,19.29,20.22,19.25,19.31,14982,0
DDSQ.US,D,20260302,000000,19.3,19.37,19.25,19.31,25948,0
DDSQ.US,D,20260303,000000,19.22,19.34,19.125,19.28,34252,0
DDSQ.US,D,20260304,000000,19.31,19.39,19.31,19.3439,2534,0
DDSQ.US,D,20260305,000000,19.31,19.31,19.23,19.25,1427,0
DDSQ.US,D,20260306,000000,19.1327,19.22,19.1327,19.141,13121,0
DDSQ.US,D,20260309,000000,19.14,20.12,19.02,19.22,10188,0
DDSQ.US,D,20260310,000000,19.25,19.34,19.2499,19.27,6742,0
DDSQ.US,D,20260311,000000,19.24,19.36,19.225,19.29,16377,0
DDSQ.US,D,20260312,000000,19.21,19.22,19.15,19.16,77419,0
DDSQ.US,D,20260313,000000,19.16,19.24,19.08,19.12,94801,0
DDSQ.US,D,20260316,000000,19.205,19.23,19.19,19.23,5573,0
DDSQ.US,D,20260317,000000,19.25,19.26,19.205,19.23,6422,0
DDSQ.US,D,20260318,000000,19.175,19.21,19.15,19.18,5334,0
DDSQ.US,D,20260319,000000,19.129,19.21,19.09,19.1797,29247,0
DDSQ.US,D,20260320,000000,19.12,19.1699,18.97,19.01,15212,0
DDSQ.US,D,20260323,000000,19.225,19.32,19.19,19.206,16461,0
DDSQ.US,D,20260324,000000,19.2,19.25,19.18,19.22,7418,0
DDSQ.US,D,20260325,000000,19.21,19.29,19.21,19.2856,1837,0
DDSQ.US,D,20260326,000000,19.2934,19.2934,19.11,19.11,15951,0
DDSQ.US,D,20260327,000000,19.06,19.12,18.82,18.83,24940,0
DDSQ.US,D,20260330,000000,18.9,19.02,18.595,18.6893,12971,0
DDSQ.US,D,20260331,000000,19.095,20.845,19.055,19.9,100306,0
DDSQ.US,D,20260401,000000,20.04,20.14,20.025,20.07,335329,0
DDSQ.US,D,20260402,000000,19.95,20.125,19.8915,20.06,58933,0
DDSQ.US,D,20260406,000000,20.12,20.16,20.1,20.14,46944,0
DDSQ.US,D,20260407,000000,20.12,20.13,20.01,20.13,94284,0
DDSQ.US,D,20260408,000000,20.44,20.44,20.32,20.32,4101,0
DDSQ.US,D,20260409,000000,20.38,20.46,20.38,20.46,8147,0
DDSQ.US,D,20260410,000000,20.48,20.48,20.42,20.46,2894,0
DDSQ.US,D,20260413,000000,20.44,20.5,20.41,20.5,11049,0
DDSQ.US,D,20260414,000000,20.57,20.61,20.55,20.57,41215,0
DDSQ.US,D,20260415,000000,20.62,20.62,20.56,20.6,29354,0
DDSQ.US,D,20260416,000000,20.605,20.6499,20.57,20.6185,12708,0
DDSQ.US,D,20260417,000000,20.72,20.72,20.6301,20.669,15047,0
DDSQ.US,D,20260420,000000,20.67,20.7,20.6478,20.6478,4702,0
DDSQ.US,D,20260421,000000,20.7,20.7,20.615,20.615,8646,0
DDSQ.US,D,20260422,000000,20.68,20.7,20.63,20.6608,18741,0
DDSQ.US,D,20260423,000000,20.665,20.7,20.608,20.645,19133,0
DDSQ.US,D,20260424,000000,20.65,20.72,20.5901,20.65,75967,0
DDSQ.US,D,20260427,000000,20.6821,20.73,20.66,20.7,12122,0
DDSQ.US,D,20260428,000000,20.72,20.73,20.66,20.7002,17254,0
DDSQ.US,D,20260429,000000,20.7,20.73,20.67,20.695,16862,0
DDSQ.US,D,20260430,000000,20.7,20.78,20.7,20.7549,10523,0
DDSQ.US,D,20260501,000000,20.82,20.82,20.74,20.765,44078,0
DDSQ.US,D,20260504,000000,20.8,20.8,20.71,20.7451,53573,0
DDSQ.US,D,20260505,000000,20.79,20.82,20.742,20.7706,5465,0
DDSQ.US,D,20260506,000000,20.85,20.85,20.78,20.78,16590,0
DDSQ.US,D,20260507,000000,20.85,20.85,20.815,20.815,8332,0
DDSQ.US,D,20260508,000000,20.6153,20.87,20.6153,20.84,34393,0
DDSQ.US,D,20260511,000000,20.87,20.87,20.8,20.8,11181,0
DDSQ.US,D,20260512,000000,20.85,20.86,20.815,20.835,20528,0
DDSQ.US,D,20260513,000000,20.87,20.88,20.82,20.82,10165,0
DDSQ.US,D,20260514,000000,20.89,20.91,20.8408,20.91,89401,0
DDSQ.US,D,20260515,000000,20.89,20.89,20.854,20.8626,45226,0
DDSQ.US,D,20260518,000000,20.94,20.94,20.87,20.8749,18304,0
DDSQ.US,D,20260519,000000,20.85,20.9,20.83,20.83,63525,0
DDSQ.US,D,20260520,000000,20.92,20.92,20.87,20.887,12026,0
DDSQ.US,D,20260521,000000,20.93,20.93,20.8601,20.92,11400,0
DDSQ.US,D,20260522,000000,20.94,20.94,20.89,20.91,17854,0
DDSQ.US,D,20260526,000000,20.96,20.96,20.92,20.95,9370,0
DDSQ.US,D,20260527,000000,20.925,20.96,20.9,20.9395,26436,0
DDSQ.US,D,20260528,000000,20.97,20.9792,20.9,20.945,96673,0
DDSQ.US,D,20260529,000000,20.99,21,20.92,20.99,8226,0
DDSQ.US,D,20260601,000000,20.96,21,20.93,20.9595,6810,0
DDSQ.US,D,20260602,000000,20.96,20.99,20.93,20.965,14712,0
DDSQ.US,D,20260603,000000,21.03,21.03,20.9301,20.965,17509,0
DDSQ.US,D,20260604,000000,20.99,21.01,20.93,20.9848,32562,0
DDSQ.US,D,20260605,000000,20.94,21,20.92,20.9449,11999,0
DDSQ.US,D,20260608,000000,20.99,20.99,20.93,20.9579,4121,0
DDSQ.US,D,20260609,000000,20.99,20.99,20.86,20.97,10886,0
DDSQ.US,D,20260610,000000,20.97,20.97,20.9149,20.9149,9059,0
DDSQ.US,D,20260611,000000,20.96,21,20.95,20.9599,5033,0
DDSQ.US,D,20260612,000000,20.99,21,20.96,21,8170,0
DDSQ.US,D,20260615,000000,21.03,21.03,20.9601,20.9701,8643,0
DDSQ.US,D,20260616,000000,21.02,21.0299,20.98,21.005,6176,0
DDSQ.US,D,20260617,000000,21.03,21.03,20.98,21,3105,0
DDSQ.US,D,20260618,000000,21.03,21.04,21.01,21.015,7638,0
DDSQ.US,D,20260622,000000,21.04,21.04,20.9901,21.04,16959,0
DDSQ.US,D,20260623,000000,21.04,21.05,21.02,21.035,12054,0
DDSQ.US,D,20260624,000000,21.0399,21.05,21.02,21.05,7397,0
