<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DDTA.US,D,20260406,000000,19.22,19.23,19.19,19.225,25102,0
DDTA.US,D,20260407,000000,19.19,19.2262,19.1,19.2262,17557,0
DDTA.US,D,20260408,000000,19.46,19.5222,19.44,19.4857,17528,0
DDTA.US,D,20260409,000000,19.4852,19.6097,19.4852,19.5799,2954,0
DDTA.US,D,20260410,000000,19.61,19.62,19.563,19.563,7037,0
DDTA.US,D,20260413,000000,19.57,19.67,19.53,19.6551,17271,0
DDTA.US,D,20260414,000000,19.75,19.79,19.735,19.7764,4986,0
DDTA.US,D,20260415,000000,19.83,19.83,19.79,19.83,992,0
DDTA.US,D,20260416,000000,19.88,19.88,19.82,19.8516,2848,0
DDTA.US,D,20260417,000000,19.96,19.96,19.91,19.9571,1335,0
DDTA.US,D,20260421,000000,19.96,19.96,19.8693,19.8693,1293,0
DDTA.US,D,20260422,000000,19.95,19.96,19.95,19.96,20080,0
DDTA.US,D,20260423,000000,19.94,19.94,19.87,19.91,400,0
DDTA.US,D,20260424,000000,19.92,19.9964,19.92,19.9964,1177,0
DDTA.US,D,20260427,000000,20,20.005,19.96,20.005,2233,0
DDTA.US,D,20260428,000000,19.93,19.965,19.9,19.965,2361,0
DDTA.US,D,20260429,000000,19.93,19.9999,19.9,19.9504,6829,0
DDTA.US,D,20260430,000000,19.96,20.09,19.92,20.0554,4513,0
DDTA.US,D,20260501,000000,20.08,20.0843,20.08,20.0843,101,0
DDTA.US,D,20260504,000000,20.11,20.11,20,20.03,539,0
DDTA.US,D,20260505,000000,20.13,20.13,20.06,20.085,202,0
DDTA.US,D,20260506,000000,20.17,20.2,20.17,20.19,2190,0
DDTA.US,D,20260507,000000,20.14,20.1674,20.14,20.1674,297,0
DDTA.US,D,20260508,000000,20.2,20.26,20.16,20.225,5144,0
DDTA.US,D,20260511,000000,20.19,20.25,20.19,20.21,464,0
DDTA.US,D,20260512,000000,20.14,20.2095,20.14,20.2095,1880,0
DDTA.US,D,20260513,000000,20.18,20.2352,20.18,20.2352,601,0
DDTA.US,D,20260514,000000,20.22,20.3,20.22,20.29,1744,0
DDTA.US,D,20260515,000000,20.19,20.235,20.19,20.235,1705,0
DDTA.US,D,20260518,000000,20.205,20.245,20.19,20.2403,13212,0
DDTA.US,D,20260519,000000,20.2,20.2,20.1911,20.1911,1505,0
DDTA.US,D,20260520,000000,20.22,20.27,20.22,20.27,3155,0
DDTA.US,D,20260521,000000,20.22,20.2994,20.22,20.2994,3000,0
DDTA.US,D,20260522,000000,20.34,20.34,20.28,20.32,12198,0
DDTA.US,D,20260526,000000,20.33,20.3531,20.31,20.3531,3036,0
DDTA.US,D,20260527,000000,20.31,20.35,20.31,20.35,1500,0
DDTA.US,D,20260528,000000,20.36,20.39,20.35,20.39,2064,0
DDTA.US,D,20260601,000000,20.32,20.4166,20.32,20.4166,2806,0
DDTA.US,D,20260603,000000,20.35,20.3836,20.35,20.3836,1503,0
DDTA.US,D,20260604,000000,20.38,20.4054,20.38,20.4054,1525,0
DDTA.US,D,20260608,000000,20.28,20.28,20.26,20.2675,1600,0
DDTA.US,D,20260609,000000,20.2,20.2289,20.19,20.2289,1630,0
DDTA.US,D,20260610,000000,20.2,20.2,20.1,20.1247,2500,0
DDTA.US,D,20260612,000000,20.29,20.2947,20.25,20.2947,2255,0
DDTA.US,D,20260616,000000,20.37,20.3998,20.36,20.3998,2000,0
DDTA.US,D,20260617,000000,20.35,20.36,20.2851,20.2851,1700,0
DDTA.US,D,20260618,000000,20.35,20.4,20.34,20.38,18244,0
DDTA.US,D,20260622,000000,20.32,20.37,20.32,20.3548,6300,0
DDTA.US,D,20260623,000000,20.3,20.3,20.2698,20.2698,386,0
DDTA.US,D,20260624,000000,20.2101,20.28,20.2101,20.28,2741,0
