<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DDTY.US,D,20260504,000000,19.79,19.79,19.655,19.715,91502,0
DDTY.US,D,20260505,000000,19.8,19.86,19.79,19.815,176490,0
DDTY.US,D,20260506,000000,19.88,19.94,19.88,19.94,35382,0
DDTY.US,D,20260507,000000,19.94,19.96,19.89,19.9,94030,0
DDTY.US,D,20260508,000000,19.9799,20,19.956,19.9699,82626,0
DDTY.US,D,20260511,000000,20,20.03,19.93,19.9301,18972,0
DDTY.US,D,20260512,000000,19.93,19.96,19.85,19.96,25067,0
DDTY.US,D,20260513,000000,19.99,20.04,19.94,20.04,44786,0
DDTY.US,D,20260514,000000,20.03,20.12,20.03,20.11,84564,0
DDTY.US,D,20260515,000000,20.01,20.05,19.98,20,74274,0
DDTY.US,D,20260518,000000,20,20.0399,19.945,20.005,30593,0
DDTY.US,D,20260519,000000,20.02,20.02,19.91,19.95,36648,0
DDTY.US,D,20260520,000000,19.97,20.05,19.95,20.042,11996,0
DDTY.US,D,20260521,000000,20.02,20.09,19.99,20.0734,35993,0
DDTY.US,D,20260522,000000,20.14,20.15,20.03,20.03,27602,0
DDTY.US,D,20260526,000000,20.09,20.16,20.09,20.1306,5076,0
DDTY.US,D,20260527,000000,20.15,20.19,20.09,20.1403,18876,0
DDTY.US,D,20260528,000000,20.14,20.23,20.14,20.2,80812,0
DDTY.US,D,20260529,000000,20.23,20.24,20.215,20.24,8218,0
DDTY.US,D,20260601,000000,20.22,20.29,20.19,20.29,4090,0
DDTY.US,D,20260602,000000,20.24,20.29,20.21,20.25,16234,0
DDTY.US,D,20260603,000000,20.259,20.26,20.16,20.2,5690,0
DDTY.US,D,20260604,000000,20.22,20.28,20.16,20.235,11558,0
DDTY.US,D,20260605,000000,20.1699,20.1699,19.92,19.9853,4943,0
DDTY.US,D,20260608,000000,20.16,20.16,20.0091,20.0091,5754,0
DDTY.US,D,20260609,000000,20.12,20.12,19.74,19.9673,65833,0
DDTY.US,D,20260610,000000,20.05,20.48,19.84,19.84,24841,0
DDTY.US,D,20260611,000000,19.91,19.9981,19.81,19.9981,3364,0
DDTY.US,D,20260612,000000,20,20.08,19.9812,20.05,83842,0
DDTY.US,D,20260615,000000,20.215,20.263,20.2,20.22,6943,0
DDTY.US,D,20260616,000000,20.25,20.25,20.22,20.22,23261,0
DDTY.US,D,20260617,000000,20.22,20.22,20.025,20.0414,5550,0
DDTY.US,D,20260618,000000,20.17,20.18,20.09,20.17,3238,0
DDTY.US,D,20260622,000000,20.12,20.21,20.09,20.1311,8750,0
DDTY.US,D,20260623,000000,20.03,20.08,20.0098,20.0098,14127,0
DDTY.US,D,20260624,000000,20.025,20.12,19.99,20.01,9307,0
