<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DLFE.US,D,20260303,000000,29.985,30.18,29.925,30.1557,53097,0
DLFE.US,D,20260304,000000,30.23,30.2712,30.21,30.2593,5239,0
DLFE.US,D,20260305,000000,30.1245,30.15,30,30.1271,48385,0
DLFE.US,D,20260306,000000,29.845,30.0699,29.845,29.8836,80808,0
DLFE.US,D,20260309,000000,29.68,30.17,29.67,30.08,61400,0
DLFE.US,D,20260310,000000,29.98,30.18,29.98,29.995,13915,0
DLFE.US,D,20260311,000000,30.0305,30.05,29.945,29.9989,22954,0
DLFE.US,D,20260312,000000,29.83,29.88,29.7365,29.7365,5574,0
DLFE.US,D,20260313,000000,29.74,29.76,29.6276,29.6276,1799,0
DLFE.US,D,20260316,000000,29.88,29.89,29.8,29.8366,6214,0
DLFE.US,D,20260317,000000,30.01,30.01,29.885,29.8879,20420,0
DLFE.US,D,20260318,000000,29.83,29.86,29.6283,29.6283,7763,0
DLFE.US,D,20260319,000000,29.54,29.5941,29.49,29.5941,4679,0
DLFE.US,D,20260320,000000,29.5,29.5,29.22,29.2982,183912,0
DLFE.US,D,20260323,000000,29.55,29.74,29.51,29.5415,90195,0
DLFE.US,D,20260324,000000,29.4,29.543,29.4,29.4512,4353,0
DLFE.US,D,20260325,000000,29.6151,29.63,29.565,29.5741,4378,0
DLFE.US,D,20260326,000000,29.475,29.51,29.2575,29.2575,22820,0
DLFE.US,D,20260327,000000,29.14,29.18,28.96,28.9632,2460,0
DLFE.US,D,20260330,000000,29.04,29.065,28.82,28.9033,19836,0
DLFE.US,D,20260331,000000,29.21,29.47,29.15,29.4261,11339,0
DLFE.US,D,20260401,000000,29.57,29.66,29.55,29.6,30099,0
DLFE.US,D,20260402,000000,29.33,29.64,29.33,29.6232,40317,0
DLFE.US,D,20260406,000000,29.67,29.7399,29.655,29.6929,7459,0
DLFE.US,D,20260407,000000,29.6,29.6881,29.52,29.6881,5568,0
DLFE.US,D,20260408,000000,30.12,30.19,30.05,30.1235,48350,0
DLFE.US,D,20260409,000000,30.14,30.32,30.07,30.27,13116,0
DLFE.US,D,20260410,000000,30.32,30.32,30.2,30.2312,15377,0
DLFE.US,D,20260413,000000,30.245,30.4101,30.21,30.4101,5527,0
DLFE.US,D,20260414,000000,30.51,30.61,30.5,30.61,22632,0
DLFE.US,D,20260415,000000,30.65,30.7,30.6,30.69,36307,0
DLFE.US,D,20260416,000000,30.62,30.76,30.62,30.725,1875,0
DLFE.US,D,20260417,000000,30.845,30.92,30.84,30.8945,3221,0
