<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DLMY.US,D,20260521,000000,29.73,29.73,29.55,29.65,39926,0
DLMY.US,D,20260522,000000,30.33,30.33,29.715,29.76,1075681,0
DLMY.US,D,20260526,000000,30.04,30.04,29.8,29.82,22934,0
DLMY.US,D,20260527,000000,29.94,29.94,29.795,29.8599,26822,0
DLMY.US,D,20260528,000000,29.85,29.95,29.85,29.905,24849,0
DLMY.US,D,20260529,000000,29.93,29.99,29.93,29.96,746575,0
DLMY.US,D,20260601,000000,30.56,30.56,29.96,29.9801,3837,0
DLMY.US,D,20260602,000000,29.9899,30.02,29.985,30.02,13549,0
DLMY.US,D,20260603,000000,29.94,29.9514,29.89,29.9048,30537,0
DLMY.US,D,20260604,000000,30.01,30.01,29.88,29.97,3451,0
DLMY.US,D,20260605,000000,30,30,29.51,29.61,12407,0
DLMY.US,D,20260608,000000,29.68,29.7083,29.615,29.615,11058,0
DLMY.US,D,20260609,000000,29.5738,29.6,29.51,29.5489,4194,0
DLMY.US,D,20260610,000000,29.62,29.62,29.35,29.35,9752,0
DLMY.US,D,20260611,000000,29.54,29.6889,29.34,29.66,19956,0
DLMY.US,D,20260612,000000,29.67,29.72,29.63,29.72,5559,0
DLMY.US,D,20260615,000000,29.96,30,29.9599,29.965,6852,0
DLMY.US,D,20260616,000000,29.98,30.01,29.9147,29.9147,4009,0
DLMY.US,D,20260617,000000,30.04,30.04,29.695,29.695,11931,0
DLMY.US,D,20260618,000000,30.02,30.02,29.81,29.8647,8901,0
DLMY.US,D,20260622,000000,30.02,30.02,29.76,29.81,9274,0
DLMY.US,D,20260623,000000,29.73,29.73,29.5841,29.6294,2986,0
DLMY.US,D,20260624,000000,29.743,29.743,29.54,29.54,13339,0
