<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DPRE.US,D,20260417,000000,25.51,25.51,25.4294,25.4294,109,0
DPRE.US,D,20260420,000000,25.55,25.59,25.5466,25.5466,552,0
DPRE.US,D,20260421,000000,25.71,25.71,25.24,25.3352,1855,0
DPRE.US,D,20260422,000000,25.26,25.26,25.0209,25.0209,2017,0
DPRE.US,D,20260424,000000,25.33,25.33,25.3213,25.3213,397,0
DPRE.US,D,20260427,000000,25.24,25.24,25.1454,25.1454,837,0
DPRE.US,D,20260501,000000,25.49,25.49,25.4806,25.4806,106,0
DPRE.US,D,20260504,000000,25.45,25.45,25.3346,25.3346,154,0
DPRE.US,D,20260505,000000,25.53,25.53,25.48,25.48,101,0
DPRE.US,D,20260511,000000,25.86,25.86,25.6858,25.6858,132,0
DPRE.US,D,20260515,000000,25.34,25.36,25.2417,25.2417,503,0
DPRE.US,D,20260520,000000,25.47,25.5177,25.47,25.5177,2000,0
DPRE.US,D,20260527,000000,25.81,25.81,25.7579,25.7579,1501,0
DPRE.US,D,20260528,000000,25.78,25.78,25.6791,25.6791,493,0
DPRE.US,D,20260612,000000,26.11,26.11,26.1005,26.1005,4000,0
DPRE.US,D,20260615,000000,26.25,26.29,26.09,26.1326,4001,0
DPRE.US,D,20260617,000000,25.99,25.99,25.28,25.3441,19400,0
DPRE.US,D,20260618,000000,26.03,26.12,25.9467,25.9467,20100,0
DPRE.US,D,20260622,000000,25.4,25.6119,25.4,25.5507,19141,0
DPRE.US,D,20260623,000000,26.09,26.14,26.09,26.1359,4180,0
