<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EHCC.US,D,20260407,000000,24.71,25.1192,24.71,25.1192,625,0
EHCC.US,D,20260408,000000,26.16,26.17,26.0583,26.0583,1371,0
EHCC.US,D,20260409,000000,25.74,26.2066,25.74,26.2066,456,0
EHCC.US,D,20260410,000000,26.42,26.51,26.42,26.469,350,0
EHCC.US,D,20260413,000000,25.935,26.3613,25.935,26.3613,751,0
EHCC.US,D,20260414,000000,27.29,27.29,26.7691,26.7691,128,0
EHCC.US,D,20260415,000000,26.94,27.2016,26.94,27.2016,127,0
EHCC.US,D,20260416,000000,26.75,27.1382,26.75,27.1382,2090,0
EHCC.US,D,20260417,000000,27.6,27.6,27.5373,27.5373,189,0
EHCC.US,D,20260420,000000,26.24,26.5087,26.24,26.5087,155,0
EHCC.US,D,20260421,000000,26.41,26.45,26.15,26.1687,2132,0
EHCC.US,D,20260422,000000,27.1,27.1,27.0386,27.0386,204,0
EHCC.US,D,20260424,000000,26.44,26.544,26.44,26.544,120,0
EHCC.US,D,20260428,000000,26.09,26.3375,26.09,26.3375,963,0
EHCC.US,D,20260429,000000,26.02,26.075,25.6764,25.6764,2119,0
EHCC.US,D,20260501,000000,26.01,26.0726,26.01,26.0726,968,0
EHCC.US,D,20260505,000000,26.455,26.455,26.36,26.3617,1425,0
EHCC.US,D,20260506,000000,26.34,26.34,26.28,26.28,325,0
EHCC.US,D,20260521,000000,24.28,24.433,24.28,24.433,107,0
EHCC.US,D,20260522,000000,24.2699,24.2699,23.6328,23.6328,131,0
EHCC.US,D,20260527,000000,23.4105,23.4365,23.4105,23.4365,129,0
EHCC.US,D,20260528,000000,22.61,23.1193,22.61,23.1193,949,0
EHCC.US,D,20260602,000000,22.5,22.5,21.995,21.995,927,0
EHCC.US,D,20260603,000000,21.5,21.5,20.8505,20.8505,1920,0
EHCC.US,D,20260605,000000,18.76,18.76,18.12,18.4116,1065,0
EHCC.US,D,20260611,000000,18.79,19.1621,18.79,19.1621,589,0
EHCC.US,D,20260615,000000,20.0583,20.0583,19.905,19.9316,2023,0
EHCC.US,D,20260616,000000,19.76,19.7839,19.74,19.7839,465,0
EHCC.US,D,20260617,000000,19.63,19.6301,19.4857,19.4857,2055,0
EHCC.US,D,20260618,000000,19.19,19.4,19.19,19.4,1278,0
EHCC.US,D,20260622,000000,19.53,19.65,19.461,19.461,378,0
EHCC.US,D,20260624,000000,18.69,18.6901,18.69,18.6901,334,0
