<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EMFI.US,D,20260428,000000,49.74,49.7879,49.72,49.7879,892,0
EMFI.US,D,20260429,000000,49.73,49.73,49.6648,49.6648,7497,0
EMFI.US,D,20260430,000000,49.79,49.8874,49.79,49.8874,301,0
EMFI.US,D,20260506,000000,50.36,50.4842,50.36,50.4842,6590,0
EMFI.US,D,20260508,000000,50.43,50.4497,50.43,50.4497,1380,0
EMFI.US,D,20260511,000000,50.445,50.445,50.365,50.365,495,0
EMFI.US,D,20260521,000000,49.69,49.7879,49.65,49.7879,5390,0
EMFI.US,D,20260526,000000,49.97,49.9751,49.97,49.9751,1120,0
EMFI.US,D,20260529,000000,50.43,50.515,50.43,50.515,970,0
EMFI.US,D,20260602,000000,50.68,50.72,50.68,50.72,355,0
EMFI.US,D,20260605,000000,50.41,50.41,50.3591,50.3591,1040,0
EMFI.US,D,20260610,000000,50.25,50.25,50.1901,50.1901,199,0
