<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EMJN.US,D,20260608,000000,23.41,24.06,23.41,23.8486,19500,0
EMJN.US,D,20260609,000000,23.55,23.9897,23.49,23.9897,10500,0
EMJN.US,D,20260611,000000,24.2,24.4219,24.2,24.4219,3000,0
EMJN.US,D,20260612,000000,24.21,24.7034,24.21,24.7034,9100,0
EMJN.US,D,20260616,000000,24.77,24.79,24.7054,24.7054,3100,0
EMJN.US,D,20260617,000000,24.86,24.86,24.6167,24.6167,3000,0
EMJN.US,D,20260618,000000,24.96,25.0284,24.96,25.0284,6100,0
EMJN.US,D,20260622,000000,25.07,25.07,24.9594,24.9594,5900,0
EMJN.US,D,20260623,000000,24.26,24.26,24.26,24.26,900,0
EMJN.US,D,20260624,000000,24.24,24.24,24.24,24.24,200,0
