<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EOSU.US,D,20260115,000000,629.42,745,625,629.42,3066.92,0
EOSU.US,D,20260116,000000,631.615,717,618.75,667,3963.7200000000003,0
EOSU.US,D,20260120,000000,617.328,748.12,589.5,653.25,3515.76,0
EOSU.US,D,20260121,000000,687.5,719.875,528.5,672.505,5241.400000000001,0
EOSU.US,D,20260122,000000,715.045,762.5,673.252,724.738,2709.2400000000002,0
EOSU.US,D,20260123,000000,692.625,725,633.75,634,2208.92,0
EOSU.US,D,20260126,000000,616.25,621.5,525,567.712,3921.88,0
EOSU.US,D,20260127,000000,543.692,550.625,482.5,485.375,6704.96,0
EOSU.US,D,20260128,000000,486,592.11,485.25,590.662,7144,0
EOSU.US,D,20260129,000000,564.75,611.25,487.502,547.848,5520.6,0
EOSU.US,D,20260130,000000,537.5,550.75,430.252,450,8965.52,0
EOSU.US,D,20260202,000000,428.5,445,388.25,420.338,5919.36,0
EOSU.US,D,20260203,000000,450,460.125,371.002,431.03,5314.400000000001,0
EOSU.US,D,20260204,000000,412.625,412.625,262.75,310.5,10479.56,0
EOSU.US,D,20260205,000000,278.5,290.25,237.5,252.6,15537.44,0
EOSU.US,D,20260206,000000,270.5,302.125,265.25,298.252,7501.04,0
EOSU.US,D,20260209,000000,307.5,350.25,285.625,347.5,11295.72,0
EOSU.US,D,20260210,000000,344.75,347.75,290.5,294.75,5022.8,0
EOSU.US,D,20260211,000000,330,331.875,239,262.25,14536.56,0
EOSU.US,D,20260212,000000,269.75,269.75,220,224.5,10843,0
EOSU.US,D,20260213,000000,231.5,252.145,212.75,237.01,6390.28,0
EOSU.US,D,20260217,000000,226.01,254.5,221,254,5604.92,0
EOSU.US,D,20260218,000000,259,284.25,244.5,256.75,5197,0
EOSU.US,D,20260219,000000,251.75,255.25,234.502,251.61,5510.36,0
EOSU.US,D,20260220,000000,246.25,252.12,210.5,220.25,8526.08,0
EOSU.US,D,20260223,000000,206,210,187.5,204.5,4676.4400000000005,0
EOSU.US,D,20260224,000000,200,248.75,186,247.515,5948.88,0
EOSU.US,D,20260225,000000,251.5,261.998,229.35,235.5,8196,0
