<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FEMG.US,D,20260501,000000,25.21,25.21,25.075,25.15,4145,0
FEMG.US,D,20260504,000000,25.39,25.39,25.17,25.2027,1125,0
FEMG.US,D,20260505,000000,25.4499,25.46,25.4054,25.4054,1381,0
FEMG.US,D,20260506,000000,25.53,25.6974,25.53,25.6974,10503,0
FEMG.US,D,20260507,000000,25.81,25.81,25.465,25.5678,1995,0
FEMG.US,D,20260508,000000,25.33,25.34,25.2955,25.2955,2994,0
FEMG.US,D,20260511,000000,25.35,25.4,25.35,25.3712,2040,0
FEMG.US,D,20260512,000000,25.22,25.28,25.2,25.2472,3618,0
FEMG.US,D,20260513,000000,25.05,25.2076,25,25.2076,637,0
FEMG.US,D,20260514,000000,25.29,25.3535,25.29,25.3535,1206,0
FEMG.US,D,20260515,000000,25.07,25.14,25.02,25.0566,3331,0
FEMG.US,D,20260518,000000,24.84,25.05,24.84,25.0468,922,0
FEMG.US,D,20260519,000000,24.93,24.93,24.8525,24.8525,396,0
FEMG.US,D,20260520,000000,25.1,25.23,25.1,25.2186,764,0
FEMG.US,D,20260521,000000,25.09,25.3015,25.0899,25.3015,601,0
FEMG.US,D,20260522,000000,25.51,25.6221,25.51,25.6221,447,0
FEMG.US,D,20260526,000000,25.8899,25.8899,25.8382,25.8382,1300,0
FEMG.US,D,20260527,000000,26.17,26.17,25.7834,25.7834,443,0
FEMG.US,D,20260528,000000,25.73,26.09,25.7299,26.0663,1826,0
FEMG.US,D,20260529,000000,26.15,26.23,26.02,26.2296,770,0
FEMG.US,D,20260601,000000,26.2,26.4592,26.2,26.4592,1541,0
FEMG.US,D,20260602,000000,26.25,26.3685,26.25,26.3685,1649,0
FEMG.US,D,20260603,000000,26.19,26.19,26.1399,26.146,2479,0
FEMG.US,D,20260604,000000,26.29,26.39,26.29,26.3849,8070,0
FEMG.US,D,20260605,000000,26.0699,26.0699,25.61,25.6453,907,0
FEMG.US,D,20260608,000000,25.64,25.64,25.613,25.613,260,0
FEMG.US,D,20260609,000000,26.03,26.03,25.2,25.7025,2767,0
FEMG.US,D,20260610,000000,25.44,25.44,25.2274,25.2274,689,0
FEMG.US,D,20260612,000000,25.865,25.92,25.74,25.8808,8862,0
FEMG.US,D,20260615,000000,26.35,26.41,26.2962,26.2962,6858,0
FEMG.US,D,20260616,000000,26.27,26.3,26.1423,26.1423,405,0
FEMG.US,D,20260617,000000,26.32,26.32,25.8454,25.8454,5806,0
FEMG.US,D,20260618,000000,26.16,26.16,26.06,26.096,2332,0
FEMG.US,D,20260622,000000,26.065,26.1,26.0199,26.1,1211,0
FEMG.US,D,20260623,000000,25.86,25.95,25.7231,25.7231,389,0
FEMG.US,D,20260624,000000,26.05,26.05,26.03,26.0301,651,0
