<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FGRU.US,D,20260223,000000,15.62,16.2847,15.16,16.2847,15289,0
FGRU.US,D,20260224,000000,15.3,15.89,14.86,15.8216,19292,0
FGRU.US,D,20260225,000000,16.3,21.3299,16.3,20.88,94340,0
FGRU.US,D,20260226,000000,20.46,21.4,18.8437,19.83,53415,0
FGRU.US,D,20260227,000000,15.8754,17.07,9.55,9.765,175654,0
FGRU.US,D,20260302,000000,9.96,14.195,9.96,13.2,171171,0
FGRU.US,D,20260303,000000,11.94,12.48,10.99,12.1499,53303,0
FGRU.US,D,20260304,000000,13.5,15.1,13.15,13.7734,67055,0
FGRU.US,D,20260305,000000,14.62,15.33,13.07,14.68,71019,0
FGRU.US,D,20260306,000000,13.438,14.22,12.87,13.6,53791,0
FGRU.US,D,20260309,000000,14.1361,16.08,13.41,15.35,40194,0
FGRU.US,D,20260310,000000,16.98,22.345,15.9,22.3,274121,0
FGRU.US,D,20260311,000000,21.84,24.98,19.45,20.72,97386,0
FGRU.US,D,20260312,000000,19.5,21.205,18.12,18.5,52968,0
FGRU.US,D,20260313,000000,19.135,19.72,16.9604,17.21,47702,0
FGRU.US,D,20260316,000000,18.4,19.48,17.42,17.59,78398,0
FGRU.US,D,20260317,000000,17.32,18.25,16.2552,16.79,84500,0
FGRU.US,D,20260318,000000,15.5,16.36,15.13,15.8944,41973,0
FGRU.US,D,20260319,000000,13.89,15.24,13.21,15.24,37181,0
FGRU.US,D,20260320,000000,16.3,16.68,15.23,16.44,35701,0
FGRU.US,D,20260323,000000,15.64,16.52,14.79,15.29,69817,0
FGRU.US,D,20260324,000000,15.58,16.3,14.22,15.703,38100,0
FGRU.US,D,20260325,000000,16.3,16.49,13.54,13.6485,49956,0
FGRU.US,D,20260326,000000,13.79,14.68,13.79,14.07,43755,0
FGRU.US,D,20260327,000000,14.15,14.19,12.955,13.31,46557,0
FGRU.US,D,20260330,000000,13.83,13.83,12.8,12.94,35388,0
FGRU.US,D,20260331,000000,13.61,16,13.28,15.62,175320,0
FGRU.US,D,20260401,000000,16.07,16.49,14.78,14.84,30368,0
FGRU.US,D,20260402,000000,13.55,16.09,13.3,16.06,41399,0
FGRU.US,D,20260406,000000,16.2,16.2,13.36,14.01,63101,0
