<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FSEG.US,D,20260501,000000,25.26,25.579,25.26,25.56,3206,0
FSEG.US,D,20260504,000000,26.1,26.1,25.5,25.5,3768,0
FSEG.US,D,20260505,000000,25.89,25.97,25.89,25.97,806,0
FSEG.US,D,20260506,000000,26.65,26.65,25.94,26.2951,11854,0
FSEG.US,D,20260507,000000,26.4,26.4,25.71,25.81,1643,0
FSEG.US,D,20260508,000000,26.55,26.55,25.7999,25.8934,1716,0
FSEG.US,D,20260511,000000,26.12,26.2399,26.06,26.1,1453,0
FSEG.US,D,20260512,000000,25.58,25.8662,25.5,25.8662,4959,0
FSEG.US,D,20260513,000000,25.51,25.9548,25.51,25.9548,455,0
FSEG.US,D,20260514,000000,25.87,26.1555,25.87,26.1555,2167,0
FSEG.US,D,20260515,000000,25.54,25.59,25.48,25.505,2901,0
FSEG.US,D,20260518,000000,25.05,25.74,25.05,25.259,1820,0
FSEG.US,D,20260520,000000,25.67,25.75,25.64,25.7498,2480,0
FSEG.US,D,20260521,000000,25.81,26.0361,25.81,26.0361,1183,0
FSEG.US,D,20260522,000000,26.35,26.37,26.24,26.3383,1957,0
FSEG.US,D,20260526,000000,26.825,26.87,26.825,26.8411,1178,0
FSEG.US,D,20260527,000000,26.87,26.96,26.8672,26.8672,573,0
FSEG.US,D,20260529,000000,26.9,26.9,26.894,26.894,347,0
FSEG.US,D,20260601,000000,27.42,27.42,26.62,26.8275,11417,0
FSEG.US,D,20260605,000000,26.15,26.15,25.86,25.8929,1114,0
FSEG.US,D,20260608,000000,26.205,26.28,26.0594,26.0594,1605,0
FSEG.US,D,20260609,000000,26.44,26.44,25.7899,26.1801,3603,0
FSEG.US,D,20260610,000000,26.6,26.6,25.9002,25.9002,2073,0
FSEG.US,D,20260611,000000,26.31,26.7695,26.31,26.7695,166,0
FSEG.US,D,20260612,000000,27.065,27.15,26.9533,26.9533,1316,0
FSEG.US,D,20260615,000000,27.45,27.45,27.3114,27.3114,470,0
FSEG.US,D,20260616,000000,27.93,27.93,27.0567,27.0567,652,0
FSEG.US,D,20260617,000000,27.29,27.53,27.01,27.012,3680,0
FSEG.US,D,20260618,000000,27.4199,27.6582,27.32,27.6582,1187,0
FSEG.US,D,20260622,000000,27.81,27.99,27.78,27.99,1583,0
FSEG.US,D,20260623,000000,27.67,27.81,27.57,27.6183,4916,0
FSEG.US,D,20260624,000000,28.01,28.01,27.76,27.76,2650,0
