<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FSEV.US,D,20260501,000000,25.09,25.34,25.09,25.3381,1755,0
FSEV.US,D,20260504,000000,25.82,25.82,25.105,25.14,1910,0
FSEV.US,D,20260505,000000,25.53,25.54,25.4735,25.4735,2931,0
FSEV.US,D,20260506,000000,25.61,25.75,25.61,25.7031,11547,0
FSEV.US,D,20260507,000000,25.555,25.555,25.3053,25.3053,517,0
FSEV.US,D,20260508,000000,25.54,25.57,25.5238,25.5238,752,0
FSEV.US,D,20260511,000000,25.59,25.64,25.34,25.34,1101,0
FSEV.US,D,20260514,000000,25.3,25.3,25.21,25.2455,1983,0
FSEV.US,D,20260515,000000,24.78,24.83,24.72,24.805,3247,0
FSEV.US,D,20260518,000000,24.41,24.8536,24.41,24.8536,694,0
FSEV.US,D,20260519,000000,24.65,24.65,24.6335,24.6335,789,0
FSEV.US,D,20260521,000000,25.08,25.2012,24.96,25.2012,876,0
FSEV.US,D,20260526,000000,25.67,25.8003,25.67,25.8003,1054,0
FSEV.US,D,20260529,000000,25.7,25.7,25.62,25.6443,2177,0
FSEV.US,D,20260601,000000,25.4193,25.6017,25.4193,25.6017,449,0
FSEV.US,D,20260602,000000,25.88,25.88,25.8212,25.8651,1277,0
FSEV.US,D,20260603,000000,25.69,25.69,25.505,25.505,1202,0
FSEV.US,D,20260604,000000,25.83,25.845,25.8238,25.8238,421,0
FSEV.US,D,20260609,000000,25.81,25.81,25.235,25.4094,1629,0
FSEV.US,D,20260610,000000,25.64,25.72,25.2847,25.2847,260,0
FSEV.US,D,20260611,000000,25.575,25.9242,25.575,25.9242,765,0
FSEV.US,D,20260612,000000,26.2,26.31,26.2,26.2062,1059,0
FSEV.US,D,20260615,000000,26.3525,26.38,26.1816,26.1816,3026,0
FSEV.US,D,20260616,000000,26.23,26.23,26.0589,26.0589,632,0
FSEV.US,D,20260618,000000,26.04,26.1348,25.97,26.1348,3294,0
FSEV.US,D,20260622,000000,26.295,26.295,26.29,26.29,614,0
FSEV.US,D,20260624,000000,26.31,26.31,26.28,26.3099,2398,0
