<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GASZ.US,D,20260608,000000,24.03,24.03,23.89,23.9252,102729,0
GASZ.US,D,20260609,000000,23.2201,23.8949,23.2201,23.8949,593,0
GASZ.US,D,20260610,000000,23.77,23.77,23.2621,23.2621,80282,0
GASZ.US,D,20260611,000000,23.65,23.9061,23.65,23.9061,706,0
GASZ.US,D,20260615,000000,24.46,24.5818,24.3301,24.4511,21984,0
GASZ.US,D,20260616,000000,24.76,24.76,24.5461,24.5461,470,0
GASZ.US,D,20260617,000000,24.74,24.8038,24.74,24.8038,241,0
GASZ.US,D,20260622,000000,25.45,25.6868,25.43,25.6868,1056,0
GASZ.US,D,20260623,000000,26.41,29.05,24.85,25.0643,21359,0
GASZ.US,D,20260624,000000,25.01,25.06,24.83,24.83,20874,0
