<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GDT.US,D,20260126,000000,42.6384,42.81,42.515,42.515,4039,0
GDT.US,D,20260127,000000,42.53,43.5066,42.53,43.5066,1315,0
GDT.US,D,20260128,000000,44.38,45.165,44.305,45.165,827,0
GDT.US,D,20260129,000000,46.12,46.14,43.32,45.2669,5269,0
GDT.US,D,20260130,000000,42.68,42.71,40.744,40.744,5161,0
GDT.US,D,20260202,000000,39.53,39.53,39.3016,39.3016,695,0
GDT.US,D,20260203,000000,41.285,41.6,41.285,41.5453,2457,0
GDT.US,D,20260204,000000,41.73,41.73,41.2,41.5336,5211,0
GDT.US,D,20260205,000000,40.64,41.2,40.4544,40.4544,828,0
GDT.US,D,20260206,000000,41.72,41.72,41.6526,41.6526,462,0
GDT.US,D,20260209,000000,42.4,42.75,42.4,42.7064,876,0
GDT.US,D,20260210,000000,42.18,42.38,42.18,42.3092,1027,0
GDT.US,D,20260211,000000,42.57,42.7535,42.57,42.7535,274,0
GDT.US,D,20260213,000000,41.99,42.42,41.99,42.3021,378,0
GDT.US,D,20260218,000000,41.97,41.9701,41.8812,41.8812,342,0
GDT.US,D,20260219,000000,42.005,42.0352,41.97,42.0352,2099,0
GDT.US,D,20260220,000000,42.54,42.8,42.3717,42.8,11023,0
GDT.US,D,20260223,000000,43.59,43.9687,43.59,43.9687,1000,0
GDT.US,D,20260224,000000,43.16,43.3752,43.1207,43.3752,701,0
GDT.US,D,20260225,000000,43.52,43.695,43.4003,43.4003,3639,0
GDT.US,D,20260226,000000,43.3,43.6755,43.3,43.6755,258,0
GDT.US,D,20260227,000000,44.0494,44.2635,44.0494,44.2635,265,0
GDT.US,D,20260302,000000,44.8,44.802,44.34,44.802,558,0
GDT.US,D,20260303,000000,43.05,43.05,42.35,42.857,1741,0
GDT.US,D,20260304,000000,43.27,43.3,43.08,43.1778,8240,0
GDT.US,D,20260305,000000,42.77,42.77,42.5118,42.7267,1258,0
GDT.US,D,20260306,000000,42.78,43.43,42.1701,43.28,19659,0
GDT.US,D,20260309,000000,42.8899,43.2612,42.82,43.2612,66768,0
GDT.US,D,20260310,000000,43.68,43.9187,43.5867,43.5867,1447,0
GDT.US,D,20260311,000000,43.42,43.4827,43.42,43.4827,4022,0
GDT.US,D,20260312,000000,42.69,42.7759,42.69,42.7759,485,0
GDT.US,D,20260313,000000,42.51,42.56,42.28,42.37,4848,0
GDT.US,D,20260316,000000,42.18,42.2744,41.9601,42.2744,1574,0
GDT.US,D,20260317,000000,42.11,42.2854,42.11,42.2854,126,0
GDT.US,D,20260318,000000,41.4,41.4,41.0922,41.0922,100388,0
GDT.US,D,20260319,000000,39.07,39.5208,39.07,39.5208,313,0
GDT.US,D,20260323,000000,37.4,37.66,37.37,37.5275,17509,0
GDT.US,D,20260324,000000,37.39,37.4439,37.37,37.4439,1592,0
GDT.US,D,20260325,000000,38.62,38.7,38.4032,38.4032,1501,0
GDT.US,D,20260326,000000,37.78,37.78,37.0591,37.0591,327,0
GDT.US,D,20260330,000000,38.466,38.47,38.3726,38.3726,848,0
GDT.US,D,20260331,000000,39.198,39.6631,39.198,39.6631,562,0
GDT.US,D,20260401,000000,40.08,40.25,40.08,40.231,326,0
GDT.US,D,20260402,000000,39.45,39.6046,39.45,39.6046,161,0
GDT.US,D,20260406,000000,39.6081,39.6081,39.3506,39.4721,9807,0
GDT.US,D,20260407,000000,39.39,39.93,39.28,39.93,18655,0
GDT.US,D,20260408,000000,40.5399,40.54,40.039,40.039,2001,0
GDT.US,D,20260409,000000,40.55,40.55,40.354,40.361,3552,0
GDT.US,D,20260413,000000,40.09,40.2473,39.88,40.2473,1840,0
GDT.US,D,20260414,000000,40.75,41.0222,40.7499,41.0222,3592,0
GDT.US,D,20260415,000000,40.93,40.94,40.6456,40.6456,1436,0
GDT.US,D,20260416,000000,40.6482,40.705,40.6114,40.6114,726,0
GDT.US,D,20260417,000000,41.25,41.25,41.0412,41.0951,2603,0
GDT.US,D,20260421,000000,40.28,40.29,39.7213,39.7213,630,0
GDT.US,D,20260422,000000,40.3,40.3,40.2121,40.2121,797,0
GDT.US,D,20260423,000000,40.12,40.12,39.9167,39.9167,954,0
