<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GIF.US,D,20260303,000000,23.67,24.02,23.455,23.9725,2494,0
GIF.US,D,20260304,000000,25.25,25.35,25.235,25.235,2283,0
GIF.US,D,20260305,000000,25.19,25.19,24.7529,24.7529,1268,0
GIF.US,D,20260306,000000,24.26,24.69,24.24,24.3268,2843,0
GIF.US,D,20260309,000000,24.33,24.7634,24.2201,24.7634,1424,0
GIF.US,D,20260310,000000,24.765,24.86,24.59,24.6652,1139,0
GIF.US,D,20260311,000000,24.98,25.01,24.79,24.965,2498,0
GIF.US,D,20260312,000000,24.85,24.85,24.57,24.6448,2178,0
GIF.US,D,20260313,000000,24.91,24.91,24.5918,24.5918,442,0
GIF.US,D,20260316,000000,25.18,25.28,24.95,25.1832,2656,0
GIF.US,D,20260317,000000,25.22,25.36,25.185,25.1962,3077,0
GIF.US,D,20260318,000000,24.85,24.99,24.59,24.59,24180,0
GIF.US,D,20260319,000000,24.035,24.529,24.035,24.2959,1653,0
GIF.US,D,20260320,000000,23.89,24.185,23.65,23.7111,3066,0
GIF.US,D,20260323,000000,24.17,24.47,24.1,24.3774,2691,0
GIF.US,D,20260324,000000,24,24,23.53,23.6061,3610,0
GIF.US,D,20260325,000000,24.52,24.64,24.16,24.22,8800,0
GIF.US,D,20260326,000000,23.885,23.915,23.1152,23.1152,12422,0
GIF.US,D,20260327,000000,22.625,22.63,22.19,22.19,4801,0
GIF.US,D,20260330,000000,22.66,22.66,21.615,21.7169,5772,0
GIF.US,D,20260331,000000,22.29,23.0599,22.245,23.0377,3119,0
GIF.US,D,20260401,000000,23.245,23.295,23.1293,23.1293,4397,0
GIF.US,D,20260402,000000,22.44,23.02,22.44,22.977,4300,0
GIF.US,D,20260406,000000,23.05,23.32,23.05,23.1923,2898,0
GIF.US,D,20260407,000000,23,23.0749,22.4696,23.0749,4859,0
GIF.US,D,20260408,000000,23.5,23.62,23.2,23.2707,10621,0
GIF.US,D,20260409,000000,23.44,23.44,22.88,23.1646,5751,0
GIF.US,D,20260410,000000,23.0837,23.42,23.0837,23.2801,3920,0
GIF.US,D,20260413,000000,23.24,24.28,23.08,23.8168,9372,0
GIF.US,D,20260414,000000,24.62,24.67,24.43,24.5574,7724,0
GIF.US,D,20260415,000000,24.54,25.0798,24.54,25.0798,5990,0
GIF.US,D,20260416,000000,25.2,25.2,24.8,25.0959,2594,0
GIF.US,D,20260417,000000,25.6099,25.9,25.6099,25.7963,3763,0
GIF.US,D,20260420,000000,25.63,25.9033,25.43,25.9033,8575,0
GIF.US,D,20260421,000000,25.79,25.905,25.2817,25.2817,9164,0
GIF.US,D,20260422,000000,26.02,26.0455,25.89,26.017,2386,0
GIF.US,D,20260423,000000,24.62,25.89,24.62,25.3041,4755,0
GIF.US,D,20260424,000000,25.51,25.52,25,25.2,10884,0
GIF.US,D,20260427,000000,25.18,25.23,24.9599,25.14,6019,0
GIF.US,D,20260428,000000,24.9,24.9,24.4604,24.74,5570,0
GIF.US,D,20260429,000000,23.7,23.875,23.64,23.8558,4379,0
GIF.US,D,20260430,000000,24.37,24.51,24.17,24.46,2622,0
GIF.US,D,20260501,000000,24.9,25.22,24.9,25.0464,4326,0
GIF.US,D,20260504,000000,25.265,25.725,25.21,25.59,53831,0
GIF.US,D,20260505,000000,25.77,25.77,25.38,25.435,22997,0
GIF.US,D,20260506,000000,25.2,25.71,25.2,25.6402,11533,0
GIF.US,D,20260507,000000,25.58,25.73,25.2245,25.3613,15139,0
GIF.US,D,20260508,000000,25.2,25.5,24.981,25.4734,12539,0
GIF.US,D,20260511,000000,25.47,26.1,25.47,26.048,12836,0
GIF.US,D,20260512,000000,25.735,25.825,25.41,25.5631,5292,0
GIF.US,D,20260513,000000,25.55,25.57,25.215,25.4593,5475,0
GIF.US,D,20260514,000000,25.55,26.36,25.4,26.0716,5636,0
GIF.US,D,20260515,000000,25.72,25.72,25.085,25.085,11273,0
GIF.US,D,20260518,000000,25,25,24.2,24.5628,7644,0
GIF.US,D,20260519,000000,24.29,24.65,24.08,24.4184,7106,0
GIF.US,D,20260520,000000,24.315,24.67,24.3,24.477,10023,0
GIF.US,D,20260521,000000,24.3,24.64,24.13,24.4,7836,0
GIF.US,D,20260522,000000,24.49,24.575,24.0401,24.0834,27457,0
GIF.US,D,20260526,000000,24.14,24.47,24,24.135,26456,0
GIF.US,D,20260527,000000,23.57,23.86,23.189,23.7334,26440,0
GIF.US,D,20260528,000000,23.22,24.42,23.22,24.362,56719,0
GIF.US,D,20260529,000000,24.23,24.8661,24.08,24.8661,37835,0
GIF.US,D,20260601,000000,24.42,25.1048,24.28,24.84,18344,0
GIF.US,D,20260602,000000,24.77,24.77,24.072,24.1357,8842,0
GIF.US,D,20260603,000000,23.615,23.75,23.4269,23.4269,13946,0
GIF.US,D,20260604,000000,23.42,23.8799,23.42,23.7554,17970,0
GIF.US,D,20260605,000000,23.03,23.0799,22.355,22.51,8257,0
GIF.US,D,20260608,000000,23.12,23.32,22.81,23.2243,4689,0
GIF.US,D,20260609,000000,23.22,23.41,21.8,22.5501,4948,0
