<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HALX.US,D,20260522,000000,25.19,25.22,25.105,25.1923,1928,0
HALX.US,D,20260526,000000,25.31,25.31,25.1473,25.1473,9513,0
HALX.US,D,20260527,000000,25.12,25.2,25.12,25.172,2433,0
HALX.US,D,20260528,000000,25.16,25.26,25.1534,25.1534,1414,0
HALX.US,D,20260529,000000,25.07,25.1049,24.96,25.1049,2948,0
HALX.US,D,20260601,000000,25.46,25.46,25.12,25.1333,1917,0
HALX.US,D,20260602,000000,25.23,25.45,25.18,25.266,3225,0
HALX.US,D,20260603,000000,25.35,25.43,25.3084,25.3084,372,0
HALX.US,D,20260604,000000,25.45,25.45,25.28,25.3363,3110,0
HALX.US,D,20260605,000000,25.34,25.3901,25.2408,25.2614,2346,0
HALX.US,D,20260608,000000,25.32,25.32,25.1609,25.1609,2644,0
HALX.US,D,20260609,000000,25.2101,25.3227,25.159,25.3227,1023,0
HALX.US,D,20260610,000000,25.445,25.445,25.2795,25.2795,276,0
HALX.US,D,20260611,000000,24.94,25.4499,24.94,25.4216,8750,0
HALX.US,D,20260612,000000,25.575,25.72,25.575,25.62,2435,0
HALX.US,D,20260615,000000,25.89,25.89,25.5039,25.5039,3127,0
HALX.US,D,20260616,000000,25.6501,25.6654,25.5204,25.5204,1819,0
HALX.US,D,20260617,000000,25.39,25.39,25.0568,25.0568,783,0
HALX.US,D,20260618,000000,25.095,25.095,24.9703,24.9703,1808,0
HALX.US,D,20260622,000000,25.08,25.1,24.9723,24.9723,1086,0
HALX.US,D,20260623,000000,24.94,25.15,24.9399,25.0696,13471,0
HALX.US,D,20260624,000000,25.11,25.11,25.09,25.1,4994,0
