<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HLXX.US,D,20260327,000000,23.68,25.7,23.68,24.9268,18140,0
HLXX.US,D,20260330,000000,26.251,26.34,22.61,22.9425,11667,0
HLXX.US,D,20260331,000000,25.37,26.9,25.02,26.7771,7878,0
HLXX.US,D,20260401,000000,28.0299,29.5,28.0299,28.3257,2532,0
HLXX.US,D,20260402,000000,26.025,28.4385,26.025,28.4385,516,0
HLXX.US,D,20260406,000000,28.0499,28.3082,28.0499,28.3082,1219,0
HLXX.US,D,20260407,000000,27.66,28.7954,27.66,28.7954,718,0
HLXX.US,D,20260408,000000,30.715,30.715,28.79,29.204,15889,0
HLXX.US,D,20260409,000000,29.92,29.92,28.6775,28.6775,1075,0
HLXX.US,D,20260413,000000,28.1,28.6,28.1,28.59,5433,0
HLXX.US,D,20260414,000000,30.44,30.44,29.53,29.71,1252,0
HLXX.US,D,20260415,000000,28.33,28.33,28.06,28.06,494,0
HLXX.US,D,20260416,000000,28.75,28.75,27.9189,27.9189,553,0
HLXX.US,D,20260420,000000,28.6,28.6,28.6,28.6,1759,0
HLXX.US,D,20260423,000000,25.52,25.89,24.7401,25.6733,1895,0
HLXX.US,D,20260427,000000,26.05,26.1616,26.05,26.1616,911,0
HLXX.US,D,20260428,000000,23.65,23.8533,23.65,23.8533,123,0
HLXX.US,D,20260429,000000,22.95,22.9796,22.95,22.9796,839,0
HLXX.US,D,20260430,000000,23.97,24.3533,23.97,24.3533,352,0
HLXX.US,D,20260505,000000,23.6299,23.6299,21.8229,21.8229,2110,0
HLXX.US,D,20260506,000000,25.94,25.94,23.85,24.4293,5421,0
HLXX.US,D,20260507,000000,27.65,28.72,24.2591,24.2591,8783,0
HLXX.US,D,20260508,000000,25.23,25.6474,25.23,25.6474,113,0
HLXX.US,D,20260511,000000,29.66,31.71,29.66,31.6182,1819,0
HLXX.US,D,20260512,000000,29.79,31.03,28.06,30.9366,1785,0
HLXX.US,D,20260513,000000,32.67,32.79,32.6069,32.6069,639,0
HLXX.US,D,20260514,000000,30.3,30.43,27.3717,27.3717,1171,0
HLXX.US,D,20260515,000000,22.98,23.17,22.5565,22.5565,2413,0
HLXX.US,D,20260518,000000,23.78,23.78,21.16,21.5248,4385,0
HLXX.US,D,20260519,000000,21.38,21.38,19.2501,19.2808,9122,0
HLXX.US,D,20260520,000000,19.81,21.24,19.81,21.077,919,0
HLXX.US,D,20260521,000000,20.07,21.84,20.07,21.4327,2712,0
HLXX.US,D,20260522,000000,20.34,20.72,20.34,20.558,530,0
HLXX.US,D,20260526,000000,21.5,21.9349,21.43,21.9349,3736,0
HLXX.US,D,20260527,000000,21.06,21.24,20.4415,20.4415,667,0
HLXX.US,D,20260528,000000,21,22.4499,21,22.0622,2318,0
HLXX.US,D,20260529,000000,21.3,22.76,21.3,22.3043,6386,0
HLXX.US,D,20260601,000000,20.27,21.88,20.24,21.8289,6283,0
HLXX.US,D,20260602,000000,21.89,22.4411,21.875,22.4411,3352,0
HLXX.US,D,20260603,000000,20.2,20.2,19.7951,19.7951,1150,0
HLXX.US,D,20260604,000000,19.99,19.99,19.9619,19.9619,1130,0
HLXX.US,D,20260605,000000,18.16,18.16,14.87,15.1348,2090,0
HLXX.US,D,20260608,000000,15.235,15.41,15.095,15.095,1636,0
HLXX.US,D,20260609,000000,14.79,15.18,14.79,15.065,3714,0
HLXX.US,D,20260610,000000,15.03,15.065,15.03,15.065,1448,0
HLXX.US,D,20260611,000000,15.02,15.1,15.02,15.06,5488,0
