<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HYGM.US,D,20260427,000000,25.01,25.01,24.9803,24.9803,555,0
HYGM.US,D,20260428,000000,24.99,24.99,24.94,24.94,352,0
HYGM.US,D,20260501,000000,24.975,24.975,24.965,24.965,177,0
HYGM.US,D,20260508,000000,25.03,25.03,25.0096,25.0152,289,0
HYGM.US,D,20260511,000000,25.05,25.05,25.0002,25.0002,5809,0
HYGM.US,D,20260512,000000,24.98,24.98,24.9366,24.9366,530,0
HYGM.US,D,20260513,000000,24.925,24.9699,24.925,24.95,272,0
HYGM.US,D,20260514,000000,24.95,25.03,24.95,25.0001,5417,0
HYGM.US,D,20260528,000000,24.87,24.87,24.825,24.825,454,0
HYGM.US,D,20260601,000000,24.7801,24.8152,24.7801,24.8152,103,0
HYGM.US,D,20260603,000000,24.8,24.8,24.79,24.79,242,0
HYGM.US,D,20260604,000000,24.86,24.86,24.8252,24.8252,118,0
HYGM.US,D,20260615,000000,24.92,24.92,24.885,24.8851,777,0
HYGM.US,D,20260616,000000,24.92,24.92,24.8751,24.8751,3064,0
HYGM.US,D,20260618,000000,24.9,24.9,24.8652,24.8652,627,0
HYGM.US,D,20260622,000000,24.89,24.89,24.85,24.8502,385,0
