<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ISBG.US,D,20260126,000000,26.03,26.4839,25.919,25.9277,25257,0
ISBG.US,D,20260127,000000,26.104,27.0329,25.9786,27.0329,5441,0
ISBG.US,D,20260128,000000,27.63,27.97,27.4296,27.8852,8868,0
ISBG.US,D,20260129,000000,28.17,28.49,25.25,26.63,18212,0
ISBG.US,D,20260130,000000,25,25.45,21.9073,23.4519,38903,0
ISBG.US,D,20260202,000000,20.8709,22.92,20.335,20.5267,31890,0
ISBG.US,D,20260203,000000,22.03,22.2299,21.03,21.7727,5268,0
ISBG.US,D,20260204,000000,21.8845,21.8845,20.65,21.1356,7284,0
ISBG.US,D,20260205,000000,19.5,19.84,18.0146,18.0146,19130,0
ISBG.US,D,20260206,000000,19.69,20.63,19.67,20.3839,15442,0
ISBG.US,D,20260209,000000,20.4,21.22,20.4,21.0947,6853,0
ISBG.US,D,20260210,000000,20.675,20.78,20.44,20.538,3941,0
ISBG.US,D,20260211,000000,19.98,20.475,19.98,20.4692,8444,0
ISBG.US,D,20260212,000000,20.3,20.3,18.71,18.8,16390,0
ISBG.US,D,20260213,000000,19.76,20.43,19.751,20.373,4187,0
ISBG.US,D,20260217,000000,19.1877,19.2648,18.5983,19.11,8432,0
ISBG.US,D,20260218,000000,19.68,19.8384,19.49,19.5367,2607,0
ISBG.US,D,20260219,000000,19.72,19.9203,19.72,19.9203,1500,0
ISBG.US,D,20260220,000000,20.1328,20.5693,20.1328,20.5693,3226,0
ISBG.US,D,20260223,000000,20.4469,20.61,20.0301,20.197,3100,0
ISBG.US,D,20260224,000000,19.8285,20.0998,19.32,20.0824,3800,0
ISBG.US,D,20260225,000000,20.65,21.34,20.65,21.2136,1647,0
ISBG.US,D,20260226,000000,20.98,21.14,20.624,21.0134,11216,0
ISBG.US,D,20260227,000000,20.9,20.91,20.565,20.91,5006,0
ISBG.US,D,20260302,000000,21.507,22.2222,21.05,22.2222,4363,0
ISBG.US,D,20260303,000000,20.39,21.26,18.19,21.0597,17957,0
ISBG.US,D,20260304,000000,22.12,22.15,21.8475,22.0323,7868,0
ISBG.US,D,20260305,000000,21.755,21.92,21.1864,21.4033,12877,0
ISBG.US,D,20260306,000000,21.31,21.31,20.86,21.0273,3670,0
ISBG.US,D,20260309,000000,21.089,21.42,20.885,21.3775,5651,0
ISBG.US,D,20260310,000000,22.24,23.06,21.9407,22.293,11809,0
ISBG.US,D,20260311,000000,22.55,22.7714,22.364,22.7313,6677,0
ISBG.US,D,20260312,000000,22.5,22.6,21.835,22.0733,8270,0
ISBG.US,D,20260313,000000,22.97,23.04,22.0297,22.0297,7779,0
ISBG.US,D,20260316,000000,22.825,23.0199,22.35,22.652,4420,0
ISBG.US,D,20260317,000000,22.74,22.915,22.6099,22.84,2154,0
ISBG.US,D,20260318,000000,21.2188,21.33,20.7014,20.7014,10401,0
ISBG.US,D,20260319,000000,20.0837,20.71,18.31,19.35,16954,0
ISBG.US,D,20260320,000000,19.13,19.28,18.23,18.5349,26380,0
ISBG.US,D,20260323,000000,18.35,18.7505,17.91,18.1878,19448,0
ISBG.US,D,20260324,000000,17.695,17.92,17.5,17.68,14486,0
ISBG.US,D,20260325,000000,19.2907,19.2907,18.7,18.7747,4736,0
ISBG.US,D,20260326,000000,18.0898,18.1399,17.305,17.39,10369,0
ISBG.US,D,20260327,000000,17.035,17.4,16.955,17.08,10664,0
ISBG.US,D,20260330,000000,17.685,17.79,17.34,17.4366,2434,0
ISBG.US,D,20260331,000000,17.94,18.34,17.87,18.2616,8698,0
ISBG.US,D,20260401,000000,18.67,18.7118,18.54,18.7118,1142,0
ISBG.US,D,20260402,000000,17.47,18.0776,17.12,18.01,8867,0
ISBG.US,D,20260406,000000,18.3814,18.53,18.3814,18.4905,6710,0
ISBG.US,D,20260407,000000,18.245,18.63,18.22,18.63,5547,0
ISBG.US,D,20260408,000000,19.52,19.52,19.0237,19.0237,3870,0
ISBG.US,D,20260409,000000,19.06,19.62,19.045,19.5813,2018,0
ISBG.US,D,20260410,000000,19.61,19.9099,19.61,19.8559,5172,0
ISBG.US,D,20260413,000000,19.29,19.9022,18.98,19.9022,13402,0
ISBG.US,D,20260414,000000,20.335,20.69,20.3,20.4792,7273,0
ISBG.US,D,20260415,000000,20.58,20.6067,20.2,20.6067,6447,0
ISBG.US,D,20260416,000000,20.695,20.73,20.28,20.73,3599,0
ISBG.US,D,20260417,000000,21.6399,21.905,21.59,21.6784,5212,0
ISBG.US,D,20260420,000000,21.16,21.315,20.7947,21.2924,6892,0
ISBG.US,D,20260421,000000,21.3,21.3,20.2017,20.2017,4102,0
ISBG.US,D,20260422,000000,21.78,21.93,21.735,21.9073,4658,0
ISBG.US,D,20260423,000000,21.25,21.7199,21,21.19,7643,0
ISBG.US,D,20260424,000000,21.3899,21.3899,21.11,21.12,6602,0
ISBG.US,D,20260427,000000,21.21,21.21,20.5,20.59,22570,0
ISBG.US,D,20260428,000000,19.69,19.81,19.18,19.81,9240,0
ISBG.US,D,20260429,000000,19.31,19.54,18.66,18.9698,6731,0
ISBG.US,D,20260430,000000,19.88,19.959,19.6601,19.87,8030,0
ISBG.US,D,20260501,000000,20.37,20.97,20.37,20.6731,6009,0
ISBG.US,D,20260504,000000,20.62,20.935,20.385,20.7713,9891,0
ISBG.US,D,20260505,000000,21.56,21.91,21.49,21.7005,8689,0
ISBG.US,D,20260506,000000,22.46,22.54,22.24,22.374,9446,0
ISBG.US,D,20260507,000000,22.5,22.5,21.72,21.905,5395,0
ISBG.US,D,20260508,000000,21.62,22.1,21.62,22.04,7588,0
ISBG.US,D,20260511,000000,22.54,22.8799,22.26,22.83,20911,0
ISBG.US,D,20260512,000000,22.21,22.3725,21.83,22.3725,6418,0
ISBG.US,D,20260513,000000,22.13,22.13,21.48,21.765,7864,0
ISBG.US,D,20260514,000000,21.76,22.68,21.76,22.4998,5115,0
ISBG.US,D,20260515,000000,21.38,21.38,20.455,20.835,11736,0
ISBG.US,D,20260518,000000,20.25,20.25,19.35,19.7637,7684,0
ISBG.US,D,20260519,000000,19.33,19.55,19.08,19.3125,7865,0
ISBG.US,D,20260520,000000,19.4,20.0572,19.4,20.0572,2555,0
ISBG.US,D,20260521,000000,19.34,20.07,19.34,20.0278,4340,0
ISBG.US,D,20260522,000000,19.77,19.77,18.845,18.918,7436,0
ISBG.US,D,20260526,000000,19.45,20.07,18.69,18.9143,22489,0
ISBG.US,D,20260527,000000,18.55,18.55,18.04,18.3201,8666,0
ISBG.US,D,20260528,000000,17.69,18.2799,17.41,18.1049,12470,0
ISBG.US,D,20260529,000000,18.05,18.77,18.05,18.53,8265,0
ISBG.US,D,20260601,000000,18.5,18.5,17.04,17.365,9919,0
ISBG.US,D,20260602,000000,17,17,15.77,15.9996,48877,0
ISBG.US,D,20260603,000000,15.53,15.68,15.1701,15.21,27865,0
ISBG.US,D,20260604,000000,14.92,15.044,14.65,14.8297,7642,0
ISBG.US,D,20260605,000000,14.08,14.08,12.89,13.14,13469,0
ISBG.US,D,20260608,000000,13.85,13.999,13.82,13.83,7909,0
ISBG.US,D,20260609,000000,13.5,13.5,12.845,13.1611,3865,0
ISBG.US,D,20260610,000000,12.67,12.87,12.4,12.48,8265,0
ISBG.US,D,20260611,000000,12.52,13.12,12.4336,13.12,2658,0
ISBG.US,D,20260612,000000,12.8599,13.345,12.8599,12.96,4263,0
ISBG.US,D,20260615,000000,13.775,13.879,13.65,13.66,5733,0
ISBG.US,D,20260616,000000,13.49,13.53,13.2,13.345,52837,0
ISBG.US,D,20260617,000000,13.19,13.65,12.57,12.68,6697,0
ISBG.US,D,20260618,000000,12.71,12.71,12.16,12.2414,14255,0
ISBG.US,D,20260622,000000,12.63,12.75,12.33,12.41,7326,0
ISBG.US,D,20260623,000000,11.56,11.765,11.45,11.5377,7783,0
ISBG.US,D,20260624,000000,11.14,11.18,10.73,10.73,20978,0
