<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JELM.US,D,20260427,000000,25.13,25.13,24.92,25.0034,8087,0
JELM.US,D,20260428,000000,25.13,25.13,25.04,25.0452,709,0
JELM.US,D,20260429,000000,25.07,25.08,25.02,25.02,1825,0
JELM.US,D,20260430,000000,25.12,25.17,25.095,25.17,2121,0
JELM.US,D,20260501,000000,25.51,25.51,25.135,25.1838,2464,0
JELM.US,D,20260504,000000,25.2,25.22,25.08,25.1576,13721,0
JELM.US,D,20260505,000000,25.16,25.24,25.16,25.17,3735,0
JELM.US,D,20260506,000000,25.21,25.21,25.185,25.19,547,0
JELM.US,D,20260507,000000,25.21,25.21,25.14,25.14,909,0
JELM.US,D,20260508,000000,25.22,25.23,25.19,25.19,821,0
JELM.US,D,20260511,000000,25.1,25.24,25.1,25.175,7676,0
JELM.US,D,20260512,000000,25.15,25.26,25.1,25.197,2247,0
JELM.US,D,20260513,000000,25.23,25.23,25.175,25.175,133,0
JELM.US,D,20260514,000000,25.175,25.26,25.175,25.24,766,0
JELM.US,D,20260515,000000,25.3,25.3,25.2252,25.2252,1486,0
JELM.US,D,20260518,000000,25.16,25.29,25.16,25.255,434,0
JELM.US,D,20260519,000000,25.32,25.32,25.3001,25.3076,355,0
JELM.US,D,20260520,000000,25.255,25.32,25.25,25.28,642,0
JELM.US,D,20260521,000000,25.28,25.32,25.2714,25.2714,1136,0
JELM.US,D,20260522,000000,25.37,25.37,25.295,25.295,270,0
JELM.US,D,20260526,000000,25.36,25.37,25.305,25.31,4466,0
JELM.US,D,20260527,000000,25.36,25.36,25.3148,25.3148,4490,0
JELM.US,D,20260528,000000,25.37,25.4,25.305,25.31,12042,0
JELM.US,D,20260529,000000,25.38,25.46,25.325,25.3293,3741,0
JELM.US,D,20260601,000000,25.255,25.32,25.255,25.255,2473,0
JELM.US,D,20260602,000000,25.27,25.27,25.21,25.215,331,0
JELM.US,D,20260603,000000,25.3,25.3,25.22,25.22,1118,0
JELM.US,D,20260604,000000,25.28,25.31,25.215,25.305,8644,0
JELM.US,D,20260605,000000,25.28,25.3,25.25,25.263,6210,0
JELM.US,D,20260608,000000,25.24,25.24,25.152,25.1631,927,0
JELM.US,D,20260609,000000,25.21,25.21,25.135,25.155,1283,0
JELM.US,D,20260610,000000,25.15,25.24,25.15,25.185,1702,0
JELM.US,D,20260611,000000,25.22,25.22,25.155,25.155,1065,0
JELM.US,D,20260612,000000,25.23,25.24,25.16,25.235,2233,0
JELM.US,D,20260615,000000,25.31,25.31,25.175,25.21,4286,0
JELM.US,D,20260616,000000,25.31,25.31,25.245,25.245,3081,0
JELM.US,D,20260617,000000,25.33,25.33,25.265,25.265,1190,0
JELM.US,D,20260618,000000,25.25,25.25,25.12,25.185,683,0
JELM.US,D,20260622,000000,25.185,25.25,25.185,25.185,2869,0
JELM.US,D,20260623,000000,25.24,25.24,25.175,25.175,253,0
JELM.US,D,20260624,000000,25.28,25.28,25.21,25.21,382,0
