<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JOUL.US,D,20260608,000000,26.41,26.41,24.9497,24.9497,4733,0
JOUL.US,D,20260609,000000,25.15,25.15,23.95,24.6116,4214,0
JOUL.US,D,20260610,000000,25.28,25.28,23.45,23.4536,2313,0
JOUL.US,D,20260611,000000,24.04,24.595,23.98,24.593,3593,0
JOUL.US,D,20260612,000000,23.9,25.16,23.9,25.0328,7519,0
JOUL.US,D,20260615,000000,25.98,26.27,25.58,25.6057,46336,0
JOUL.US,D,20260616,000000,26.0142,26.09,25.56,25.56,43964,0
JOUL.US,D,20260617,000000,26.04,26.2,25.89,25.89,3984,0
JOUL.US,D,20260618,000000,26.46,26.6109,26.43,26.575,4658,0
JOUL.US,D,20260622,000000,27.74,27.74,26.775,27.379,8309,0
JOUL.US,D,20260623,000000,25.85,26.36,25.5593,25.9948,98432,0
JOUL.US,D,20260624,000000,25.91,26.43,25.91,25.92,3503,0
