<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MBBA.US,D,20260127,000000,50.185,50.185,49.89,50.08,17646,0
MBBA.US,D,20260128,000000,50.1,50.14,49.99,50.03,6025,0
MBBA.US,D,20260129,000000,50.0919,50.13,50.0919,50.12,30120,0
MBBA.US,D,20260130,000000,50.17,50.21,50.09,50.1,13808,0
MBBA.US,D,20260202,000000,50.2,50.2399,50.1113,50.175,5901,0
MBBA.US,D,20260203,000000,50.1529,50.18,50.141,50.1474,10647,0
MBBA.US,D,20260204,000000,50.12,50.16,50.04,50.14,2013,0
MBBA.US,D,20260205,000000,50.1315,50.3307,50.1315,50.285,5837,0
MBBA.US,D,20260206,000000,50.09,50.285,50.09,50.2448,18398,0
MBBA.US,D,20260209,000000,50.24,50.4014,50.23,50.23,5305,0
MBBA.US,D,20260210,000000,50.4671,50.4671,50.35,50.465,2077,0
MBBA.US,D,20260211,000000,50.39,54.68,50.331,50.38,6729,0
MBBA.US,D,20260212,000000,50.53,50.57,50.33,50.545,5694,0
MBBA.US,D,20260213,000000,50.7101,50.84,50.7101,50.785,6493,0
MBBA.US,D,20260217,000000,50.825,50.825,50.57,50.7421,3448,0
MBBA.US,D,20260218,000000,50.6213,50.685,50.47,50.62,15087,0
MBBA.US,D,20260219,000000,50.61,50.7499,50.56,50.6743,5683,0
MBBA.US,D,20260220,000000,50.725,50.73,50.571,50.7143,8599,0
MBBA.US,D,20260223,000000,50.71,50.89,50.69,50.7949,5537,0
MBBA.US,D,20260224,000000,50.86,50.86,50.67,50.74,3000,0
MBBA.US,D,20260225,000000,50.78,50.825,50.61,50.822,18600,0
MBBA.US,D,20260226,000000,50.83,50.8899,50.78,50.8546,3731,0
MBBA.US,D,20260227,000000,50.89,51.1289,50.87,51.0243,12944,0
MBBA.US,D,20260302,000000,50.595,50.595,50.47,50.5457,2590,0
MBBA.US,D,20260303,000000,50.5599,50.5599,50.37,50.4336,2514,0
MBBA.US,D,20260304,000000,50.36,50.46,50.3,50.3773,4097,0
MBBA.US,D,20260305,000000,50.2,50.36,50.13,50.275,3653,0
MBBA.US,D,20260306,000000,50.05,50.235,49.85,50.1892,3044,0
MBBA.US,D,20260309,000000,50.14,50.28,50.07,50.28,1771,0
MBBA.US,D,20260310,000000,50.29,50.54,50.1626,50.1626,2602,0
MBBA.US,D,20260311,000000,50.13,50.18,49.9,49.965,4408,0
MBBA.US,D,20260312,000000,49.88,49.92,49.73,49.7997,4125,0
MBBA.US,D,20260313,000000,49.87,49.87,49.65,49.754,4955,0
MBBA.US,D,20260316,000000,49.99,50.0516,49.99,50.0516,2041,0
MBBA.US,D,20260317,000000,50.18,50.25,50.0433,50.12,6065,0
MBBA.US,D,20260318,000000,50.105,50.1299,49.8294,49.8746,2096,0
MBBA.US,D,20260319,000000,49.79,49.94,49.69,49.8268,15586,0
MBBA.US,D,20260320,000000,49.82,49.82,49.33,49.3942,11796,0
MBBA.US,D,20260323,000000,49.665,49.7493,49.57,49.57,2861,0
MBBA.US,D,20260324,000000,49.39,49.4216,49.3,49.38,1899,0
MBBA.US,D,20260325,000000,49.65,49.65,49.53,49.6034,2703,0
MBBA.US,D,20260326,000000,49.54,49.59,49.245,49.3211,3151,0
MBBA.US,D,20260327,000000,49.21,49.3425,49.1485,49.2793,1296,0
MBBA.US,D,20260330,000000,49.54,49.635,49.5231,49.595,2448,0
MBBA.US,D,20260331,000000,49.62,49.84,49.6119,49.7734,4471,0
MBBA.US,D,20260401,000000,49.35,49.8,49.35,49.5274,3945,0
MBBA.US,D,20260402,000000,49.5,49.8349,49.5,49.78,1057,0
MBBA.US,D,20260406,000000,49.75,49.805,49.69,49.715,2240,0
MBBA.US,D,20260407,000000,49.7825,49.7825,49.55,49.725,3077,0
MBBA.US,D,20260408,000000,49.96,49.99,49.8401,49.8998,5787,0
MBBA.US,D,20260409,000000,50.02,50.02,49.87,49.93,1209,0
MBBA.US,D,20260410,000000,49.75,49.96,49.75,49.8522,4729,0
MBBA.US,D,20260413,000000,49.76,49.92,49.72,49.9108,2690,0
MBBA.US,D,20260414,000000,49.77,50.06,49.77,50.045,6004,0
MBBA.US,D,20260415,000000,49.99,49.9977,49.935,49.9977,2913,0
MBBA.US,D,20260416,000000,50.05,50.12,49.89,49.975,9494,0
MBBA.US,D,20260417,000000,50.17,50.17,50.044,50.1155,5350,0
MBBA.US,D,20260420,000000,49.98,50.11,49.98,50.09,5072,0
MBBA.US,D,20260421,000000,50.08,50.08,49.9,49.9,9308,0
MBBA.US,D,20260422,000000,49.9,50.15,49.86,49.8794,8421,0
MBBA.US,D,20260423,000000,49.9796,50.0831,49.81,49.9112,5203,0
MBBA.US,D,20260424,000000,49.94,50.1099,49.94,50.045,4875,0
MBBA.US,D,20260427,000000,50.02,50.06,49.94,49.94,2386,0
MBBA.US,D,20260428,000000,49.95,49.95,49.8401,49.87,2964,0
MBBA.US,D,20260429,000000,49.64,49.81,49.64,49.7062,3787,0
MBBA.US,D,20260430,000000,49.78,49.86,49.73,49.7806,4358,0
MBBA.US,D,20260501,000000,49.67,49.7399,49.6001,49.65,5778,0
MBBA.US,D,20260504,000000,49.48,49.6799,49.34,49.455,10443,0
MBBA.US,D,20260505,000000,49.49,49.58,49.48,49.4986,3816,0
MBBA.US,D,20260506,000000,49.73,49.84,49.72,49.76,7293,0
MBBA.US,D,20260507,000000,49.74,49.85,49.63,49.6755,6062,0
MBBA.US,D,20260508,000000,49.81,49.86,49.71,49.77,6612,0
MBBA.US,D,20260511,000000,49.78,49.78,49.6211,49.69,4703,0
MBBA.US,D,20260512,000000,49.645,49.645,49.54,49.555,3803,0
MBBA.US,D,20260513,000000,49.36,49.58,49.36,49.55,5434,0
MBBA.US,D,20260514,000000,49.61,49.78,49.573,49.573,4070,0
MBBA.US,D,20260515,000000,49.2571,49.3099,49.22,49.225,5606,0
MBBA.US,D,20260518,000000,49.12,49.1999,49.04,49.0493,3747,0
MBBA.US,D,20260519,000000,48.98,49.01,48.74,48.8948,11170,0
MBBA.US,D,20260520,000000,48.74,49.2511,48.74,49.145,6835,0
MBBA.US,D,20260521,000000,49.03,49.28,49.025,49.2416,23595,0
MBBA.US,D,20260522,000000,49.395,49.4,49.15,49.325,5453,0
MBBA.US,D,20260526,000000,49.69,49.69,49.49,49.59,8791,0
