<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSBT.US,D,20260409,000000,20.45,20.82,20.24,20.68,862326,0
MSBT.US,D,20260410,000000,20.79,21.09,20.6354,21.04,944764,0
MSBT.US,D,20260413,000000,20.46,21.085,20.32,21.05,889538,0
MSBT.US,D,20260414,000000,21.4,21.83,21.21,21.3,1267335,0
MSBT.US,D,20260415,000000,21.35,21.61,21.13,21.54,1111540,0
MSBT.US,D,20260416,000000,21.52,21.65,21.04,21.62,656216,0
MSBT.US,D,20260417,000000,21.99,22.5,21.89,22.24,1315991,0
MSBT.US,D,20260420,000000,21.6,21.97,21.46,21.919,646147,0
MSBT.US,D,20260421,000000,21.85,21.96,21.48,21.54,806586,0
MSBT.US,D,20260422,000000,22.52,22.8,22.485,22.63,1057968,0
MSBT.US,D,20260423,000000,22.29,22.57,22.09,22.31,656584,0
MSBT.US,D,20260424,000000,22.44,22.46,22.19,22.27,482706,0
MSBT.US,D,20260427,000000,22.3,22.47,21.95,22.06,434723,0
MSBT.US,D,20260428,000000,21.86,21.92,21.7,21.89,213922,0
MSBT.US,D,20260429,000000,22.04,22.09,21.5,21.64,364475,0
MSBT.US,D,20260430,000000,21.85,21.97,21.82,21.91,197806,0
MSBT.US,D,20260501,000000,22.47,22.6401,22.4,22.5,504728,0
MSBT.US,D,20260504,000000,22.65,23.145,22.535,22.98,675542,0
MSBT.US,D,20260505,000000,23.38,23.45,23.23,23.42,488617,0
MSBT.US,D,20260506,000000,23.51,23.5599,23.27,23.37,322679,0
MSBT.US,D,20260507,000000,23.23,23.28,22.84,22.99,800630,0
MSBT.US,D,20260508,000000,22.84,23.07,22.81,23.01,361495,0
MSBT.US,D,20260511,000000,23.27,23.55,23.07,23.51,482286,0
MSBT.US,D,20260512,000000,23.12,23.2,22.89,23.18,356320,0
MSBT.US,D,20260513,000000,22.99,23.01,22.58,22.84,296710,0
MSBT.US,D,20260514,000000,22.91,23.54,22.81,23.36,286832,0
MSBT.US,D,20260515,000000,22.95,22.98,22.53,22.69,362809,0
MSBT.US,D,20260518,000000,22.16,22.185,21.79,22.05,581815,0
MSBT.US,D,20260519,000000,21.92,22.07,21.81,21.99,198481,0
MSBT.US,D,20260520,000000,22.14,22.3,22.03,22.26,207760,0
MSBT.US,D,20260521,000000,22.16,22.36,21.97,22.27,180604,0
MSBT.US,D,20260522,000000,22.15,22.15,21.6501,21.73,246764,0
MSBT.US,D,20260526,000000,22,22.37,21.7,21.77,405184,0
MSBT.US,D,20260527,000000,21.53,21.5995,21.3612,21.47,315230,0
MSBT.US,D,20260528,000000,20.95,21.1,20.795,21.02,370332,0
MSBT.US,D,20260529,000000,20.93,21.3098,20.78,21.06,407829,0
MSBT.US,D,20260601,000000,20.56,20.61,20.25,20.51,673246,0
MSBT.US,D,20260602,000000,19.77,19.785,19.03,19.27,1043386,0
MSBT.US,D,20260603,000000,19.12,19.23,18.7,18.75,718060,0
MSBT.US,D,20260604,000000,18.105,18.48,18.05,18.23,940161,0
MSBT.US,D,20260605,000000,17.81,17.84,16.93,17.29,3814916,0
MSBT.US,D,20260608,000000,18.23,18.405,18.14,18.16,536627,0
MSBT.US,D,20260609,000000,17.86,17.9,17.43,17.78,594055,0
MSBT.US,D,20260610,000000,17.65,18,17.615,17.75,389430,0
MSBT.US,D,20260611,000000,18,18.295,17.86,18.21,439405,0
MSBT.US,D,20260612,000000,18.16,18.45,18.078,18.23,364766,0
MSBT.US,D,20260615,000000,19.16,19.285,19,19.07,1184168,0
MSBT.US,D,20260616,000000,18.91,18.98,18.75,18.83,316807,0
MSBT.US,D,20260617,000000,18.6,19.04,18.3799,18.44,290439,0
MSBT.US,D,20260618,000000,18.44,18.44,17.8399,18.04,800330,0
MSBT.US,D,20260622,000000,18.65,18.8,18.415,18.48,855322,0
MSBT.US,D,20260623,000000,17.77,17.995,17.75,17.87,655448,0
MSBT.US,D,20260624,000000,17.7,17.785,16.92,17.17,1235545,0
