<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NXPG.US,D,20260608,000000,14.52,14.52,13.83,13.91,16768,0
NXPG.US,D,20260609,000000,14.46,14.46,12.01,13.2,12099,0
NXPG.US,D,20260610,000000,13.17,13.62,12.37,12.47,14013,0
NXPG.US,D,20260611,000000,12.98,13.96,12.79,13.92,12437,0
NXPG.US,D,20260612,000000,13.6,14.121,13.6,14.121,1813,0
NXPG.US,D,20260615,000000,15.04,15.24,15.0171,15.0955,3698,0
NXPG.US,D,20260616,000000,15.23,15.28,13.8961,13.8961,1451,0
NXPG.US,D,20260617,000000,14.3,14.3,13.4795,13.4795,2461,0
NXPG.US,D,20260618,000000,14.37,15.14,14.37,14.79,2938,0
NXPG.US,D,20260622,000000,15.29,16,15.29,15.54,26788,0
NXPG.US,D,20260623,000000,14.42,14.42,13.16,13.4411,20351,0
NXPG.US,D,20260624,000000,13,13.19,12.52,12.52,1695,0
