<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NXPX.US,D,20260529,000000,25.16,25.5,23.8319,23.8319,2472,0
NXPX.US,D,20260601,000000,22.57,22.68,22.2398,22.2398,4329,0
NXPX.US,D,20260602,000000,24.09,24.35,23.36,24.1699,18471,0
NXPX.US,D,20260603,000000,23.6101,24.57,23.44,23.8252,13254,0
NXPX.US,D,20260604,000000,23.1,24.33,23.1,23.95,5704,0
NXPX.US,D,20260605,000000,22.195,22.195,20.0893,20.0893,6588,0
NXPX.US,D,20260608,000000,21.4,21.56,20.6504,20.6504,2075,0
NXPX.US,D,20260609,000000,21.11,21.4335,17.93,19.8479,4937,0
NXPX.US,D,20260610,000000,19.55,19.68,18.36,18.5149,5372,0
NXPX.US,D,20260611,000000,19.81,20.7,19.215,20.7,2469,0
NXPX.US,D,20260612,000000,20.555,21.0573,20.34,21.0573,1624,0
NXPX.US,D,20260615,000000,22.86,22.89,22.4001,22.47,3734,0
NXPX.US,D,20260616,000000,22.52,22.82,20.7157,20.7157,1486,0
NXPX.US,D,20260617,000000,21.36,21.36,20.1085,20.1085,1466,0
NXPX.US,D,20260618,000000,21.91,22.63,21.91,22.0832,3704,0
NXPX.US,D,20260622,000000,23.47,23.755,22.84,23.38,4088,0
NXPX.US,D,20260623,000000,20.54,20.565,19.69,20.15,2096,0
NXPX.US,D,20260624,000000,19.99,19.99,18.71,18.71,669,0
