<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PJUS.US,D,20260522,000000,50.44,50.48,50.4299,50.4299,225,0
PJUS.US,D,20260526,000000,50.77,50.92,50.7599,50.8623,1220,0
PJUS.US,D,20260527,000000,50.9,51.12,50.89,50.9152,12562,0
PJUS.US,D,20260528,000000,50.85,51.058,50.85,51.058,1132,0
PJUS.US,D,20260529,000000,51.27,51.37,51.27,51.37,363,0
PJUS.US,D,20260601,000000,51.4,51.45,51.3498,51.3498,2000,0
PJUS.US,D,20260604,000000,51.24,51.3706,51.24,51.3706,934,0
PJUS.US,D,20260605,000000,50.6,50.6,50.222,50.222,103,0
PJUS.US,D,20260609,000000,50.93,50.93,49.915,50.2679,408,0
PJUS.US,D,20260611,000000,50.61,50.61,50.5027,50.5027,247,0
