<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QBIF.US,D,20260407,000000,25.07,25.0798,25.06,25.0798,1103,0
QBIF.US,D,20260414,000000,25.57,25.57,25.5292,25.5292,300,0
QBIF.US,D,20260423,000000,25.465,25.465,25.41,25.41,980,0
QBIF.US,D,20260428,000000,25.45,25.45,25.42,25.42,110,0
QBIF.US,D,20260430,000000,25.48,25.6,25.48,25.555,1187,0
QBIF.US,D,20260504,000000,25.55,25.55,25.4205,25.4205,210,0
QBIF.US,D,20260507,000000,25.68,25.68,25.6153,25.6153,350,0
QBIF.US,D,20260512,000000,25.57,25.65,25.56,25.6398,1177,0
QBIF.US,D,20260513,000000,25.62,25.73,25.62,25.675,250,0
QBIF.US,D,20260518,000000,25.63,25.63,25.56,25.6249,464,0
QBIF.US,D,20260522,000000,25.79,25.79,25.75,25.75,1550,0
QBIF.US,D,20260527,000000,25.85,25.85,25.7996,25.7996,778,0
QBIF.US,D,20260604,000000,25.869,25.869,25.835,25.835,290,0
QBIF.US,D,20260605,000000,25.83,25.83,25.6515,25.6515,285,0
QBIF.US,D,20260608,000000,25.73,25.73,25.725,25.725,554,0
QBIF.US,D,20260609,000000,25.7,25.7198,25.69,25.7198,7637,0
QBIF.US,D,20260615,000000,26.03,26.03,25.974,25.974,2403,0
QBIF.US,D,20260617,000000,26.04,26.04,25.9303,25.9303,103,0
QBIF.US,D,20260624,000000,25.96,25.96,25.96,25.96,2034,0
