<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QBKV.US,D,20260406,000000,25.28,25.3371,25.27,25.3371,12512,0
QBKV.US,D,20260407,000000,25.15,25.3311,25.15,25.3311,1537,0
QBKV.US,D,20260408,000000,25.84,25.84,25.79,25.805,7500,0
QBKV.US,D,20260409,000000,25.78,25.96,25.78,25.9501,5205,0
QBKV.US,D,20260414,000000,26.27,26.34,26.27,26.3202,2285,0
QBKV.US,D,20260415,000000,26.33,26.3499,26.325,26.325,1718,0
QBKV.US,D,20260416,000000,26.34,26.365,26.34,26.365,1823,0
QBKV.US,D,20260420,000000,26.57,26.6158,26.57,26.6158,310,0
QBKV.US,D,20260430,000000,26.71,26.7308,26.71,26.7308,210,0
QBKV.US,D,20260504,000000,26.73,26.73,26.73,26.73,2810,0
QBKV.US,D,20260505,000000,26.825,26.8623,26.825,26.8623,400,0
QBKV.US,D,20260507,000000,26.915,26.915,26.8949,26.8949,250,0
QBKV.US,D,20260515,000000,26.885,26.885,26.8339,26.8339,200,0
QBKV.US,D,20260518,000000,26.83,26.83,26.7799,26.7799,6459,0
QBKV.US,D,20260602,000000,27.3,27.305,27.3,27.305,954,0
QBKV.US,D,20260610,000000,27.165,27.165,27.1116,27.1116,231,0
QBKV.US,D,20260618,000000,27.489,27.49,27.475,27.475,6200,0
QBKV.US,D,20260622,000000,27.48,27.51,27.48,27.51,5000,0
QBKV.US,D,20260624,000000,27.48,27.49,27.48,27.49,5000,0
