<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QBQF.US,D,20260407,000000,25.06,25.1463,25.06,25.1463,301,0
QBQF.US,D,20260408,000000,25.35,25.35,25.32,25.3207,1825,0
QBQF.US,D,20260409,000000,25.29,25.39,25.29,25.39,1228,0
QBQF.US,D,20260413,000000,25.42,25.4649,25.42,25.4649,668,0
QBQF.US,D,20260414,000000,25.48,25.56,25.48,25.5305,1147,0
QBQF.US,D,20260415,000000,25.56,25.56,25.545,25.545,205,0
QBQF.US,D,20260416,000000,25.54,25.565,25.54,25.565,129,0
QBQF.US,D,20260420,000000,25.6,25.6,25.6,25.6,350,0
QBQF.US,D,20260423,000000,25.64,25.64,25.6125,25.6125,976,0
QBQF.US,D,20260430,000000,25.71,25.715,25.69,25.715,1021,0
QBQF.US,D,20260501,000000,25.75,25.76,25.73,25.73,300,0
QBQF.US,D,20260515,000000,25.815,25.815,25.815,25.815,3098,0
QBQF.US,D,20260519,000000,25.85,25.87,25.8301,25.8301,1200,0
QBQF.US,D,20260522,000000,25.88,25.88,25.865,25.865,1444,0
QBQF.US,D,20260527,000000,25.89,25.9044,25.88,25.88,1748,0
QBQF.US,D,20260529,000000,25.92,25.93,25.885,25.885,2500,0
QBQF.US,D,20260603,000000,26,26,25.89,25.89,309,0
QBQF.US,D,20260604,000000,25.89,25.89,25.89,25.89,290,0
QBQF.US,D,20260605,000000,25.895,25.895,25.87,25.87,410,0
QBQF.US,D,20260609,000000,25.9,25.9,25.86,25.88,8770,0
QBQF.US,D,20260610,000000,25.875,25.875,25.87,25.87,200,0
QBQF.US,D,20260611,000000,25.91,25.91,25.885,25.885,324,0
QBQF.US,D,20260616,000000,25.925,25.925,25.92,25.92,327,0
QBQF.US,D,20260624,000000,25.96,25.96,25.96,25.96,1987,0
