<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QBQV.US,D,20260406,000000,25.3,25.3255,25.25,25.3255,1102,0
QBQV.US,D,20260407,000000,25.11,25.2993,25.11,25.2993,641,0
QBQV.US,D,20260408,000000,25.69,25.708,25.69,25.708,100,0
QBQV.US,D,20260409,000000,25.7,25.835,25.7,25.835,258,0
QBQV.US,D,20260410,000000,25.91,25.91,25.83,25.8593,201,0
QBQV.US,D,20260413,000000,25.945,26.0199,25.945,25.985,445,0
QBQV.US,D,20260414,000000,26.12,26.17,26.08,26.153,6794,0
QBQV.US,D,20260415,000000,26.21,26.26,26.19,26.24,3543,0
QBQV.US,D,20260420,000000,26.38,26.385,26.36,26.36,4550,0
QBQV.US,D,20260421,000000,26.44,26.44,26.315,26.315,975,0
QBQV.US,D,20260424,000000,26.48,26.505,26.48,26.5,344,0
QBQV.US,D,20260427,000000,26.51,26.5252,26.48,26.5252,802,0
QBQV.US,D,20260429,000000,26.56,26.56,26.49,26.4902,907,0
QBQV.US,D,20260430,000000,26.55,26.63,26.5499,26.5939,1485,0
QBQV.US,D,20260504,000000,26.68,26.69,26.63,26.63,1343,0
QBQV.US,D,20260508,000000,26.79,26.79,26.77,26.77,2350,0
QBQV.US,D,20260511,000000,26.79,26.8,26.7895,26.7895,2750,0
QBQV.US,D,20260512,000000,26.78,26.78,26.77,26.77,750,0
QBQV.US,D,20260513,000000,26.78,26.79,26.78,26.79,196,0
QBQV.US,D,20260514,000000,26.86,26.86,26.815,26.82,1663,0
QBQV.US,D,20260518,000000,26.8,26.82,26.8,26.805,485,0
QBQV.US,D,20260519,000000,26.82,26.82,26.805,26.805,785,0
QBQV.US,D,20260520,000000,26.85,26.85,26.835,26.835,2819,0
QBQV.US,D,20260527,000000,26.89,26.89,26.875,26.875,642,0
QBQV.US,D,20260529,000000,26.91,26.92,26.895,26.905,4383,0
QBQV.US,D,20260601,000000,26.905,26.92,26.905,26.905,5230,0
QBQV.US,D,20260602,000000,26.91,26.93,26.91,26.915,3328,0
QBQV.US,D,20260603,000000,26.92,26.92,26.905,26.905,1531,0
QBQV.US,D,20260604,000000,26.93,26.93,26.915,26.915,2850,0
QBQV.US,D,20260608,000000,26.905,26.91,26.892,26.9,2675,0
QBQV.US,D,20260609,000000,26.92,26.92,26.8,26.87,5088,0
QBQV.US,D,20260610,000000,26.96,26.96,26.81,26.85,1762,0
QBQV.US,D,20260611,000000,26.9,26.92,26.9,26.92,771,0
QBQV.US,D,20260612,000000,26.96,26.96,26.94,26.94,1060,0
QBQV.US,D,20260616,000000,26.98,26.98,26.975,26.975,312,0
QBQV.US,D,20260617,000000,26.98,26.98,26.95,26.95,175,0
QBQV.US,D,20260618,000000,26.98,26.98,26.98,26.98,180,0
QBQV.US,D,20260622,000000,27.04,27.04,26.97,27,9261,0
QBQV.US,D,20260623,000000,26.96,27.0396,26.96,26.99,2398,0
QBQV.US,D,20260624,000000,27.03,27.03,27.03,27.03,628,0
