<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RACK.US,D,20260608,000000,49.62,49.775,48.64,49.03,47579,0
RACK.US,D,20260609,000000,50.035,50.2088,45.98,48.32,31960,0
RACK.US,D,20260610,000000,47.63,48.38,46.31,46.44,22169,0
RACK.US,D,20260611,000000,47.03,48.9999,46.82,48.93,90774,0
RACK.US,D,20260612,000000,49.3,50.3499,49,49.96,40906,0
RACK.US,D,20260615,000000,52.45,52.65,51.83,52.58,92338,0
RACK.US,D,20260616,000000,52.98,53.55,51.61,51.61,92319,0
RACK.US,D,20260617,000000,52.56,53.58,52,52.06,78820,0
RACK.US,D,20260618,000000,53.57,54.29,53.145,53.88,82456,0
RACK.US,D,20260622,000000,54.71,54.75,54.05,54.58,106370,0
RACK.US,D,20260623,000000,53,53,51.25,51.68,126613,0
RACK.US,D,20260624,000000,52.3,52.3,50.495,51.29,52886,0
