<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RISE.US,D,20260424,000000,19.41,19.4315,19.41,19.4315,455,0
RISE.US,D,20260427,000000,19.39,19.39,19.2823,19.2823,240,0
RISE.US,D,20260428,000000,19.14,19.14,19.124,19.124,137,0
RISE.US,D,20260501,000000,19.08,19.104,19.08,19.104,301,0
RISE.US,D,20260504,000000,19.09,19.09,18.87,18.87,4087,0
RISE.US,D,20260506,000000,19.65,19.655,19.64,19.6471,1711,0
RISE.US,D,20260507,000000,19.49,19.54,19.4,19.4,904,0
RISE.US,D,20260508,000000,19.56,19.56,19.5,19.506,1344,0
RISE.US,D,20260511,000000,19.44,19.44,19.264,19.264,5131,0
RISE.US,D,20260512,000000,19,19.0558,19,19.0558,120,0
RISE.US,D,20260513,000000,18.985,19.13,18.9333,18.9333,2623,0
RISE.US,D,20260515,000000,18.56,18.56,18.548,18.548,223,0
RISE.US,D,20260519,000000,18.47,18.47,18.4503,18.4503,1132,0
RISE.US,D,20260521,000000,18.59,18.7646,18.59,18.7646,150,0
RISE.US,D,20260522,000000,18.63,18.65,18.6258,18.6258,921,0
RISE.US,D,20260526,000000,18.81,18.868,18.81,18.868,6417,0
RISE.US,D,20260601,000000,18.44,18.554,18.44,18.554,2447,0
RISE.US,D,20260602,000000,18.67,18.75,18.62,18.75,11367,0
RISE.US,D,20260604,000000,18.42,18.49,18.4,18.4032,2636,0
RISE.US,D,20260605,000000,18.17,18.17,17.8258,17.8258,38981,0
RISE.US,D,20260610,000000,17.88,17.88,17.7651,17.7651,1042,0
RISE.US,D,20260611,000000,17.8,18.2889,17.8,18.2889,2052,0
RISE.US,D,20260615,000000,17.53,18.7271,17.53,18.7271,144,0
RISE.US,D,20260617,000000,18.89,18.9799,18.5923,18.5923,5048,0
RISE.US,D,20260618,000000,18.77,18.77,18.5,18.5698,2241,0
RISE.US,D,20260622,000000,18.47,18.47,18.3733,18.3733,3092,0
RISE.US,D,20260623,000000,18.26,18.26,18.1728,18.1728,593,0
RISE.US,D,20260624,000000,18.02,18.02,18.02,18.02,504,0
