<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RKSG.US,D,20260408,000000,22.99,25.6109,22.99,25.6109,7462,0
RKSG.US,D,20260409,000000,25.76,25.8,25.7206,25.7206,1447,0
RKSG.US,D,20260410,000000,25.8,25.8,25.6741,25.6741,2245,0
RKSG.US,D,20260413,000000,25.75,25.8694,25.75,25.8694,2510,0
RKSG.US,D,20260417,000000,26.68,26.6962,26.68,26.6962,124,0
RKSG.US,D,20260421,000000,26.57,26.57,26.3593,26.3593,301,0
RKSG.US,D,20260423,000000,26.56,26.56,26.5211,26.5211,200,0
RKSG.US,D,20260430,000000,26.73,26.7582,26.73,26.7582,607,0
RKSG.US,D,20260501,000000,26.96,26.96,26.8529,26.8529,201,0
RKSG.US,D,20260504,000000,26.82,26.82,26.71,26.7878,300,0
RKSG.US,D,20260506,000000,27.3,27.3851,27.3,27.3851,405,0
RKSG.US,D,20260507,000000,27.43,27.43,27.2867,27.2867,10980,0
RKSG.US,D,20260508,000000,27.43,27.43,27.4169,27.4169,2545,0
RKSG.US,D,20260511,000000,27.6,27.6,27.4679,27.4679,5771,0
RKSG.US,D,20260512,000000,27.43,27.5507,27.43,27.5507,541,0
RKSG.US,D,20260513,000000,27.81,27.823,27.81,27.823,530,0
RKSG.US,D,20260514,000000,28.04,28.0434,28.04,28.0434,104,0
RKSG.US,D,20260515,000000,27.79,27.79,27.6749,27.6749,131,0
RKSG.US,D,20260518,000000,27.71,27.71,27.6531,27.6531,133,0
RKSG.US,D,20260519,000000,27.56,27.56,27.5176,27.5176,103,0
RKSG.US,D,20260527,000000,27.88,27.88,27.8627,27.8627,110,0
RKSG.US,D,20260528,000000,27.99,28.0538,27.99,28.0538,100,0
RKSG.US,D,20260529,000000,28.07,28.07,28.0136,28.0136,107,0
RKSG.US,D,20260601,000000,27.97,28.09,27.97,28.0303,11963,0
RKSG.US,D,20260602,000000,28.01,28.02,27.9398,27.9398,12000,0
RKSG.US,D,20260603,000000,27.78,27.79,27.6736,27.6736,7607,0
RKSG.US,D,20260605,000000,27.69,27.69,27.3319,27.3319,316,0
RKSG.US,D,20260608,000000,27.41,27.41,27.1601,27.1601,117,0
RKSG.US,D,20260611,000000,26.87,27.097,26.87,27.097,100,0
RKSG.US,D,20260615,000000,27.48,27.48,27.4331,27.4331,134,0
RKSG.US,D,20260618,000000,27.03,27.1496,27.03,27.1496,102,0
RKSG.US,D,20260622,000000,26.91,26.9292,26.89,26.9292,214,0
RKSG.US,D,20260624,000000,27.01,27.01,27.01,27.01,102,0
