<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SMQ.US,D,20251203,000000,49.67,49.67,49.6608,49.6608,111,0
SMQ.US,D,20251204,000000,49.76,49.89,49.67,49.7565,390,0
SMQ.US,D,20251205,000000,49.46,49.5248,49.41,49.5248,593,0
SMQ.US,D,20251208,000000,49.56,49.6942,49.56,49.6942,300,0
SMQ.US,D,20251209,000000,49.46,49.5711,49.46,49.5711,204,0
SMQ.US,D,20251210,000000,49.72,49.72,49.347,49.347,464,0
SMQ.US,D,20251211,000000,49.52,49.72,49.52,49.5801,200,0
SMQ.US,D,20251212,000000,50.31,50.5359,50.31,50.5359,129,0
SMQ.US,D,20251216,000000,50.8,50.8,50.6048,50.6048,120,0
SMQ.US,D,20251217,000000,51.3,51.6061,51.3,51.6061,100,0
SMQ.US,D,20251218,000000,50.96,50.96,50.635,50.635,378,0
SMQ.US,D,20251222,000000,50,50,49.9707,49.9707,106,0
SMQ.US,D,20251224,000000,49.67,49.67,49.6182,49.6182,100,0
SMQ.US,D,20251230,000000,49.76,49.8806,49.76,49.8806,100,0
SMQ.US,D,20251231,000000,50.01,50.2901,50.01,50.2901,104,0
SMQ.US,D,20260102,000000,50.34,50.4472,50.34,50.4472,101,0
SMQ.US,D,20260105,000000,49.84,50.0617,49.84,50.0617,112,0
SMQ.US,D,20260106,000000,49.54,49.5697,49.54,49.5697,100,0
SMQ.US,D,20260107,000000,49.23,49.5804,49.23,49.5804,100,0
SMQ.US,D,20260108,000000,49.95,49.95,49.8564,49.8564,100,0
SMQ.US,D,20260109,000000,49.24,49.3408,49.24,49.3408,100,0
SMQ.US,D,20260112,000000,49.29,49.3105,49.22,49.3105,499,0
SMQ.US,D,20260113,000000,49.41,49.4502,49.41,49.4502,400,0
SMQ.US,D,20260114,000000,50.1,50.11,50.0048,50.0048,202,0
SMQ.US,D,20260115,000000,49.76,49.8504,49.76,49.8504,100,0
SMQ.US,D,20260120,000000,50.36,50.9707,50.35,50.9707,200,0
SMQ.US,D,20260121,000000,50.81,50.81,50.3044,50.3044,202,0
SMQ.US,D,20260122,000000,49.75,49.9528,49.75,49.9528,223,0
SMQ.US,D,20260123,000000,49.74,49.7702,49.74,49.7702,103,0
SMQ.US,D,20260126,000000,49.42,49.5589,49.42,49.5589,103,0
SMQ.US,D,20260127,000000,49.01,49.1173,49.01,49.1173,103,0
SMQ.US,D,20260202,000000,49.38,49.5533,49.38,49.5533,111,0
SMQ.US,D,20260203,000000,50.52,50.52,50.3648,50.3648,130,0
SMQ.US,D,20260205,000000,51.6,51.9228,51.6,51.9228,224,0
SMQ.US,D,20260210,000000,50.56,50.8055,50.51,50.8055,1850,0
SMQ.US,D,20260212,000000,50.73,51.6873,50.73,51.6873,101,0
SMQ.US,D,20260218,000000,50.95,51.2614,50.95,51.2614,228,0
SMQ.US,D,20260219,000000,51.55,51.55,51.5346,51.5346,240,0
SMQ.US,D,20260220,000000,51.03,51.1087,51.03,51.1087,201,0
SMQ.US,D,20260223,000000,51.68,51.7495,51.68,51.7495,200,0
SMQ.US,D,20260224,000000,51.45,51.45,51.1,51.1674,600,0
SMQ.US,D,20260225,000000,50.59,50.6,50.5001,50.5001,500,0
SMQ.US,D,20260227,000000,51.35,51.45,51.2485,51.2485,870,0
SMQ.US,D,20260302,000000,50.98,51.1335,50.98,51.1335,200,0
SMQ.US,D,20260303,000000,52.26,52.26,51.7414,51.7414,252,0
SMQ.US,D,20260304,000000,50.91,50.9657,50.91,50.9657,200,0
SMQ.US,D,20260305,000000,51.2,51.2,51.1666,51.1666,200,0
SMQ.US,D,20260309,000000,51.8,51.8,51.2702,51.2702,251,0
SMQ.US,D,20260310,000000,50.93,51.3236,50.93,51.3236,200,0
SMQ.US,D,20260311,000000,51.32,51.32,51.2767,51.2767,200,0
SMQ.US,D,20260313,000000,51.9,52.4975,51.9,52.4975,201,0
SMQ.US,D,20260316,000000,51.85,51.938,51.85,51.938,202,0
SMQ.US,D,20260317,000000,51.47,51.6916,51.47,51.6916,200,0
SMQ.US,D,20260318,000000,51.87,52.4002,51.87,52.4002,200,0
SMQ.US,D,20260319,000000,52.7,52.7,52.5712,52.5712,301,0
SMQ.US,D,20260324,000000,53.24,53.3498,53.24,53.3498,210,0
SMQ.US,D,20260330,000000,55.17,55.4876,54.9,55.4876,2057,0
SMQ.US,D,20260408,000000,51.39,51.399,51.39,51.399,235,0
SMQ.US,D,20260428,000000,46.83,46.88,46.59,46.6907,1093,0
SMQ.US,D,20260429,000000,46.6,46.6,46.4003,46.4003,224,0
SMQ.US,D,20260512,000000,43.84,43.84,43.1438,43.1438,248,0
SMQ.US,D,20260521,000000,43.05,43.05,42.7061,42.7061,245,0
SMQ.US,D,20260522,000000,42.0899,42.1511,42.0899,42.1511,208,0
SMQ.US,D,20260601,000000,40.57,40.57,40.24,40.3544,1282,0
SMQ.US,D,20260602,000000,40.2,40.22,40.1632,40.1632,779,0
SMQ.US,D,20260603,000000,40.365,40.365,40.23,40.2832,471,0
SMQ.US,D,20260604,000000,40.52,40.5249,40.43,40.4899,2055,0
SMQ.US,D,20260605,000000,42.33,42.359,42.33,42.359,205,0
SMQ.US,D,20260608,000000,42.43,42.465,42.43,42.465,1005,0
SMQ.US,D,20260610,000000,39.15,40.11,39.1,39.225,25525,0
SMQ.US,D,20260611,000000,39.335,39.55,39.15,39.225,4293,0
