<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNDG.US,D,20260515,000000,11,12.64,10.81,12.2,144540,0
SNDG.US,D,20260518,000000,12.725,12.82,10.06,11.05,196226,0
SNDG.US,D,20260519,000000,10.37,11.95,10.13,11.76,273200,0
SNDG.US,D,20260520,000000,12.81,12.81,11.53,11.92,171728,0
SNDG.US,D,20260521,000000,11.81,14.56,11.81,14.56,312943,0
SNDG.US,D,20260522,000000,14.09,14.24,13.2562,13.26,275464,0
SNDG.US,D,20260526,000000,14.42,16.2045,14.05,15.23,384220,0
SNDG.US,D,20260527,000000,16.45,16.53,14.11,15.3299,404477,0
SNDG.US,D,20260528,000000,15.2,17.31,14.75,16.205,356100,0
SNDG.US,D,20260529,000000,17.125,17.5,16.26,17.22,239190,0
SNDG.US,D,20260601,000000,18.28,19.4,17.16,18.59,368700,0
SNDG.US,D,20260602,000000,18.51,18.82,17.57,17.67,326512,0
SNDG.US,D,20260603,000000,18.07,20.6484,17.53,20.07,525087,0
SNDG.US,D,20260604,000000,18.2,19.88,17.79,18.46,674083,0
SNDG.US,D,20260605,000000,16.92,16.92,13.31,14.12,625606,0
SNDG.US,D,20260608,000000,15.6,16.7,15.03,15.72,417189,0
SNDG.US,D,20260609,000000,16.825,18.8,13.75,15.88,902784,0
SNDG.US,D,20260610,000000,15.26,18.05,14.81,15.69,779470,0
SNDG.US,D,20260611,000000,16.39,20.52,16.24,20.34,1087649,0
SNDG.US,D,20260612,000000,20.435,23.28,19.9,22.45,834969,0
SNDG.US,D,20260615,000000,25.28,25.56,23.29,25.3,1103347,0
SNDG.US,D,20260616,000000,25.44,26.65,22.2,22.56,694367,0
SNDG.US,D,20260617,000000,24.29,24.35,21.3,21.84,614248,0
SNDG.US,D,20260618,000000,23.67,26.8,23.4,26.79,962155,0
SNDG.US,D,20260622,000000,29.48,30.8,28.3,28.92,861568,0
SNDG.US,D,20260623,000000,22.27,23.4155,20.6,21.47,1638597,0
SNDG.US,D,20260624,000000,21.7,22.15,18.8,20.01,1370526,0
