<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SOXS.US,D,20100311,000000,3250917720,3250917720,3159838300,3159838300,0,0
SOXS.US,D,20100312,000000,3158365260,3226631200,3103389900,3224990140,0,0
SOXS.US,D,20100315,000000,3316888900,3360048820,3292440660,3341828940,0,0
SOXS.US,D,20100316,000000,3118321440,3118321440,3069582840,3069582840,0,0
SOXS.US,D,20100319,000000,3198404960,3202342660,3198404960,3202342660,0,0
SOXS.US,D,20100322,000000,3259616580,3259616580,2939449500,2939449500,0,0
SOXS.US,D,20100323,000000,2888411840,2888411840,2795855500,2798973660,0,0
SOXS.US,D,20100324,000000,2795199920,2872001000,2793558720,2872001000,0,0
SOXS.US,D,20100325,000000,2792737160,2913519720,2765332480,2909746000,0,0
SOXS.US,D,20100326,000000,2831135640,3018711300,2817843180,2966198400,0,0
SOXS.US,D,20100329,000000,2981129720,2981129720,2861828720,2872001000,0,0
SOXS.US,D,20100330,000000,2857888620,2857888620,2857888620,2857888620,0,0
SOXS.US,D,20100331,000000,2892351520,2892351520,2778622940,2864123300,0,0
SOXS.US,D,20100401,000000,2718234720,2915160920,2684757300,2878235280,0,0
SOXS.US,D,20100405,000000,2647671960,2647671960,2599752460,2605331900,0,0
SOXS.US,D,20100406,000000,2657022920,2677537380,2616982980,2647671960,0,0
SOXS.US,D,20100407,000000,2685248760,2693782420,2581041300,2596632620,0,0
SOXS.US,D,20100408,000000,2643732280,2788143540,2643732280,2731527200,0,0
SOXS.US,D,20100409,000000,2706419340,2706419340,2697884000,2698705740,0,0
SOXS.US,D,20100412,000000,2615503660,2615503660,2502436740,2568408120,0,0
SOXS.US,D,20100413,000000,2576283760,2581206740,2519011880,2519011880,0,0
SOXS.US,D,20100414,000000,2348834740,2348834740,2183250840,2192608080,0,0
SOXS.US,D,20100415,000000,2180954000,2209180620,2134512040,2171437300,0,0
SOXS.US,D,20100416,000000,2218535260,2312403120,2218535260,2250697080,0,0
SOXS.US,D,20100419,000000,2308792960,2458455440,2276628900,2327498360,0,0
SOXS.US,D,20100420,000000,2252997800,2278106040,2222802640,2223950380,0,0
SOXS.US,D,20100421,000000,2157650960,2357367680,2157650960,2304035620,0,0
SOXS.US,D,20100422,000000,2373123300,2435809800,2145506020,2145506020,0,0
SOXS.US,D,20100423,000000,2200485440,2230186520,2134512040,2134512040,0,0
SOXS.US,D,20100426,000000,2078880940,2141568220,2078061460,2141568220,0,0
SOXS.US,D,20100427,000000,2196215460,2353430000,2170124100,2353430000,0,0
SOXS.US,D,20100428,000000,2243149460,2416283060,2227889900,2354249860,0,0
SOXS.US,D,20100429,000000,2389534120,2389534120,2173076860,2221651380,0,0
SOXS.US,D,20100430,000000,2274987880,2526889220,2274987880,2526889220,0,0
SOXS.US,D,20100503,000000,2437453060,2448444860,2295827980,2331439920,0,0
SOXS.US,D,20100504,000000,2412343160,2723649480,2412343160,2638151140,0,0
SOXS.US,D,20100505,000000,3172479280,3172479280,2598929240,2723815620,0,0
SOXS.US,D,20100506,000000,2773212040,3529406460,2196543500,2905808140,0,0
SOXS.US,D,20100507,000000,3101091480,3437671460,2938461960,3101910800,0,0
SOXS.US,D,20100510,000000,2663257180,2744983820,2571524240,2573165460,0,0
SOXS.US,D,20100511,000000,2715935880,2726929720,2492262580,2624036940,0,0
SOXS.US,D,20100512,000000,2554294060,2554294060,2391828700,2391828700,0.00571686,0
SOXS.US,D,20100513,000000,2498663400,2623381560,2375419920,2589576300,0.00571686,0
SOXS.US,D,20100514,000000,2731527200,2966198400,2731527200,2824903080,0,0
SOXS.US,D,20100517,000000,2881355840,2981789920,2676879940,2695425700,0,0
SOXS.US,D,20100518,000000,2654726300,2954383220,2628798180,2927633780,0,0
SOXS.US,D,20100519,000000,2984248240,3083858540,2791260040,2886932500,0,0
SOXS.US,D,20100520,000000,3121442000,3275206080,2942565600,3123902560,0,0
SOXS.US,D,20100521,000000,3325424400,3451785520,2751220320,2905808140,0,0
SOXS.US,D,20100524,000000,2896289200,3064823440,2825395020,3063348180,0,0
SOXS.US,D,20100525,000000,3195286640,3412561740,2997540720,3000659400,0,0
SOXS.US,D,20100526,000000,2851650300,3031182060,2726929720,3014773080,0,0
SOXS.US,D,20100527,000000,2803733020,2803733020,2554294060,2555933260,0,0
SOXS.US,D,20100528,000000,2573821200,2770091680,2555933260,2675076820,0,0
SOXS.US,D,20100601,000000,2767629080,2860021880,2613863140,2853948960,0,0
