<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPLS.US,D,20260120,000000,49.3,49.43,48.9051,48.9051,12883,0
SPLS.US,D,20260121,000000,49.3,49.73,49.05,49.4877,30041,0
SPLS.US,D,20260122,000000,49.81,49.95,49.6294,49.7381,19270,0
SPLS.US,D,20260123,000000,49.665,49.85,49.665,49.7668,7089,0
SPLS.US,D,20260126,000000,49.89,50.95,49.65,50.11,848291,0
SPLS.US,D,20260127,000000,50.16,50.33,50.16,50.25,11145,0
SPLS.US,D,20260128,000000,50.3276,50.3276,50.17,50.235,8993,0
SPLS.US,D,20260129,000000,50.243,50.243,49.51,50.12,39818,0
SPLS.US,D,20260130,000000,49.97,50.065,49.69,49.9294,7064,0
SPLS.US,D,20260202,000000,50.0301,50.3199,50.0301,50.2141,4095,0
SPLS.US,D,20260203,000000,50.04,50.04,49.41,49.77,28017,0
SPLS.US,D,20260204,000000,49.7835,49.89,49.275,49.5098,12862,0
SPLS.US,D,20260205,000000,49.16,49.3,48.91,48.9112,4017,0
SPLS.US,D,20260206,000000,49.575,49.9368,49.56,49.9368,7370,0
SPLS.US,D,20260209,000000,49.81,50.07,49,50.0123,726452,0
SPLS.US,D,20260210,000000,50.23,50.23,49.9605,49.9605,48645,0
SPLS.US,D,20260211,000000,50.44,50.44,49.78,49.9624,5418,0
SPLS.US,D,20260212,000000,50.1,50.13,49.183,49.183,8539,0
SPLS.US,D,20260213,000000,49.15,49.27,49,49.1925,5513,0
SPLS.US,D,20260217,000000,49.18,49.3201,48.82,49.2584,8715,0
SPLS.US,D,20260218,000000,49.31,49.73,49.31,49.516,4712,0
SPLS.US,D,20260219,000000,49.42,49.44,49.341,49.44,2757,0
SPLS.US,D,20260220,000000,49.18,49.78,49.18,49.78,13127,0
SPLS.US,D,20260223,000000,49.77,49.77,49.2199,49.3,4527,0
SPLS.US,D,20260224,000000,49.25,49.68,49.25,49.66,3634,0
SPLS.US,D,20260225,000000,49.93,50.08,49.84,50.0551,3675,0
SPLS.US,D,20260226,000000,49.95,49.95,49.54,49.79,6177,0
SPLS.US,D,20260227,000000,49.29,49.61,49.29,49.61,975,0
SPLS.US,D,20260302,000000,49.26,49.67,49.26,49.5748,2247,0
SPLS.US,D,20260303,000000,48.63,49.09,48.425,49.09,3745,0
SPLS.US,D,20260304,000000,49.53,49.53,49.476,49.476,1492,0
SPLS.US,D,20260305,000000,49.25,49.25,48.85,49.18,1780,0
SPLS.US,D,20260306,000000,48.65,48.79,48.31,48.49,1813,0
SPLS.US,D,20260309,000000,47.91,48.88,47.85,48.88,1478,0
SPLS.US,D,20260310,000000,48.86,49.09,48.76,48.78,1024,0
SPLS.US,D,20260312,000000,48.41,48.41,48.0066,48.0066,3055,0
SPLS.US,D,20260313,000000,47.81,47.81,47.655,47.7071,1046,0
SPLS.US,D,20260316,000000,48.39,48.39,48.15,48.2,1228,0
SPLS.US,D,20260317,000000,48.53,48.586,48.35,48.35,2934,0
SPLS.US,D,20260319,000000,47.28,47.5,47.28,47.5,1144,0
SPLS.US,D,20260320,000000,46.93,46.9301,46.65,46.734,1583,0
SPLS.US,D,20260323,000000,47.54,47.54,47.4,47.4,254,0
SPLS.US,D,20260324,000000,47.05,47.39,46.91,47.12,3483,0
