<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SQLT.US,D,20260409,000000,26.88,26.88,26.82,26.82,219,0
SQLT.US,D,20260420,000000,27.67,27.7452,27.67,27.7452,250,0
SQLT.US,D,20260421,000000,27.75,27.75,27.61,27.6106,1002,0
SQLT.US,D,20260422,000000,27.66,27.66,27.58,27.5893,200,0
SQLT.US,D,20260423,000000,27.33,27.59,27.33,27.5837,402,0
SQLT.US,D,20260424,000000,27.7,27.7,27.6243,27.6243,300,0
SQLT.US,D,20260427,000000,27.6,27.6,27.5752,27.5752,354,0
SQLT.US,D,20260428,000000,27.27,27.2936,27.27,27.2936,102,0
SQLT.US,D,20260501,000000,27.505,27.505,27.4089,27.4089,100,0
SQLT.US,D,20260504,000000,27.17,27.199,27.14,27.199,215,0
SQLT.US,D,20260505,000000,27.46,27.5038,27.46,27.5038,250,0
SQLT.US,D,20260511,000000,27.59,27.59,27.502,27.502,570,0
SQLT.US,D,20260512,000000,27.54,27.54,27.07,27.07,659,0
SQLT.US,D,20260513,000000,27.23,27.23,27.2011,27.2011,1080,0
SQLT.US,D,20260521,000000,27.31,27.31,27.286,27.286,120,0
SQLT.US,D,20260522,000000,27.43,27.4803,27.43,27.4803,292,0
SQLT.US,D,20260529,000000,27.7,27.7,27.6263,27.6263,355,0
SQLT.US,D,20260609,000000,27.52,27.8683,27.41,27.8683,322,0
SQLT.US,D,20260610,000000,27.76,27.77,27.5026,27.5026,1228,0
SQLT.US,D,20260611,000000,27.67,28.06,27.67,28.0357,473,0
SQLT.US,D,20260617,000000,28.35,28.36,27.84,27.84,6668,0
SQLT.US,D,20260624,000000,28.46,28.4601,28.46,28.4601,292,0
