<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STLR.US,D,20260410,000000,18.69,18.7875,18.68,18.7875,513,0
STLR.US,D,20260413,000000,18.44,18.45,18.3898,18.3898,2646,0
STLR.US,D,20260415,000000,18.83,19.04,18.83,19.04,955,0
STLR.US,D,20260416,000000,19.24,20.1782,19.24,20.1782,3601,0
STLR.US,D,20260417,000000,20.98,20.98,20.9753,20.9753,124,0
STLR.US,D,20260420,000000,20.41,21.06,20.41,20.8849,283,0
STLR.US,D,20260423,000000,21.35,21.35,21.0475,21.0475,5140,0
STLR.US,D,20260424,000000,20.76,20.8105,20.76,20.8105,112,0
STLR.US,D,20260427,000000,20.22,20.22,19.645,19.68,1509,0
STLR.US,D,20260430,000000,19.1,19.1,19.07,19.07,527,0
STLR.US,D,20260505,000000,19.23,19.23,19.0754,19.0754,153,0
STLR.US,D,20260511,000000,20.28,20.3215,20.28,20.3215,141,0
STLR.US,D,20260512,000000,19.53,19.53,19.53,19.53,256,0
STLR.US,D,20260513,000000,19.1799,19.1799,19.03,19.03,929,0
STLR.US,D,20260514,000000,19.625,19.8398,19.625,19.8398,469,0
STLR.US,D,20260519,000000,17.36,17.36,17.2239,17.2239,112,0
STLR.US,D,20260528,000000,23.91,25.93,23.26,24.2089,4649,0
STLR.US,D,20260529,000000,24.16,29.145,24.16,29.145,3434,0
STLR.US,D,20260601,000000,31.78,31.78,29.45,29.893,5674,0
STLR.US,D,20260602,000000,26.91,26.91,26.3018,26.3018,1114,0
STLR.US,D,20260603,000000,26.58,26.68,25.671,25.671,4343,0
STLR.US,D,20260604,000000,25.16,25.48,25.045,25.1703,3539,0
STLR.US,D,20260605,000000,22.679,23.44,22.51,23.1812,6769,0
STLR.US,D,20260608,000000,23.97,24.2636,23.97,24.2636,1295,0
STLR.US,D,20260609,000000,23.89,23.89,23.46,23.4816,534,0
STLR.US,D,20260610,000000,22.69,22.77,22.1446,22.1446,1230,0
STLR.US,D,20260611,000000,23.08,23.08,22.9625,22.9625,417,0
STLR.US,D,20260612,000000,22.8,22.8,22.5103,22.6555,795,0
STLR.US,D,20260615,000000,25.61,27.85,25.61,26.4733,11537,0
STLR.US,D,20260616,000000,27.01,27.01,26.0848,26.0848,1162,0
STLR.US,D,20260617,000000,26.981,26.981,26.3527,26.3527,322,0
STLR.US,D,20260618,000000,29,29,27.8,28.3071,1899,0
STLR.US,D,20260622,000000,25.809,25.88,24.432,24.432,20248,0
STLR.US,D,20260623,000000,23,23.22,23,23.22,384,0
STLR.US,D,20260624,000000,22.2,22.2299,22.2,22.2299,711,0
