<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STLU.US,D,20260407,000000,16.99,17.0847,16.99,17.0847,221,0
STLU.US,D,20260409,000000,17.08,17.1217,17.08,17.1217,729,0
STLU.US,D,20260417,000000,21.45,21.7,21.45,21.4916,1920,0
STLU.US,D,20260422,000000,23.25,23.25,22.4961,22.4961,219,0
STLU.US,D,20260501,000000,18.07,18.07,18.03,18.03,133,0
STLU.US,D,20260506,000000,17.96,18.2006,17.96,18.2006,695,0
STLU.US,D,20260508,000000,17.83,18.8153,17.83,18.8153,357,0
STLU.US,D,20260511,000000,19.74,20.49,19.74,20.0171,2265,0
STLU.US,D,20260512,000000,18.541,18.541,18.175,18.304,2452,0
STLU.US,D,20260513,000000,17.94,17.94,17.5138,17.5138,540,0
STLU.US,D,20260514,000000,18.09,19.01,18.09,18.9888,784,0
STLU.US,D,20260515,000000,17.25,17.25,16.36,16.4649,734,0
STLU.US,D,20260518,000000,15.15,15.15,14.55,14.8389,1572,0
STLU.US,D,20260520,000000,14,14.22,13.965,14.1872,1599,0
STLU.US,D,20260521,000000,14.2,14.8801,14.2,14.8801,722,0
STLU.US,D,20260522,000000,15,15,14.295,14.3643,470,0
STLU.US,D,20260527,000000,13.4301,18.64,13.4301,18.074,2200,0
STLU.US,D,20260528,000000,26,29.6,24.87,26.59,11429,0
STLU.US,D,20260529,000000,27.63,36.79,26.72,36.79,8770,0
STLU.US,D,20260601,000000,43.84,43.84,38.35,39.3845,26418,0
STLU.US,D,20260602,000000,34.04,34.04,29.045,30.0113,32007,0
STLU.US,D,20260603,000000,32.23,34.085,28.19,28.19,22003,0
STLU.US,D,20260604,000000,26.95,28.05,26.25,27.3145,9744,0
STLU.US,D,20260605,000000,22.51,23.5,21.85,22.8,11535,0
STLU.US,D,20260608,000000,25.01,25.38,25,25.25,16929,0
STLU.US,D,20260609,000000,24.61,24.73,22.551,23.5351,2831,0
STLU.US,D,20260610,000000,22.15,22.3683,20.8516,20.8516,1634,0
STLU.US,D,20260611,000000,21.425,22.4,21,22.389,14734,0
STLU.US,D,20260612,000000,22.16,22.8,21.7,21.7837,72443,0
STLU.US,D,20260615,000000,26,32.16,25.9,28.78,160450,0
STLU.US,D,20260616,000000,29.48,30.37,27.58,28.2296,82929,0
STLU.US,D,20260617,000000,29.68,32,28.818,28.818,14278,0
STLU.US,D,20260618,000000,35.74,36.879,31.67,33.19,55808,0
STLU.US,D,20260622,000000,26.56,27.79,23.7601,23.88,86453,0
STLU.US,D,20260623,000000,21.05,21.9,20.9901,21.75,17975,0
STLU.US,D,20260624,000000,20.53,20.53,17.1801,19.3,33911,0
