<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STXX.US,D,20260427,000000,25.969,25.99,24.2,25.68,84255,0
STXX.US,D,20260428,000000,23.14,25.05,22.23,24.44,173197,0
STXX.US,D,20260429,000000,31.53,34,28.8559,29.42,236792,0
STXX.US,D,20260430,000000,30.9,33,29.2,32.25,195382,0
STXX.US,D,20260501,000000,31.59,37.545,31.46,37.545,153120,0
STXX.US,D,20260504,000000,39.32,39.73,37.7837,38.65,184829,0
STXX.US,D,20260505,000000,40.7,44.28,40.3,42.16,176251,0
STXX.US,D,20260506,000000,42.2,43.84,40,43.77,240298,0
STXX.US,D,20260507,000000,41.33,41.995,38.83,41.55,125914,0
STXX.US,D,20260508,000000,42.58,45.31,42.01,43.08,185347,0
STXX.US,D,20260511,000000,44.07,49.73,44.07,48.88,226072,0
STXX.US,D,20260512,000000,45.39,48.25,41,45.8879,156182,0
STXX.US,D,20260513,000000,48.68,48.68,44.433,46.97,98649,0
STXX.US,D,20260514,000000,46.75,49.21,44.81,45.4,78788,0
STXX.US,D,20260515,000000,41.71,45.26,41.3352,44.2786,43725,0
STXX.US,D,20260518,000000,44.55,44.64,34.8001,38.15,146120,0
STXX.US,D,20260519,000000,35.66,38.51,33.6783,37.39,99986,0
STXX.US,D,20260520,000000,39.46,40.7094,38.41,39.4,32243,0
STXX.US,D,20260521,000000,38.9,45.5,38.9,45.42,102939,0
STXX.US,D,20260522,000000,45.92,46.9,44.231,45.76,28223,0
STXX.US,D,20260526,000000,48.1,51.24,46.51,49.45,93857,0
STXX.US,D,20260527,000000,52.16,54.2999,49.27,52.21,128512,0
STXX.US,D,20260528,000000,53.51,56.05,51.87,53.58,71257,0
STXX.US,D,20260529,000000,54.18,56.1212,51.845,53.36,58533,0
STXX.US,D,20260601,000000,54.075,60.625,53.88,58.265,52679,0
STXX.US,D,20260602,000000,60.52,62.195,57.8401,59.16,61559,0
STXX.US,D,20260603,000000,60.42,63.72,58.21,60.93,55232,0
STXX.US,D,20260604,000000,55.21,60.615,53.895,59.16,69351,0
STXX.US,D,20260605,000000,53.52,56.87,48.72,48.72,73296,0
STXX.US,D,20260608,000000,52.02,54.27,49.7,52.2207,34626,0
STXX.US,D,20260609,000000,55.68,55.68,43.31,48.6,72401,0
STXX.US,D,20260610,000000,44.9103,49.328,44.4401,45.08,18901,0
STXX.US,D,20260611,000000,48.1,51.05,45.8801,50.64,44687,0
STXX.US,D,20260612,000000,51.945,59.65,51.76,58.33,82136,0
STXX.US,D,20260615,000000,69.99,70.575,58.91,69.27,77139,0
STXX.US,D,20260616,000000,70.98,79.9,68.61,70.15,141314,0
STXX.US,D,20260617,000000,73.64,79.24,73.2274,75.66,131325,0
STXX.US,D,20260618,000000,84.825,86.89,74,76.31,174304,0
STXX.US,D,20260622,000000,80.02,83.8,75.8407,79.65,109565,0
STXX.US,D,20260623,000000,65.2,72,63.73,71.5118,103468,0
STXX.US,D,20260624,000000,70.5,70.6,60.26,64.81,92955,0
